dict_a,dict_b,intersection,union,jaccard,a_in_b,b_in_a,size_a,size_b
CAE,PUI,3302,46912,0.0704,0.0858,0.2815,38484,11730
CAE,PW,34146,155687,0.2193,0.8873,0.2256,38484,151349
CAE,PWG,29052,115515,0.2515,0.7549,0.2739,38484,106083
CAE,PWKVN,2862,50617,0.0565,0.0744,0.1909,38484,14995
CAE,SCH,4898,62041,0.0789,0.1273,0.1721,38484,28455
CAE,SHS,14727,70487,0.2089,0.3827,0.3152,38484,46730
CAE,SKD,1702,77599,0.0219,0.0442,0.0417,38484,40817
CAE,SNP,197,38735,0.0051,0.0051,0.4397,38484,448
CAE,STC,12108,50362,0.2404,0.3146,0.5048,38484,23986
CAE,VCP,14310,72810,0.1965,0.3718,0.2942,38484,48636
CAE,VEI,2138,40050,0.0534,0.0556,0.5772,38484,3704
CAE,WIL,13905,68518,0.2029,0.3613,0.3165,38484,43939
CAE,YAT,14183,69021,0.2055,0.3685,0.3172,38484,44720
CCS,FRI,4843,31683,0.1529,0.1684,0.6229,28751,7775
CCS,GRA,5708,34151,0.1671,0.1985,0.5139,28751,11108
CCS,GST,1071,34441,0.0311,0.0373,0.1584,28751,6761
CCS,IEG,1606,34720,0.0463,0.0559,0.2120,28751,7575
CCS,INM,2780,35425,0.0785,0.0967,0.2941,28751,9454
CCS,KRM,419,30030,0.0140,0.0146,0.2468,28751,1698
CCS,LAN,3637,29840,0.1219,0.1265,0.7696,28751,4726
CCS,LRV,12584,64426,0.1953,0.4377,0.2608,28751,48259
CCS,MCI,786,30290,0.0259,0.0273,0.3381,28751,2325
CCS,MD,11925,36929,0.3229,0.4148,0.5932,28751,20103
CCS,MW,25886,196949,0.1314,0.9004,0.1334,28751,194084
CCS,MW72,13961,65949,0.2117,0.4856,0.2729,28751,51159
CCS,PD,1100,132610,0.0083,0.0383,0.0105,28751,104959
CCS,PE,2118,33256,0.0637,0.0737,0.3198,28751,6623
CCS,PGN,102,29119,0.0035,0.0035,0.2170,28751,470
CCS,PUI,2923,37558,0.0778,0.1017,0.2492,28751,11730
CCS,PW,27176,152924,0.1777,0.9452,0.1796,28751,151349
CCS,PWG,23856,110978,0.2150,0.8297,0.2249,28751,106083
CCS,PWKVN,2301,41445,0.0555,0.0800,0.1535,28751,14995
CCS,SCH,4048,53158,0.0762,0.1408,0.1423,28751,28455
CCS,SHS,12138,63343,0.1916,0.4222,0.2597,28751,46730
CCS,SKD,1528,68040,0.0225,0.0531,0.0374,28751,40817
CCS,SNP,175,29024,0.0060,0.0061,0.3906,28751,448
CCS,STC,10356,42381,0.2444,0.3602,0.4318,28751,23986
CCS,VCP,11944,65443,0.1825,0.4154,0.2456,28751,48636
CCS,VEI,1919,30536,0.0628,0.0667,0.5181,28751,3704
CCS,WIL,11461,61229,0.1872,0.3986,0.2608,28751,43939
CCS,YAT,11728,61743,0.1899,0.4079,0.2623,28751,44720
FRI,GRA,2027,16856,0.1203,0.2607,0.1825,7775,11108
FRI,GST,378,14158,0.0267,0.0486,0.0559,7775,6761
FRI,IEG,885,14465,0.0612,0.1138,0.1168,7775,7575
FRI,INM,1218,16011,0.0761,0.1567,0.1288,7775,9454
FRI,KRM,231,9242,0.0250,0.0297,0.1360,7775,1698
FRI,LAN,2283,10218,0.2234,0.2936,0.4831,7775,4726
FRI,LRV,4247,51787,0.0820,0.5462,0.0880,7775,48259
FRI,MCI,327,9773,0.0335,0.0421,0.1406,7775,2325
FRI,MD,3781,24097,0.1569,0.4863,0.1881,7775,20103
FRI,MW,6279,195580,0.0321,0.8076,0.0324,7775,194084
FRI,MW72,4786,54148,0.0884,0.6156,0.0936,7775,51159
FRI,PD,390,112344,0.0035,0.0502,0.0037,7775,104959
FRI,PE,934,13464,0.0694,0.1201,0.1410,7775,6623
FRI,PGN,62,8183,0.0076,0.0080,0.1319,7775,470
FRI,PUI,1372,18133,0.0757,0.1765,0.1170,7775,11730
FRI,PW,5551,153573,0.0361,0.7140,0.0367,7775,151349
FRI,PWG,5315,108543,0.0490,0.6836,0.0501,7775,106083
FRI,PWKVN,964,21806,0.0442,0.1240,0.0643,7775,14995
FRI,SCH,1596,34634,0.0461,0.2053,0.0561,7775,28455
FRI,SHS,4087,50418,0.0811,0.5257,0.0875,7775,46730
FRI,SKD,837,47755,0.0175,0.1077,0.0205,7775,40817
FRI,SNP,63,8160,0.0077,0.0081,0.1406,7775,448
FRI,STC,4233,27528,0.1538,0.5444,0.1765,7775,23986
FRI,VCP,3902,52509,0.0743,0.5019,0.0802,7775,48636
FRI,VEI,805,10674,0.0754,0.1035,0.2173,7775,3704
FRI,WIL,3916,47798,0.0819,0.5037,0.0891,7775,43939
FRI,YAT,4109,48386,0.0849,0.5285,0.0919,7775,44720
GRA,GST,642,17227,0.0373,0.0578,0.0950,11108,6761
GRA,IEG,538,18145,0.0297,0.0484,0.0710,11108,7575
GRA,INM,918,19644,0.0467,0.0826,0.0971,11108,9454
GRA,KRM,232,12574,0.0185,0.0209,0.1366,11108,1698
GRA,LAN,2084,13750,0.1516,0.1876,0.4410,11108,4726
GRA,LRV,2972,56395,0.0527,0.2676,0.0616,11108,48259
GRA,MCI,234,13199,0.0177,0.0211,0.1006,11108,2325
GRA,MD,4107,27104,0.1515,0.3697,0.2043,11108,20103
GRA,MW,9752,195440,0.0499,0.8779,0.0502,11108,194084
GRA,MW72,5666,56601,0.1001,0.5101,0.1108,11108,51159
GRA,PD,559,115508,0.0048,0.0503,0.0053,11108,104959
GRA,PE,798,16933,0.0471,0.0718,0.1205,11108,6623
GRA,PGN,36,11542,0.0031,0.0032,0.0766,11108,470
GRA,PUI,1080,21758,0.0496,0.0972,0.0921,11108,11730
GRA,PW,9645,152812,0.0631,0.8683,0.0637,11108,151349
GRA,PWG,8961,108230,0.0828,0.8067,0.0845,11108,106083
GRA,PWKVN,879,25224,0.0348,0.0791,0.0586,11108,14995
GRA,SCH,1277,38286,0.0334,0.1150,0.0449,11108,28455
GRA,SHS,2867,54971,0.0522,0.2581,0.0614,11108,46730
GRA,SKD,713,51212,0.0139,0.0642,0.0175,11108,40817
GRA,SNP,41,11515,0.0036,0.0037,0.0915,11108,448
GRA,STC,2722,32372,0.0841,0.2450,0.1135,11108,23986
GRA,VCP,3987,55757,0.0715,0.3589,0.0820,11108,48636
GRA,VEI,1505,13307,0.1131,0.1355,0.4063,11108,3704
GRA,WIL,2665,52382,0.0509,0.2399,0.0607,11108,43939
GRA,YAT,2915,52913,0.0551,0.2624,0.0652,11108,44720
GST,IEG,128,14208,0.0090,0.0189,0.0169,6761,7575
GST,INM,180,16035,0.0112,0.0266,0.0190,6761,9454
GST,KRM,14,8445,0.0017,0.0021,0.0082,6761,1698
GST,LAN,263,11224,0.0234,0.0389,0.0556,6761,4726
GST,LRV,2171,52849,0.0411,0.3211,0.0450,6761,48259
GST,MCI,42,9044,0.0046,0.0062,0.0181,6761,2325
GST,MD,1265,25599,0.0494,0.1871,0.0629,6761,20103
GST,MW,5742,195103,0.0294,0.8493,0.0296,6761,194084
GST,MW72,3429,54491,0.0629,0.5072,0.0670,6761,51159
GST,PD,4204,107516,0.0391,0.6218,0.0401,6761,104959
GST,PE,124,13260,0.0094,0.0183,0.0187,6761,6623
GST,PGN,1,7230,0.0001,0.0001,0.0021,6761,470
GST,PUI,198,18293,0.0108,0.0293,0.0169,6761,11730
GST,PW,4465,153645,0.0291,0.6604,0.0295,6761,151349
GST,PWG,4009,108835,0.0368,0.5930,0.0378,6761,106083
GST,PWKVN,777,20979,0.0370,0.1149,0.0518,6761,14995
GST,SCH,928,34288,0.0271,0.1373,0.0326,6761,28455
GST,SHS,2259,51232,0.0441,0.3341,0.0483,6761,46730
GST,SKD,210,47368,0.0044,0.0311,0.0051,6761,40817
GST,SNP,11,7198,0.0015,0.0016,0.0246,6761,448
GST,STC,1363,29384,0.0464,0.2016,0.0568,6761,23986
GST,VCP,2725,52672,0.0517,0.4030,0.0560,6761,48636
GST,VEI,70,10395,0.0067,0.0104,0.0189,6761,3704
GST,WIL,2259,48441,0.0466,0.3341,0.0514,6761,43939
GST,YAT,1856,49625,0.0374,0.2745,0.0415,6761,44720
IEG,INM,534,16495,0.0324,0.0705,0.0565,7575,9454
IEG,KRM,129,9144,0.0141,0.0170,0.0760,7575,1698
IEG,LAN,681,11620,0.0586,0.0899,0.1441,7575,4726
IEG,LRV,1896,53938,0.0352,0.2503,0.0393,7575,48259
IEG,MCI,145,9755,0.0149,0.0191,0.0624,7575,2325
IEG,MD,1368,26310,0.0520,0.1806,0.0680,7575,20103
IEG,MW,2870,198789,0.0144,0.3789,0.0148,7575,194084
IEG,MW72,1781,56953,0.0313,0.2351,0.0348,7575,51159
IEG,PD,173,112361,0.0015,0.0228,0.0016,7575,104959
IEG,PE,442,13756,0.0321,0.0583,0.0667,7575,6623
IEG,PGN,48,7997,0.0060,0.0063,0.1021,7575,470
IEG,PUI,716,18589,0.0385,0.0945,0.0610,7575,11730
IEG,PW,2566,156358,0.0164,0.3387,0.0170,7575,151349
IEG,PWG,2377,111281,0.0214,0.3138,0.0224,7575,106083
IEG,PWKVN,440,22130,0.0199,0.0581,0.0293,7575,14995
IEG,SCH,905,35125,0.0258,0.1195,0.0318,7575,28455
IEG,SHS,1885,52420,0.0360,0.2488,0.0403,7575,46730
IEG,SKD,443,47949,0.0092,0.0585,0.0109,7575,40817
IEG,SNP,33,7990,0.0041,0.0044,0.0737,7575,448
IEG,STC,1368,30193,0.0453,0.1806,0.0570,7575,23986
IEG,VCP,1921,54290,0.0354,0.2536,0.0395,7575,48636
IEG,VEI,354,10925,0.0324,0.0467,0.0956,7575,3704
IEG,WIL,1832,49682,0.0369,0.2418,0.0417,7575,43939
IEG,YAT,1820,50475,0.0361,0.2403,0.0407,7575,44720
INM,KRM,92,11060,0.0083,0.0097,0.0542,9454,1698
INM,LAN,867,13313,0.0651,0.0917,0.1835,9454,4726
INM,LRV,3077,54636,0.0563,0.3255,0.0638,9454,48259
INM,MCI,1529,10250,0.1492,0.1617,0.6576,9454,2325
INM,MD,2046,27511,0.0744,0.2164,0.1018,9454,20103
INM,MW,6795,196743,0.0345,0.7187,0.0350,9454,194084
INM,MW72,2698,57915,0.0466,0.2854,0.0527,9454,51159
INM,PD,262,114151,0.0023,0.0277,0.0025,9454,104959
INM,PE,3231,12846,0.2515,0.3418,0.4878,9454,6623
INM,PGN,78,9846,0.0079,0.0083,0.1660,9454,470
INM,PUI,2477,18707,0.1324,0.2620,0.2112,9454,11730
INM,PW,5903,154900,0.0381,0.6244,0.0390,9454,151349
INM,PWG,5562,109975,0.0506,0.5883,0.0524,9454,106083
INM,PWKVN,516,23933,0.0216,0.0546,0.0344,9454,14995
INM,SCH,1039,36870,0.0282,0.1099,0.0365,9454,28455
INM,SHS,2933,53251,0.0551,0.3102,0.0628,9454,46730
INM,SKD,637,49634,0.0128,0.0674,0.0156,9454,40817
INM,SNP,63,9839,0.0064,0.0067,0.1406,9454,448
INM,STC,2321,31119,0.0746,0.2455,0.0968,9454,23986
INM,VCP,3763,54327,0.0693,0.3980,0.0774,9454,48636
INM,VEI,659,12499,0.0527,0.0697,0.1779,9454,3704
INM,WIL,2850,50543,0.0564,0.3015,0.0649,9454,43939
INM,YAT,2876,51298,0.0561,0.3042,0.0643,9454,44720
KRM,LAN,224,6200,0.0361,0.1319,0.0474,1698,4726
KRM,LRV,434,49523,0.0088,0.2556,0.0090,1698,48259
KRM,MCI,25,3998,0.0063,0.0147,0.0108,1698,2325
KRM,MD,416,21385,0.0195,0.2450,0.0207,1698,20103
KRM,MW,649,195133,0.0033,0.3822,0.0033,1698,194084
KRM,MW72,593,52264,0.0113,0.3492,0.0116,1698,51159
KRM,PD,23,106634,0.0002,0.0135,0.0002,1698,104959
KRM,PE,89,8232,0.0108,0.0524,0.0134,1698,6623
KRM,PGN,6,2162,0.0028,0.0035,0.0128,1698,470
KRM,PUI,152,13276,0.0114,0.0895,0.0130,1698,11730
KRM,PW,589,152458,0.0039,0.3469,0.0039,1698,151349
KRM,PWG,580,107201,0.0054,0.3416,0.0055,1698,106083
KRM,PWKVN,111,16582,0.0067,0.0654,0.0074,1698,14995
KRM,SCH,189,29964,0.0063,0.1113,0.0066,1698,28455
KRM,SHS,750,47678,0.0157,0.4417,0.0160,1698,46730
KRM,SKD,881,41634,0.0212,0.5188,0.0216,1698,40817
KRM,SNP,4,2142,0.0019,0.0024,0.0089,1698,448
KRM,STC,364,25320,0.0144,0.2144,0.0152,1698,23986
KRM,VCP,960,49374,0.0194,0.5654,0.0197,1698,48636
KRM,VEI,107,5295,0.0202,0.0630,0.0289,1698,3704
KRM,WIL,946,44691,0.0212,0.5571,0.0215,1698,43939
KRM,YAT,567,45851,0.0124,0.3339,0.0127,1698,44720
LAN,LRV,2994,49991,0.0599,0.6335,0.0620,4726,48259
LAN,MCI,216,6835,0.0316,0.0457,0.0929,4726,2325
LAN,MD,3105,21724,0.1429,0.6570,0.1545,4726,20103
LAN,MW,4392,194418,0.0226,0.9293,0.0226,4726,194084
LAN,MW72,3175,52710,0.0602,0.6718,0.0621,4726,51159
LAN,PD,254,109431,0.0023,0.0537,0.0024,4726,104959
LAN,PE,672,10677,0.0629,0.1422,0.1015,4726,6623
LAN,PGN,46,5150,0.0089,0.0097,0.0979,4726,470
LAN,PUI,997,15459,0.0645,0.2110,0.0850,4726,11730
LAN,PW,4100,151975,0.0270,0.8675,0.0271,4726,151349
LAN,PWG,3924,106885,0.0367,0.8303,0.0370,4726,106083
LAN,PWKVN,709,19012,0.0373,0.1500,0.0473,4726,14995
LAN,SCH,1155,32026,0.0361,0.2444,0.0406,4726,28455
LAN,SHS,2914,48542,0.0600,0.6166,0.0624,4726,46730
LAN,SKD,649,44894,0.0145,0.1373,0.0159,4726,40817
LAN,SNP,40,5134,0.0078,0.0085,0.0893,4726,448
LAN,STC,2826,25886,0.1092,0.5980,0.1178,4726,23986
LAN,VCP,2758,50604,0.0545,0.5836,0.0567,4726,48636
LAN,VEI,698,7732,0.0903,0.1477,0.1884,4726,3704
LAN,WIL,2768,45897,0.0603,0.5857,0.0630,4726,43939
LAN,YAT,2973,46473,0.0640,0.6291,0.0665,4726,44720
LRV,MCI,881,49703,0.0177,0.0183,0.3789,48259,2325
LRV,MD,9518,58844,0.1617,0.1972,0.4735,48259,20103
LRV,MW,36140,206203,0.1753,0.7489,0.1862,48259,194084
LRV,MW72,17241,82177,0.2098,0.3573,0.3370,48259,51159
LRV,PD,1826,151392,0.0121,0.0378,0.0174,48259,104959
LRV,PE,2159,52723,0.0409,0.0447,0.3260,48259,6623
LRV,PGN,100,48629,0.0021,0.0021,0.2128,48259,470
LRV,PUI,3298,56691,0.0582,0.0683,0.2812,48259,11730
LRV,PW,29702,169906,0.1748,0.6155,0.1962,48259,151349
LRV,PWG,28371,125971,0.2252,0.5879,0.2674,48259,106083
LRV,PWKVN,2510,60744,0.0413,0.0520,0.1674,48259,14995
LRV,SCH,5285,71429,0.0740,0.1095,0.1857,48259,28455
LRV,SHS,23181,71808,0.3228,0.4803,0.4961,48259,46730
LRV,SKD,4301,84775,0.0507,0.0891,0.1054,48259,40817
LRV,SNP,235,48472,0.0048,0.0049,0.5246,48259,448
LRV,STC,9814,62431,0.1572,0.2034,0.4092,48259,23986
LRV,VCP,21292,75603,0.2816,0.4412,0.4378,48259,48636
LRV,VEI,1426,50537,0.0282,0.0295,0.3850,48259,3704
LRV,WIL,20779,71419,0.2909,0.4306,0.4729,48259,43939
LRV,YAT,21399,71580,0.2990,0.4434,0.4785,48259,44720
MCI,MD,642,21786,0.0295,0.2761,0.0319,2325,20103
MCI,MW,1690,194719,0.0087,0.7269,0.0087,2325,194084
MCI,MW72,793,52691,0.0151,0.3411,0.0155,2325,51159
MCI,PD,67,107217,0.0006,0.0288,0.0006,2325,104959
MCI,PE,1062,7886,0.1347,0.4568,0.1604,2325,6623
MCI,PGN,36,2759,0.0130,0.0155,0.0766,2325,470
MCI,PUI,793,13262,0.0598,0.3411,0.0676,2325,11730
MCI,PW,1539,152135,0.0101,0.6619,0.0102,2325,151349
MCI,PWG,1470,106938,0.0137,0.6323,0.0139,2325,106083
MCI,PWKVN,155,17165,0.0090,0.0667,0.0103,2325,14995
MCI,SCH,350,30430,0.0115,0.1505,0.0123,2325,28455
MCI,SHS,797,48258,0.0165,0.3428,0.0171,2325,46730
MCI,SKD,222,42920,0.0052,0.0955,0.0054,2325,40817
MCI,SNP,28,2745,0.0102,0.0120,0.0625,2325,448
MCI,STC,727,25584,0.0284,0.3127,0.0303,2325,23986
MCI,VCP,1048,49913,0.0210,0.4508,0.0215,2325,48636
MCI,VEI,259,5770,0.0449,0.1114,0.0699,2325,3704
MCI,WIL,770,45494,0.0169,0.3312,0.0175,2325,43939
MCI,YAT,775,46270,0.0167,0.3333,0.0173,2325,44720
MD,MW,18637,195550,0.0953,0.9271,0.0960,20103,194084
MD,MW72,12423,58839,0.2111,0.6180,0.2428,20103,51159
MD,PD,1749,123313,0.0142,0.0870,0.0167,20103,104959
MD,PE,1644,25082,0.0655,0.0818,0.2482,20103,6623
MD,PGN,78,20495,0.0038,0.0039,0.1660,20103,470
MD,PUI,2379,29454,0.0808,0.1183,0.2028,20103,11730
MD,PW,17835,153617,0.1161,0.8872,0.1178,20103,151349
MD,PWG,15188,110998,0.1368,0.7555,0.1432,20103,106083
MD,PWKVN,2431,32667,0.0744,0.1209,0.1621,20103,14995
MD,SCH,3870,44688,0.0866,0.1925,0.1360,20103,28455
MD,SHS,9280,57553,0.1612,0.4616,0.1986,20103,46730
MD,SKD,1613,59307,0.0272,0.0802,0.0395,20103,40817
MD,SNP,184,20367,0.0090,0.0092,0.4107,20103,448
MD,STC,9534,34555,0.2759,0.4743,0.3975,20103,23986
MD,VCP,9455,59284,0.1595,0.4703,0.1944,20103,48636
MD,VEI,1581,22226,0.0711,0.0786,0.4268,20103,3704
MD,WIL,8799,55243,0.1593,0.4377,0.2003,20103,43939
MD,YAT,9074,55749,0.1628,0.4514,0.2029,20103,44720
MW,MW72,45855,199388,0.2300,0.2363,0.8963,194084,51159
MW,PD,7235,291808,0.0248,0.0373,0.0689,194084,104959
MW,PE,4786,195921,0.0244,0.0247,0.7226,194084,6623
MW,PGN,198,194356,0.0010,0.0010,0.4213,194084,470
MW,PUI,6280,199534,0.0315,0.0324,0.5354,194084,11730
MW,PW,129002,216431,0.5960,0.6647,0.8523,194084,151349
MW,PWG,94776,205391,0.4614,0.4883,0.8934,194084,106083
MW,PWKVN,9757,199322,0.0490,0.0503,0.6507,194084,14995
MW,SCH,14522,208017,0.0698,0.0748,0.5103,194084,28455
MW,SHS,39084,201730,0.1937,0.2014,0.8364,194084,46730
MW,SKD,8853,226048,0.0392,0.0456,0.2169,194084,40817
MW,SNP,411,194121,0.0021,0.0021,0.9174,194084,448
MW,STC,21139,196931,0.1073,0.1089,0.8813,194084,23986
MW,VCP,39061,203659,0.1918,0.2013,0.8031,194084,48636
MW,VEI,3168,194620,0.0163,0.0163,0.8553,194084,3704
MW,WIL,36548,201475,0.1814,0.1883,0.8318,194084,43939
MW,YAT,37229,201575,0.1847,0.1918,0.8325,194084,44720
MW72,PD,2928,153190,0.0191,0.0572,0.0279,51159,104959
MW72,PE,2115,55667,0.0380,0.0413,0.3193,51159,6623
MW72,PGN,86,51543,0.0017,0.0017,0.1830,51159,470
MW72,PUI,2955,59934,0.0493,0.0578,0.2519,51159,11730
MW72,PW,35171,167337,0.2102,0.6875,0.2324,51159,151349
MW72,PWG,34999,122243,0.2863,0.6841,0.3299,51159,106083
MW72,PWKVN,3036,63118,0.0481,0.0593,0.2025,51159,14995
MW72,SCH,5512,74102,0.0744,0.1077,0.1937,51159,28455
MW72,SHS,21700,76189,0.2848,0.4242,0.4644,51159,46730
MW72,SKD,2854,89122,0.0320,0.0558,0.0699,51159,40817
MW72,SNP,240,51367,0.0047,0.0047,0.5357,51159,448
MW72,STC,16066,59079,0.2719,0.3140,0.6698,51159,23986
MW72,VCP,19841,79954,0.2482,0.3878,0.4079,51159,48636
MW72,VEI,2180,52683,0.0414,0.0426,0.5886,51159,3704
MW72,WIL,20377,74721,0.2727,0.3983,0.4638,51159,43939
MW72,YAT,20499,75380,0.2719,0.4007,0.4584,51159,44720
PD,PE,173,111409,0.0016,0.0016,0.0261,104959,6623
PD,PGN,2,105427,0.0000,0.0000,0.0043,104959,470
PD,PUI,291,116398,0.0025,0.0028,0.0248,104959,11730
PD,PW,7223,249085,0.0290,0.0688,0.0477,104959,151349
PD,PWG,4093,206949,0.0198,0.0390,0.0386,104959,106083
PD,PWKVN,2381,117573,0.0203,0.0227,0.1588,104959,14995
PD,SCH,2924,130490,0.0224,0.0279,0.1028,104959,28455
PD,SHS,1765,149924,0.0118,0.0168,0.0378,104959,46730
PD,SKD,265,145511,0.0018,0.0025,0.0065,104959,40817
PD,SNP,11,105396,0.0001,0.0001,0.0246,104959,448
PD,STC,2015,126930,0.0159,0.0192,0.0840,104959,23986
PD,VCP,2278,151317,0.0151,0.0217,0.0468,104959,48636
PD,VEI,67,108596,0.0006,0.0006,0.0181,104959,3704
PD,WIL,1763,147135,0.0120,0.0168,0.0401,104959,43939
PD,YAT,1558,148121,0.0105,0.0148,0.0348,104959,44720
PE,PGN,81,7012,0.0116,0.0122,0.1723,6623,470
PE,PUI,2504,15849,0.1580,0.3781,0.2135,6623,11730
PE,PW,4199,153773,0.0273,0.6340,0.0277,6623,151349
PE,PWG,4052,108654,0.0373,0.6118,0.0382,6623,106083
PE,PWKVN,399,21219,0.0188,0.0602,0.0266,6623,14995
PE,SCH,848,34230,0.0248,0.1280,0.0298,6623,28455
PE,SHS,2145,51208,0.0419,0.3239,0.0459,6623,46730
PE,SKD,745,46695,0.0160,0.1125,0.0183,6623,40817
PE,SNP,67,7004,0.0096,0.0101,0.1496,6623,448
PE,STC,1829,28780,0.0636,0.2762,0.0763,6623,23986
PE,VCP,2849,52410,0.0544,0.4302,0.0586,6623,48636
PE,VEI,633,9694,0.0653,0.0956,0.1709,6623,3704
PE,WIL,2101,48461,0.0434,0.3172,0.0478,6623,43939
PE,YAT,2115,49228,0.0430,0.3193,0.0473,6623,44720
PGN,PUI,96,12104,0.0079,0.2043,0.0082,470,11730
PGN,PW,175,151644,0.0012,0.3723,0.0012,470,151349
PGN,PWG,165,106388,0.0016,0.3511,0.0016,470,106083
PGN,PWKVN,22,15443,0.0014,0.0468,0.0015,470,14995
PGN,SCH,35,28890,0.0012,0.0745,0.0012,470,28455
PGN,SHS,114,47086,0.0024,0.2426,0.0024,470,46730
PGN,SKD,26,41261,0.0006,0.0553,0.0006,470,40817
PGN,SNP,3,915,0.0033,0.0064,0.0067,470,448
PGN,STC,77,24379,0.0032,0.1638,0.0032,470,23986
PGN,VCP,120,48986,0.0024,0.2553,0.0025,470,48636
PGN,VEI,26,4148,0.0063,0.0553,0.0070,470,3704
PGN,WIL,114,44295,0.0026,0.2426,0.0026,470,43939
PGN,YAT,113,45077,0.0025,0.2404,0.0025,470,44720
PUI,PW,5427,157652,0.0344,0.4627,0.0359,11730,151349
PUI,PWG,5090,112723,0.0452,0.4339,0.0480,11730,106083
PUI,PWKVN,577,26148,0.0221,0.0492,0.0385,11730,14995
PUI,SCH,1149,39036,0.0294,0.0980,0.0404,11730,28455
PUI,SHS,3149,55311,0.0569,0.2685,0.0674,11730,46730
PUI,SKD,1040,51507,0.0202,0.0887,0.0255,11730,40817
PUI,SNP,105,12073,0.0087,0.0090,0.2344,11730,448
PUI,STC,2535,33181,0.0764,0.2161,0.1057,11730,23986
PUI,VCP,3765,56601,0.0665,0.3210,0.0774,11730,48636
PUI,VEI,818,14616,0.0560,0.0697,0.2208,11730,3704
PUI,WIL,3072,52597,0.0584,0.2619,0.0699,11730,43939
PUI,YAT,3102,53348,0.0581,0.2645,0.0694,11730,44720
PW,PWG,99454,157978,0.6295,0.6571,0.9375,151349,106083
PW,PWKVN,14973,151371,0.0989,0.0989,0.9985,151349,14995
PW,SCH,18289,161515,0.1132,0.1208,0.6427,151349,28455
PW,SHS,31304,166775,0.1877,0.2068,0.6699,151349,46730
PW,SKD,5654,186512,0.0303,0.0374,0.1385,151349,40817
PW,SNP,337,151460,0.0022,0.0022,0.7522,151349,448
PW,STC,17635,157700,0.1118,0.1165,0.7352,151349,23986
PW,VCP,35265,164720,0.2141,0.2330,0.7251,151349,48636
PW,VEI,3017,152036,0.0198,0.0199,0.8145,151349,3704
PW,WIL,29375,165913,0.1771,0.1941,0.6685,151349,43939
PW,YAT,29998,166071,0.1806,0.1982,0.6708,151349,44720
PWG,PWKVN,4041,117037,0.0345,0.0381,0.2695,106083,14995
PWG,SCH,7782,126756,0.0614,0.0734,0.2735,106083,28455
PWG,SHS,29993,122820,0.2442,0.2827,0.6418,106083,46730
PWG,SKD,5518,141382,0.0390,0.0520,0.1352,106083,40817
PWG,SNP,325,106206,0.0031,0.0031,0.7254,106083,448
PWG,STC,15169,114900,0.1320,0.1430,0.6324,106083,23986
PWG,VCP,34638,120081,0.2885,0.3265,0.7122,106083,48636
PWG,VEI,2949,106838,0.0276,0.0278,0.7962,106083,3704
PWG,WIL,28159,121863,0.2311,0.2654,0.6409,106083,43939
PWG,YAT,28805,121998,0.2361,0.2715,0.6441,106083,44720
PWKVN,SCH,13901,29549,0.4704,0.9270,0.4885,14995,28455
PWKVN,SHS,2549,59176,0.0431,0.1700,0.0545,14995,46730
PWKVN,SKD,361,55451,0.0065,0.0241,0.0088,14995,40817
PWKVN,SNP,41,15402,0.0027,0.0027,0.0915,14995,448
PWKVN,STC,2929,36052,0.0812,0.1953,0.1221,14995,23986
PWKVN,VCP,2703,60928,0.0444,0.1803,0.0556,14995,48636
PWKVN,VEI,308,18391,0.0167,0.0205,0.0832,14995,3704
PWKVN,WIL,2449,56485,0.0434,0.1633,0.0557,14995,43939
PWKVN,YAT,2537,57178,0.0444,0.1692,0.0567,14995,44720
SCH,SHS,5334,69851,0.0764,0.1875,0.1141,28455,46730
SCH,SKD,983,68289,0.0144,0.0345,0.0241,28455,40817
SCH,SNP,113,28790,0.0039,0.0040,0.2522,28455,448
SCH,STC,4761,47680,0.0999,0.1673,0.1985,28455,23986
SCH,VCP,5375,71716,0.0749,0.1889,0.1105,28455,48636
SCH,VEI,557,31602,0.0176,0.0196,0.1504,28455,3704
SCH,WIL,5120,67274,0.0761,0.1799,0.1165,28455,43939
SCH,YAT,5251,67924,0.0773,0.1845,0.1174,28455,44720
SHS,SKD,5236,82311,0.0636,0.1120,0.1283,46730,40817
SHS,SNP,290,46888,0.0062,0.0062,0.6473,46730,448
SHS,STC,9724,60992,0.1594,0.2081,0.4054,46730,23986
SHS,VCP,26399,68967,0.3828,0.5649,0.5428,46730,48636
SHS,VEI,1389,49045,0.0283,0.0297,0.3750,46730,3704
SHS,WIL,41854,48815,0.8574,0.8957,0.9525,46730,43939
SHS,YAT,39984,51466,0.7769,0.8556,0.8941,46730,44720
SKD,SNP,148,41117,0.0036,0.0036,0.3304,40817,448
SKD,STC,1405,63398,0.0222,0.0344,0.0586,40817,23986
SKD,VCP,6941,82512,0.0841,0.1701,0.1427,40817,48636
SKD,VEI,343,44178,0.0078,0.0084,0.0926,40817,3704
SKD,WIL,5528,79228,0.0698,0.1354,0.1258,40817,43939
SKD,YAT,4931,80606,0.0612,0.1208,0.1103,40817,44720
SNP,STC,174,24260,0.0072,0.3884,0.0073,448,23986
SNP,VCP,343,48741,0.0070,0.7656,0.0071,448,48636
SNP,VEI,58,4094,0.0142,0.1295,0.0157,448,3704
SNP,WIL,291,44096,0.0066,0.6496,0.0066,448,43939
SNP,YAT,296,44872,0.0066,0.6607,0.0066,448,44720
