root	finite_tokens	distinct_cells	cells
klid	8	2	Pres.Ind.Act.3.Sing:7;Pres.Ind.Act.3.Plur:1
kliś	58	9	Pres.Ind.Act.3.Sing:28;Pres.Ind.Act.3.Plur:20;Pres.Ind.Act.2.Sing:4;Pres.Ind.Act.3.Dual:1;Pres.Opt.Act.3.Plur:1;Past.Ind.Act.3.Sing:1;Pres.Ind.Act.1.Plur:1;Pres.Ind.Act.1.Sing:1;Past.Jus.Act.2.Sing:1
klāmay	1	1	Pres.Ind.Act.3.Sing:1
knopay	1	1	Pres.Ind.Act.3.Sing:1
kokūy	1	1	Pres.Opt.Act.2.Sing:1
kopay	35	13	Pres.Opt.Act.3.Sing:13;Pres.Ind.Act.3.Sing:8;Pres.Ind.Act.3.Plur:3;Past.Ind.Act.3.Sing:2;Pres.Opt.Act.2.Sing:1;Pres.Ind.Act.1.Sing:1;Impf.Ind.Act.3.Plur:1;Pres.Ind.Act.2.Sing:1;Fut.Ind.Act.3.Plur:1;Pres.Imp.Act.2.Sing:1;Impf.Ind.Act.2.Sing:1;Pres.Ind.Act.2.Plur:1;Pres.Jus.Act.3.Sing:1
kothay	1	1	Pres.Opt.Act.3.Sing:1
kram	328	35	Pres.Ind.Act.3.Sing:128;Past.Ind.Act.3.Sing:59;Pres.Imp.Act.2.Sing:29;Pres.Ind.Act.3.Plur:18;Pres.Opt.Act.3.Sing:17;Past.Ind.Act.3.Plur:13;Pres.Ind.Act.1.Sing:11;Pres.Imp.Act.2.Plur:7;Pres.Imp.Act.3.Sing:7;Past.Jus.Act.1.Sing:3;Impf.Ind.Act.3.Sing:3;Pres.Opt.Act.3.Plur:3;Impf.Ind.Act.3.Plur:3;Fut.Ind.Act.3.Plur:2;Fut.Ind.Act.3.Sing:2;Pres.Opt.Act.1.Sing:2;Pres.Opt.Act.1.Plur:2;Past.Jus.Act.3.Sing:2;Pres.Imp.Act.2.Dual:1;Past.Ind.Act.3.Dual:1;Impf.Ind.Act.2.Sing:1;Pres.Ind.Pass.3.Sing:1;Pres.Ind.Pass.3.Plur:1;Pres.Imp.Act.3.Plur:1;Pres.Ind.Act.3.Dual:1;Past.Jus.Act.2.Sing:1;Past.Sub.Act.3.Sing:1;Past.Imp.Act.2.Dual:1;Pqp.Ind.Act.3.Plur:1;Plp.Ind.Act.3.Plur:1;Pres.Sub.Act.1.Plur:1;Past.Ind.Act.2.Dual:1;Past.Jus.Act.3.Plur:1;Past.Ind.Act.2.Sing:1;Past.Ind.Act.1.Sing:1
kramay	1	1	Pres.Ind.Act.3.Sing:1
krand	131	19	Past.Ind.Act.3.Sing:44;Impf.Ind.Act.3.Sing:18;Pres.Ind.Act.3.Sing:14;Impf.Ind.Act.2.Sing:11;Pres.Imp.Act.2.Sing:8;Pres.Ind.Act.3.Plur:6;Past.Ind.Act.2.Sing:5;Pres.Imp.Act.3.Sing:4;Pres.Jus.Act.3.Sing:4;Past.Ind.Act.3.Plur:3;Plp.Ind.Act.3.Sing:3;Past.Jus.Act.2.Sing:3;Past.Jus.Act.3.Sing:2;Pres.Ind.Act.2.Sing:1;Impf.Ind.Act.3.Plur:1;Pres.Opt.Act.3.Sing:1;Pqp.Ind.Act.2.Sing:1;Pqp.Ind.Act.3.Sing:1;Plp.Ind.Act.2.Sing:1
kranday	7	4	Pres.Imp.Act.2.Sing:4;Past.Ind.Act.3.Sing:1;Impf.Ind.Act.2.Sing:1;Impf.Ind.Act.3.Plur:1
kratūy	2	1	Pres.Ind.Act.3.Plur:2
krodhay	2	2	Pres.Ind.Act.3.Plur:1;Pres.Opt.Act.3.Sing:1
kroḍīkṛ	2	2	Past.Ind.Act.3.Sing:1;Pres.Ind.Act.3.Sing:1
krudh	118	16	Past.Ind.Act.3.Sing:42;Past.Jus.Act.2.Sing:17;Impf.Ind.Act.3.Sing:16;Pres.Ind.Act.3.Sing:11;Past.Ind.Act.3.Plur:9;Pres.Ind.Act.3.Plur:6;Pres.Opt.Act.3.Sing:5;Pres.Ind.Pass.3.Sing:2;Pres.Opt.Pass.3.Sing:2;Past.Sub.Act.1.Plur:2;Pres.Ind.Act.3.Dual:1;Pres.Imp.Act.2.Sing:1;Pres.Opt.Act.2.Sing:1;Impf.Ind.Act.3.Plur:1;Pres.Opt.Pass.2.Sing:1;Past.Jus.Act.1.Sing:1
kruś	113	12	Past.Ind.Act.3.Plur:54;Past.Ind.Act.3.Sing:26;Pres.Ind.Act.3.Plur:15;Pres.Ind.Act.3.Sing:6;Pres.Imp.Act.3.Sing:3;Impf.Ind.Act.3.Plur:2;Pres.Opt.Act.3.Sing:2;Pres.Imp.Act.3.Plur:1;Pres.Ind.Act.1.Sing:1;Pres.Ind.Pass.3.Sing:1;Impf.Ind.Act.3.Sing:1;Pres.Ind.Act.3.Dual:1
krāmay	6	3	Pres.Opt.Act.3.Sing:3;Pres.Imp.Act.2.Sing:2;Pres.Ind.Act.3.Sing:1
krāth	1	1	Pres.Opt.Act.3.Sing:1
krāthay	1	1	Pres.Opt.Act.3.Sing:1
krī	182	19	Pres.Ind.Act.3.Sing:73;Pres.Opt.Act.3.Sing:23;Pres.Sub.Act.1.Sing:23;Pres.Ind.Act.3.Plur:18;Pres.Ind.Act.1.Sing:17;Pres.Imp.Act.2.Sing:5;Past.Ind.Act.3.Plur:4;Pres.Ind.Pass.3.Sing:3;Fut.Ind.Act.1.Plur:3;Pres.Ind.Act.2.Sing:2;Impf.Ind.Act.3.Plur:2;Pres.Ind.Pass.2.Sing:2;Pres.Opt.Act.3.Plur:1;Pres.Opt.Act.2.Plur:1;Pres.Imp.Pass.3.Sing:1;Pres.Ind.Act.1.Plur:1;Pres.Imp.Pass.2.Sing:1;Past.Ind.Act.3.Sing:1;Pres.Sub.Act.3.Sing:1
krīḍ	225	22	Pres.Ind.Act.3.Sing:94;Pres.Ind.Act.3.Plur:45;Past.Ind.Act.3.Sing:18;Past.Ind.Act.3.Plur:12;Pres.Ind.Act.2.Sing:8;Pres.Opt.Act.3.Sing:8;Pres.Imp.Act.2.Sing:8;Pres.Ind.Act.3.Dual:5;Impf.Ind.Act.3.Sing:4;Pres.Ind.Act.1.Plur:3;Pres.Opt.Act.1.Sing:3;Past.Ind.Act.3.Dual:3;Pres.Imp.Act.3.Plur:2;Pres.Imp.Act.3.Sing:2;Pres.Imp.Act.2.Plur:2;Pres.Ind.Act.1.Sing:2;Fut.Ind.Act.1.Plur:1;Fut.Ind.Act.1.Dual:1;Fut.Ind.Act.3.Plur:1;Fut.Ind.Act.2.Plur:1;Past.Ind.Act.1.Sing:1;Pres.Ind.Act.2.Plur:1
krīḍay	4	4	Pres.Ind.Act.1.Sing:1;Impf.Ind.Act.3.Plur:1;Past.Ind.Act.3.Sing:1;Pres.Imp.Act.2.Sing:1
krīḍāpay	1	1	Pres.Ind.Act.3.Sing:1
krūrīkṛ	7	2	Pres.Ind.Act.3.Plur:6;Pres.Ind.Act.3.Sing:1
krūḍay	3	3	Past.Ind.Act.3.Sing:1;Pres.Ind.Act.3.Sing:1;Pres.Opt.Act.3.Sing:1
kuhukuhāy	1	1	Pres.Ind.Act.3.Sing:1
kulyāy	1	1	Pres.Ind.Act.3.Sing:1
kumbhay	3	1	Pres.Opt.Act.3.Sing:3
kup	145	16	Pres.Ind.Act.3.Sing:47;Past.Ind.Act.3.Sing:33;Pres.Ind.Act.3.Plur:23;Pres.Ind.Pass.3.Sing:10;Pres.Opt.Act.3.Sing:10;Pres.Ind.Act.2.Sing:5;Pres.Ind.Pass.1.Sing:4;Pres.Ind.Act.1.Sing:3;Pres.Imp.Act.2.Sing:3;Pres.Ind.Act.3.Dual:1;Pres.Imp.Act.2.Plur:1;Pres.Opt.Pass.3.Sing:1;Pres.Opt.Pass.3.Plur:1;Past.Jus.Act.2.Sing:1;Impf.Ind.Act.1.Sing:1;Pres.Ind.Pass.3.Plur:1
kuraṅgāy	1	1	Pres.Ind.Act.3.Sing:1
kuts	1	1	Pres.Ind.Act.3.Sing:1
kutsay	4	3	Pres.Opt.Act.3.Sing:2;Pres.Ind.Act.1.Sing:1;Pres.Ind.Act.2.Sing:1
kuśalīkāray	2	1	Pres.Ind.Act.3.Plur:2
kuṇṭhay	1	1	Pres.Ind.Act.3.Sing:1
kuṣ	5	2	Pres.Ind.Act.3.Sing:3;Pres.Opt.Act.3.Sing:2
kuṭ	1	1	Pres.Opt.Act.3.Sing:1
kuṭṭ	4	1	Pres.Imp.Act.2.Sing:4
kuṭṭay	21	4	Pres.Opt.Act.3.Sing:16;Past.Ind.Act.3.Sing:2;Pres.Ind.Act.3.Plur:2;Pres.Ind.Act.3.Sing:1
kvaṇ	2	2	Pres.Opt.Act.3.Sing:1;Pres.Ind.Act.3.Sing:1
kvāthay	33	4	Pres.Opt.Act.3.Sing:30;Pres.Ind.Act.3.Plur:1;Pres.Ind.Act.3.Sing:1;Pres.Ind.Pass.3.Plur:1
kālay	30	10	Impf.Ind.Act.3.Plur:8;Pres.Ind.Act.3.Sing:6;Pres.Ind.Pass.3.Plur:4;Past.Ind.Act.3.Sing:4;Pres.Ind.Act.3.Plur:3;Pres.Imp.Pass.3.Plur:1;Impf.Ind.Act.3.Sing:1;Pres.Ind.Pass.3.Sing:1;Fut.Ind.Act.3.Sing:1;Fut.Cond.Act.2.Plur:1
kāmay	942	21	Pres.Opt.Act.3.Sing:424;Impf.Ind.Act.3.Sing:142;Pres.Ind.Act.3.Sing:137;Pres.Ind.Act.1.Sing:85;Past.Ind.Act.3.Sing:46;Impf.Ind.Act.3.Plur:38;Pres.Ind.Act.3.Plur:19;Pres.Imp.Act.3.Plur:9;Impf.Ind.Act.3.Dual:8;Pres.Ind.Act.2.Sing:8;Pres.Opt.Act.3.Plur:5;Pres.Ind.Act.1.Plur:4;Pres.Imp.Act.2.Sing:4;Pres.Ind.Pass.3.Sing:3;Pres.Ind.Act.2.Plur:2;Fut.Ind.Act.1.Sing:2;Pres.Opt.Act.1.Sing:2;Past.Ind.Act.3.Dual:1;Pres.Ind.Act.2.Dual:1;Pres.Sub.Act.2.Plur:1;Pres.Sub.Act.2.Sing:1
kāntāy	1	1	Pres.Ind.Act.3.Sing:1
kāray	1327	27	Pres.Opt.Act.3.Sing:983;Past.Ind.Act.3.Sing:86;Impf.Ind.Act.3.Sing:66;Pres.Ind.Act.3.Sing:66;Pres.Imp.Act.2.Sing:20;Pres.Ind.Pass.3.Sing:16;Pres.Ind.Act.3.Plur:12;Fut.Ind.Act.1.Sing:11;Fut.Ind.Act.3.Sing:9;Pres.Opt.Act.1.Sing:8;Pres.Ind.Act.1.Sing:7;Pres.Opt.Act.3.Plur:5;Pres.Imp.Act.3.Plur:5;Impf.Ind.Act.3.Plur:5;Pres.Ind.Act.1.Plur:4;Pres.Imp.Act.2.Plur:4;Fut.Ind.Act.3.Plur:4;Past.Ind.Act.3.Plur:4;Pres.Imp.Pass.3.Sing:3;Pres.Opt.Act.2.Sing:2;Impf.Ind.Act.1.Sing:1;Fut.Ind.Act.1.Plur:1;Pres.Ind.Act.2.Sing:1;Fut.Cond.Act.2.Sing:1;Pres.Imp.Pass.3.Plur:1;Past.Ind.Act.3.Dual:1;Pres.Ind.Pass.3.Dual:1
kārāpay	1	1	Pres.Imp.Act.2.Dual:1
kās	7	3	Pres.Ind.Act.3.Sing:3;Pres.Opt.Act.3.Sing:3;Past.Ind.Act.3.Sing:1
kāś	44	4	Past.Ind.Act.3.Plur:26;Past.Ind.Act.3.Sing:14;Past.Ind.Act.3.Dual:3;Impf.Ind.Act.3.Sing:1
kāśay	1	1	Past.Ind.Act.3.Sing:1
kāṅkṣ	79	15	Pres.Ind.Act.3.Sing:29;Pres.Ind.Act.3.Plur:14;Pres.Ind.Act.1.Sing:8;Pres.Opt.Act.3.Sing:7;Pres.Ind.Act.2.Sing:6;Fut.Ind.Act.3.Sing:3;Impf.Ind.Act.3.Sing:2;Pres.Imp.Act.2.Sing:2;Pres.Ind.Act.1.Plur:2;Past.Ind.Act.3.Sing:1;Pres.Imp.Act.2.Plur:1;Pres.Ind.Act.1.Dual:1;Pres.Imp.Act.3.Sing:1;Pres.Imp.Act.3.Plur:1;Fut.Ind.Act.1.Sing:1
kāṅkṣay	1	1	Pres.Opt.Act.3.Sing:1
kāṭay	2	1	Pres.Imp.Act.2.Sing:2
kīlay	2	1	Pres.Imp.Act.2.Sing:2
kīrtay	246	20	Pres.Opt.Act.3.Sing:68;Pres.Ind.Pass.3.Sing:53;Fut.Ind.Act.1.Sing:34;Pres.Ind.Act.3.Plur:21;Pres.Imp.Act.2.Sing:18;Pres.Ind.Act.3.Sing:18;Pres.Ind.Pass.3.Plur:8;Pres.Ind.Act.1.Sing:6;Fut.Ind.Act.3.Plur:5;Pres.Sub.Act.2.Sing:3;Pres.Ind.Act.2.Sing:2;Impf.Ind.Act.3.Sing:2;Impf.Ind.Pass.1.Sing:1;Pres.Opt.Act.1.Sing:1;Impf.Ind.Pass.3.Sing:1;Past.Ind.Act.3.Sing:1;Impf.Ind.Act.3.Plur:1;Pres.Imp.Act.3.Plur:1;Pres.Imp.Act.3.Sing:1;Past.Ind.Act.3.Plur:1
kśā	3	1	Past.Ind.Act.3.Sing:3
kū	1	1	Pres.Ind.Act.3.Sing:1
kūj	27	8	Pres.Ind.Act.3.Sing:8;Pres.Ind.Act.3.Plur:8;Pres.Opt.Act.3.Sing:4;Past.Ind.Act.3.Sing:3;Impf.Ind.Act.1.Sing:1;Pres.Imp.Act.2.Sing:1;Past.Ind.Act.3.Plur:1;Pres.Ind.Act.2.Sing:1
kūlay	1	1	Pres.Opt.Act.3.Sing:1
kūḍay	2	2	Impf.Ind.Act.3.Sing:1;Pres.Sub.Act.3.Dual:1
kūṭay	1	1	Pres.Opt.Act.3.Sing:1
kṛ	19827	107	Pres.Opt.Act.3.Sing:4158;Pres.Ind.Act.3.Sing:3821;Past.Ind.Act.3.Sing:1960;Pres.Imp.Act.2.Sing:1333;Pres.Ind.Act.3.Plur:871;Past.Ind.Act.3.Plur:755;Pres.Ind.Pass.3.Sing:721;Impf.Ind.Act.3.Sing:675;Fut.Ind.Act.1.Sing:515;Pres.Ind.Act.1.Sing:485;Fut.Ind.Act.3.Sing:410;Pres.Imp.Pass.3.Sing:318;Past.Imp.Act.2.Sing:281;Pres.Opt.Act.3.Plur:273;Past.Jus.Act.2.Sing:261;Pres.Imp.Act.3.Sing:253;Pres.Imp.Act.2.Plur:243;Impf.Ind.Act.3.Plur:222;Past.Ind.Act.3.Dual:126;Past.Ind.Act.1.Sing:126;Pres.Imp.Act.1.Sing:113;Pres.Ind.Act.2.Sing:112;Fut.Ind.Act.2.Sing:110;Fut.Ind.Act.3.Plur:103;Past.Ind.Act.1.Plur:98;Past.Ind.Act.2.Sing:94;Pres.Opt.Act.1.Sing:93;Pres.Ind.Act.1.Plur:91;Pres.Ind.Pass.3.Plur:86;Past.Sub.Act.3.Sing:86;Pres.Imp.Act.3.Plur:74;Past.Jus.Act.3.Sing:74;Fut.Ind.Act.1.Plur:71;Pres.Ind.Act.3.Dual:49;Pres.Opt.Act.2.Sing:45;Pres.Sub.Act.3.Sing:41;Pres.Opt.Pass.3.Sing:40;Past.Ind.Pass.3.Sing:39;Pres.Imp.Act.2.Dual:31;Impf.Ind.Act.2.Sing:27;Pres.Sub.Act.1.Plur:26;Past.Ind.Act.2.Dual:25;Past.Sub.Act.2.Sing:24;Impf.Ind.Act.1.Sing:24;Pres.Imp.Act.3.Dual:22;Past.Imp.Act.2.Dual:20;Impf.Ind.Pass.3.Sing:20;Pres.Imp.Act.1.Plur:19;Fut.Ind.Act.2.Plur:19;Past.Imp.Act.2.Plur:19;Fut.Ind.Act.3.Dual:18;Pres.Imp.Pass.3.Plur:18;Pres.Sub.Act.2.Sing:16;Pres.Sub.Act.1.Sing:16;Past.Ind.Act.2.Plur:15;Pres.Ind.Act.2.Plur:14;Past.Jus.Act.1.Sing:13;Past.Sub.Act.1.Plur:13;Pres.Sub.Act.3.Plur:12;Impf.Ind.Act.3.Dual:11;Impf.Ind.Act.1.Plur:11;Pres.Opt.Act.1.Plur:11;Past.Jus.Act.2.Plur:9;Pres.Opt.Pass.3.Plur:8;Pres.Jus.Act.3.Sing:8;Fut.Ind.Act.1.Dual:8;Pres.Opt.Act.3.Dual:8;Pres.Ind.Pass.3.Dual:7;Past.Jus.Act.3.Plur:7;Past.Sub.Act.3.Plur:7;Past.Jus.Act.1.Plur:6;Pres.Imp.Act.1.Dual:6;Pres.Ind.Act.2.Dual:6;Fut.Cond.Act.2.Sing:5;Past.Prec.Act.1.Sing:5;Past.Sub.Act.2.Dual:4;Pres.Sub.Act.1.Dual:4;Impf.Ind.Act.2.Dual:4;Impf.Ind.Act.2.Plur:4;Past.Sub.Act.1.Sing:4;Fut.Cond.Act.3.Sing:3;Fut.Cond.Act.2.Plur:3;Past.Prec.Act.3.Plur:3;Fut.Ind.Act.2.Dual:3;Impf.Ind.Pass.3.Plur:3;Pres.Jus.Act.3.Plur:3;Past.Sub.Act.2.Plur:2;Pres.Jus.Act.2.Sing:2;Pres.Ind.Act.1.Dual:2;Fut.Cond.Act.1.Plur:2;Past.Prec.Act.1.Plur:2;Pres.Sub.Act.2.Plur:2;Past.Imp.Act.3.Dual:2;Past.Sub.Act.3.Dual:2;Fut.Cond.Act.1.Sing:1;Pres.Sub.Act.3.Dual:1;Impf.Ind.Act.1.Dual:1;Pres.Opt.Act.2.Dual:1;Pres.Opt.Act.1.Dual:1;Pres.Opt.Act.2.Plur:1;Plp.Ind.Act.3.Sing:1;Plp.Ind.Act.1.Sing:1;Pqp.Ind.Act.3.Plur:1;Past.Opt.Act.2.Sing:1;Past.Opt.Act.1.Plur:1;Pres.Jus.Act.1.Sing:1;Past.Jus.Act.2.Dual:1
kṛcchrāy	1	1	Pres.Opt.Act.3.Sing:1
kṛp	10	7	Past.Ind.Act.3.Plur:3;Impf.Ind.Act.3.Plur:2;Pres.Ind.Act.3.Sing:1;Plp.Ind.Act.3.Plur:1;Past.Ind.Act.3.Sing:1;Impf.Ind.Act.3.Dual:1;Pres.Jus.Act.3.Plur:1
kṛpay	4	4	Past.Ind.Act.3.Sing:1;Pres.Jus.Act.2.Sing:1;Pres.Ind.Act.2.Sing:1;Impf.Ind.Act.3.Sing:1
kṛpaṇ	1	1	Impf.Ind.Act.3.Plur:1
kṛpaṇy	1	1	Pres.Ind.Act.3.Sing:1
kṛpaṇībhū	1	1	Pres.Ind.Act.3.Plur:1
kṛpāy	2	1	Pres.Opt.Act.3.Sing:2
kṛt	119	19	Past.Ind.Act.3.Sing:44;Pres.Ind.Act.3.Sing:20;Impf.Ind.Act.3.Plur:14;Pres.Ind.Act.3.Plur:7;Impf.Ind.Act.3.Sing:6;Pres.Imp.Act.2.Sing:5;Past.Ind.Act.3.Plur:5;Fut.Ind.Act.1.Sing:3;Pres.Ind.Act.1.Sing:3;Pres.Imp.Act.2.Plur:2;Past.Ind.Act.2.Sing:2;Past.Jus.Act.3.Sing:1;Pres.Imp.Pass.3.Sing:1;Fut.Ind.Act.3.Plur:1;Impf.Ind.Act.3.Dual:1;Pres.Ind.Act.2.Sing:1;Pres.Ind.Pass.3.Sing:1;Pres.Opt.Act.3.Sing:1;Pres.Jus.Act.3.Sing:1
kṛś	4	4	Pres.Ind.Act.1.Sing:1;Past.Ind.Act.3.Sing:1;Pres.Opt.Act.3.Sing:1;Pres.Ind.Act.3.Sing:1
kṛṣ	146	30	Pres.Ind.Act.3.Sing:41;Past.Ind.Act.3.Sing:26;Pres.Opt.Act.3.Sing:14;Pres.Ind.Pass.3.Sing:13;Pres.Ind.Act.3.Plur:7;Past.Ind.Act.3.Plur:4;Pres.Imp.Act.3.Sing:3;Pres.Imp.Pass.3.Sing:3;Pres.Imp.Act.2.Plur:3;Pres.Imp.Act.3.Plur:3;Past.Ind.Act.3.Dual:3;Pres.Ind.Pass.2.Sing:3;Pres.Opt.Act.3.Plur:2;Impf.Ind.Act.3.Sing:2;Pres.Ind.Pass.3.Plur:2;Pres.Ind.Act.1.Sing:2;Pres.Imp.Act.2.Sing:2;Pres.Ind.Act.2.Sing:1;Pres.Opt.Act.1.Sing:1;Fut.Ind.Act.3.Plur:1;Past.Ind.Act.2.Plur:1;Past.Ind.Act.1.Plur:1;Impf.Ind.Pass.3.Sing:1;Pres.Opt.Pass.3.Sing:1;Impf.Ind.Pass.3.Dual:1;Pres.Imp.Pass.3.Plur:1;Plp.Ind.Act.3.Plur:1;Pres.Ind.Act.2.Dual:1;Pres.Jus.Act.3.Sing:1;Past.Ind.Act.1.Sing:1
kṛṣṇāy	1	1	Pres.Ind.Act.3.Sing:1
kṣad	4	3	Pres.Ind.Act.3.Plur:2;Pres.Ind.Act.1.Plur:1;Past.Ind.Act.3.Sing:1
kṣam	226	28	Pres.Imp.Act.2.Sing:54;Pres.Ind.Act.3.Sing:46;Pres.Imp.Pass.3.Sing:33;Past.Ind.Act.3.Sing:15;Pres.Opt.Act.3.Sing:13;Pres.Imp.Act.3.Sing:10;Pres.Ind.Act.1.Sing:7;Pres.Ind.Act.3.Plur:6;Pres.Imp.Act.2.Plur:4;Pres.Opt.Act.1.Sing:4;Fut.Ind.Act.1.Sing:4;Pres.Ind.Pass.3.Sing:4;Pres.Opt.Act.2.Sing:3;Past.Ind.Act.3.Plur:3;Pres.Ind.Act.1.Plur:2;Impf.Ind.Act.3.Sing:2;Fut.Ind.Act.3.Plur:2;Fut.Ind.Act.3.Dual:2;Fut.Ind.Act.3.Sing:2;Pres.Ind.Act.2.Sing:2;Pres.Sub.Act.3.Sing:1;Pres.Imp.Act.3.Plur:1;Impf.Ind.Act.2.Sing:1;Pres.Ind.Act.3.Dual:1;Pres.Opt.Act.1.Plur:1;Impf.Ind.Act.1.Sing:1;Fut.Ind.Act.1.Plur:1;Past.Opt.Act.2.Sing:1
kṣamay	12	5	Past.Ind.Act.3.Sing:6;Pres.Ind.Act.1.Sing:3;Pres.Imp.Act.2.Sing:1;Fut.Ind.Act.3.Plur:1;Pres.Imp.Act.1.Plur:1
kṣamāpay	8	2	Pres.Opt.Act.3.Sing:7;Pres.Imp.Act.2.Plur:1
kṣan	5	5	Past.Jus.Act.2.Sing:1;Impf.Ind.Act.3.Sing:1;Pres.Ind.Pass.3.Dual:1;Pres.Ind.Pass.3.Sing:1;Pres.Ind.Act.3.Plur:1
kṣap	11	3	Pres.Opt.Act.3.Sing:8;Pres.Opt.Act.3.Plur:2;Fut.Ind.Act.1.Plur:1
kṣapay	72	16	Pres.Ind.Act.3.Sing:18;Pres.Opt.Act.3.Sing:15;Pres.Ind.Act.3.Plur:9;Fut.Ind.Act.3.Sing:6;Pres.Imp.Act.2.Sing:3;Pres.Ind.Act.1.Sing:3;Fut.Ind.Act.1.Sing:3;Past.Ind.Act.3.Sing:3;Pres.Opt.Act.1.Sing:2;Fut.Ind.Act.3.Plur:2;Pres.Opt.Act.2.Sing:2;Pres.Opt.Act.3.Plur:2;Impf.Ind.Act.3.Plur:1;Impf.Ind.Act.3.Dual:1;Pres.Opt.Act.1.Plur:1;Fut.Ind.Act.2.Sing:1
kṣar	159	16	Pres.Ind.Act.3.Plur:45;Pres.Ind.Act.3.Sing:35;Past.Ind.Act.3.Sing:23;Pres.Imp.Act.3.Plur:11;Impf.Ind.Act.3.Sing:10;Past.Ind.Act.3.Plur:10;Impf.Ind.Act.3.Plur:8;Pres.Imp.Act.2.Sing:5;Pres.Jus.Act.3.Sing:3;Pres.Opt.Act.1.Sing:2;Pres.Opt.Act.3.Sing:2;Past.Jus.Act.3.Sing:1;Pres.Imp.Act.3.Sing:1;Pres.Ind.Act.2.Sing:1;Pres.Jus.Act.3.Plur:1;Past.Ind.Act.2.Sing:1
kṣayay	1	1	Pres.Imp.Act.2.Sing:1
kṣepay	5	3	Pres.Opt.Act.3.Sing:3;Past.Ind.Act.3.Sing:1;Pres.Jus.Act.3.Sing:1
kṣi	335	32	Pres.Ind.Pass.3.Sing:98;Pres.Ind.Act.3.Sing:67;Pres.Ind.Pass.3.Plur:40;Past.Jus.Act.2.Sing:22;Pres.Ind.Act.3.Plur:16;Past.Jus.Act.3.Sing:10;Pres.Ind.Act.1.Sing:8;Pres.Ind.Act.2.Sing:8;Impf.Ind.Act.3.Sing:6;Impf.Ind.Pass.3.Sing:6;Pres.Ind.Act.2.Plur:6;Pres.Imp.Act.2.Sing:5;Pres.Opt.Act.3.Sing:5;Pres.Ind.Act.3.Dual:5;Pres.Opt.Pass.3.Sing:4;Pres.Opt.Pass.3.Plur:4;Pres.Sub.Act.3.Sing:4;Pres.Imp.Act.3.Sing:2;Impf.Ind.Pass.3.Plur:2;Past.Jus.Act.2.Plur:2;Pres.Ind.Act.1.Plur:2;Pres.Sub.Act.2.Sing:2;Pres.Ind.Act.2.Dual:2;Pres.Opt.Act.1.Plur:1;Past.Ind.Act.3.Sing:1;Past.Ind.Pass.3.Sing:1;Pres.Imp.Pass.3.Sing:1;Pres.Ind.Pass.2.Sing:1;Pres.Ind.Pass.3.Dual:1;Pres.Sub.Act.1.Plur:1;Past.Sub.Act.3.Sing:1;Pres.Jus.Act.1.Sing:1
kṣip	1223	29	Pres.Opt.Act.3.Sing:779;Past.Ind.Act.3.Sing:218;Pres.Ind.Act.3.Sing:42;Past.Ind.Act.3.Plur:28;Impf.Ind.Act.3.Sing:27;Pres.Ind.Act.3.Plur:21;Pres.Ind.Pass.3.Sing:19;Pres.Ind.Act.1.Sing:12;Pres.Ind.Act.2.Sing:10;Pres.Imp.Act.2.Sing:8;Fut.Ind.Act.3.Sing:7;Fut.Ind.Act.3.Plur:6;Pres.Ind.Pass.3.Plur:5;Pres.Imp.Pass.3.Sing:4;Pres.Opt.Act.2.Sing:4;Past.Ind.Act.3.Dual:4;Pres.Jus.Act.3.Sing:4;Past.Jus.Act.2.Sing:3;Impf.Ind.Act.1.Sing:3;Pres.Ind.Act.1.Plur:3;Fut.Ind.Act.2.Sing:3;Fut.Ind.Act.1.Sing:3;Impf.Ind.Act.3.Plur:2;Past.Ind.Act.2.Sing:2;Pres.Opt.Act.3.Plur:2;Past.Jus.Act.3.Plur:1;Past.Ind.Pass.3.Sing:1;Past.Ind.Act.1.Sing:1;Pres.Imp.Act.2.Plur:1
kṣobhay	56	15	Pres.Opt.Act.3.Sing:9;Past.Ind.Act.3.Sing:9;Pres.Ind.Act.3.Sing:9;Pres.Ind.Act.3.Plur:7;Fut.Ind.Act.1.Sing:5;Pres.Ind.Pass.3.Sing:3;Pres.Opt.Act.3.Plur:3;Pres.Imp.Act.2.Sing:2;Pres.Ind.Act.1.Sing:2;Pres.Imp.Act.2.Plur:2;Impf.Ind.Act.3.Sing:1;Pres.Imp.Pass.3.Sing:1;Past.Ind.Act.3.Plur:1;Impf.Ind.Pass.3.Sing:1;Pres.Opt.Act.3.Dual:1
kṣoday	1	1	Impf.Ind.Act.3.Sing:1
kṣu	3	2	Pres.Opt.Act.3.Sing:2;Pres.Ind.Act.3.Sing:1
kṣubh	57	8	Past.Ind.Act.3.Sing:29;Past.Ind.Act.3.Plur:11;Pres.Ind.Act.3.Sing:7;Impf.Ind.Act.3.Sing:4;Pres.Opt.Act.3.Sing:2;Pres.Ind.Pass.3.Sing:2;Pres.Ind.Act.2.Sing:1;Impf.Ind.Act.2.Plur:1
kṣud	3	2	Pres.Ind.Act.3.Plur:2;Pres.Ind.Act.3.Sing:1
kṣudh	3	2	Past.Jus.Act.3.Sing:2;Impf.Ind.Act.3.Plur:1
kṣveḍay	1	1	Pres.Ind.Act.3.Plur:1
kṣviḍ	7	3	Pres.Ind.Act.3.Plur:4;Pres.Opt.Act.3.Sing:2;Pres.Ind.Act.3.Sing:1
kṣā	1	1	Pres.Ind.Act.3.Dual:1
