total	abbrev	bib_code	gloss
89	GAṆIT.	c.074a	GAṆITĀDHYĀYA?  
87	Verz. d. Tüb. H.	c.372	? 
86	VṚDDHA-CĀṆ.	c.366	VṚDDHACĀṆAKYA ? 
85	TBR. Comm.	2.043a	TAITTIRĪYABRĀHMAṆA Commentary ? 
82	ST.	1.281	STENZLER.
80	HAUGHTON	1.005	A Dictionary Bengali and Sanskrit, explained in English.
78	KENOP.	1.168	KENOPANIṢAD in der Bibliotheca indica.
77	DĀYABH.	1.089a	DĀYABHĀGA, ed. Calc. 1829 (GILD. Bibl. 344).
77	TAITT. BR.	1.288	TAITTIRĪYABRĀHMAṆA.
76	HĀLA	c.100	?  
75	AUFRECHT, HALĀY.	c.2072	? 
74	ŚIVA-P.	c.267a	ŚIVAPURĀṆA ?  
73	MATSYOP.	1.209	MATSYOPĀKHYĀNA, ed. BOPP (GILD. Bibl. 106).
72	SIDDHĀNTAŚIR.	1.277	SIDDHĀNTAŚIROMAṆI, nach Anführungen im ŚKDR.
71	WIND. Sancara	1.332	FRID. H. H. WINDISCHMANNI Sancara sive de theo- logumenis Vedanticorum. Bonnae 1
70	KĀTY.	1.158	KĀTYĀYANA.
70	KERN	c.111	?  
70	LASSEN	c.116	?  
69	GHAṬ.	1.108	GHAṬAKARPARA, ed. Calc. (GILD. Bibl. 162).
67	ADBH. BR.	1.003	ADBHUTABRĀHMAṆA.
67	BRĀHMAṆA	c.106	?  
67	NĀRADA	c.182	?  
66	Mél. asiat.	1.213	Mélanges asiatiques tirés du Bulletin historico-philologique de l'Académie Impér
66	Verz. d. Pet. H.	1.316	BÖHTLINGK'S Verzeichniss der Petersburger Sanskrit- Handschriften in: DORN, das 
65	DEVĪ-P.	2.009	DEVĪPURĀṆA; nach Anführungen im ŚKDR.
65	GĀRUḌA-P.	c.354	GĀRUḌA-PURĀṆA ? 
64	GṚHYAS.	c.058	?  
63	TROYER	c.123	?  
62	CĀT.	1.154	Gedicht vom Vogel Cātaka in der Zeitschrift für die Kunde&#13;&#10;des Morgenlan
62	EKĀKṢARAK.	c.129	?  
61	MOLESW.	2.030	A Dictionary Murathee and English by YAMES T. MOLESWORTH. Bombay 1831. 4º.
61	KĀVYAPR.	c.060	?  
60	ĪŚOP.	1.132	ĪŚOPANIṢAD in der Bibliotheca indica.
60	HAUGHT.	c.108	?  
60	ROTH	c.139	?  
60	DURGĀD.	c.165	?  
59	GOP. BR.	c.384	GOPATHABRĀHMAṆA ? 
58	MAŚ.	1.191	MAŚAKA'S KALPASŪTRĀṆI.
58	SĀRAS.	1.271	SĀRASUNDARĪ, ein Commentar zum AMARAKOṢA; nach Anfüh-&#13;&#10;rungen im ŚKDR.
57	JYOT.	1.111	JYOTIṢA.
57	MĀṆḌ. UP.	1.205a	GAUḌAPĀDA'S Kārikā zur MĀṆḌ. UP. in der Biblio- theca indica.
57	LĀTY.	c.061	?  
56	BALA	c.025	? 
56	BHĀG.	c.033	? 
56	LANGL.	c.121a	 Alexandre Langlois (1788-1854), French indologist and translater 
56	MAHĀBH.	c.155	?  
55	BHARTṚ. Suppl.	1.039a	BHARTṚHARI, Ausg. von BOHLEN, Supplementum..  
55	ITIH.	1.137	ITIHĀSA.
55	VIKRAM.	1.320a	VIKRAMORVAŚĪ, ed. BOLLENSEN (GILD. Bibl. 206). Eine einfache Zahl verweist auf e
55	GAṆITĀDHY.	c.074	GAṆITĀDHYĀYA ?  
55	NIDĀNA	c.099	?  
54	KAIY.	1.146	KAIYAṬA, ein Erklärer von PATAÑJALI'S MAHĀBHĀṢYA.
54	PĀRŚVANĀTHAK.	c.059	?  
54	VARĀH.	c.264	?  
52	BHAVIṢYA-P.	c.388	BHAVIṢYAPURĀṆA ? 
51	DĀY.	1.089	DĀYABHĀGA, ed. Calc. 1829 (GILD. Bibl. 344).
51	MÜLLER	c.362	? 
50	SAM̃GĪTADĀM.	c.183	?  
48	MADHYAM.	4.007	MADHYAMAKAVṚTTI, handschriftlich in der Kais. Bibl. zu&#13;&#10;Paris, nach Mitt
48	HIOUENTHSANG	c.102	?  
47	WEBER, PRATIJÑĀS.	c.2111	? 
46	Z. f. vgl. Spr.	1.337	Zeitschrift für vergleichende Sprachforschung auf dem Gebiete des Deutschen, Gri
46	VĀRĀHA-P.	c.374	? 
46	PADMA-P.	c.404	PADMAPURĀṆA ? 
46	UTPALA	c.441	 ? 
45	ANUKR.	1.020	ANUKRAMAṆIKĀ.
45	ANUPADA	c.016	? 
45	AINSLIE	c.103	?  
44	VAIDY.	1.300	VAIDYAKA.
44	AŚOKĀVAD.	c.064	AŚOKĀVADĀNA?  
44	HAEB.	c.156	?  
44	ŚRUT. (BR.)	c.2078	? 
43	TANTRAS.	1.290	TANTRASĀRA, nach Anführungen im ŚKDR.
43	VĀCASP.	1.303	VĀCASPATI.
43	VIVĀDAC.	1.322	VIVĀDACINTĀMAṆI, ed. Calc. (GILD. Bibl. 351).
43	VEṆĪS.	2.050	VEṆĪSAM̃HĀRA; nach Anführungen im ŚKDR.
43	NĀGĀN.	c.071	?  
43	TANTRASĀRA	c.188	?  
43	BṚHADD.	c.191	?  
42	LIṄGA-P.	1.187	LIṄGAPURĀṆA.
42	VYAVAHĀRAT.	1.323	VYAVAHĀRATATTVA, ed. Calc. (GILD. Bibl. 342).
42	MUIR, Sanskrit Texts	3.009b	MUIR, Sanskr. Texts ?
42	MAHĀVĪRAC.	c.066	?  
42	AJAYAPĀLA	c.184	?  
40	GOLD. MĀN.	3.003	MĀNAVA-KALPA-SŪTRA; being a portion of this ancient work on Vaidik rites, togeth
40	UṆ.	c.062	?  
40	ŚĀṆḌ.	c.070	bhakti-sūtra, by śāṇḍilya  
39	SOM. NALA	3.014a	SOM. NALA
39	NIDĀNAS.	c.078	?  
39	KĀTANTRA	c.101	?  
39	MAHĀBH. lith. Ausg.	c.155a	?  
38	GOLD.	c.115	?  
38	ŚABDĀRTHAKALPATARU	c.185	?  
38	KĀD.	c.186	?  
38	JYOTISTATTVA	c.190	?  
38	TS. Comm.	c.2150	? 
37	BĀDAR.	c.023	? 
37	PRASAṄGĀBH.	c.067	?  
37	CHANDAS	c.287	?  
36	KṚṢIS.	c.073	?  
36	MAD.	c.076	?  
36	AJAYA	c.187	?  
36	KUMĀRILA	c.193	?  
35	LALIT. Calc	1.182	LALITAVISTARA in der Bibliotheca indica.
35	UPAL.	1.298	UPALEKHA de KRAMAPĀṬHA libellus. Ed. G. PERTSCH. Berolini&#13;&#10;1854. 8º.
35	BHAṬṬOTP.	c.892	?  
34	LANGLOIS	c.121	 Alexandre Langlois (1788-1854), French indologist and translater 
34	AMṚTAN. UP.	c.379	? 
33	MĀLAT.	1.201	MĀLATĪMĀDHAVA, ed. Calc. (GILD. Bibl. 210).
33	KĀTH.	c.069	?  
32	ŚĀRṄG. PADDH.	1.072	ŚĀRṄGADHARA'S PADDHATI; vgl. Bulletin historico-philo-&#13;&#10;logique de l'Aca
32	RATIM.	1.257	RATIMAÑJARĪ, ein Werk über Erotik; nach Anführungen im&#13;&#10;ŚKDR.
31	COL.	1.010b	AMARAKOṢA nach der Ausgabe von COLEBROOKE 
31	NĀṬYAŚ.	c.079	NĀṬYAŚĀSTRA ?  
31	DHANAM̃JAYA	c.189	?  
31	VĀMANA-P.	c.2105	? 
31	ĀRYABH.	c.468	?  
30	BṚH. DEV.	1.054	BṚHADDEVATĀ; S. R{%O%}TH, zur L. u. G. d. W. S. 49.
30	MAHĀN.	2.026	MAHĀNĀṬAKA (GILD. Bibl. 220).
30	KIRĀT.	c.065	?  
30	SMṚTI	c.198	?  
29	ĀNANDAL.	1.015	ĀNANDALAHARĪ in HAEB. Chrest. S. 246. fgg.
29	BALLANT.	c.027a	BALLANTYNE ? 
29	CŪLIKOP.	c.194	?  
28	MADAN.	c.068	?  
28	KṢITĪŚAV.	c.089	?  
28	UDBHAṬA	c.196	?  
28	PRĀYAŚCITTAT.	c.216	?  
28	Verz. d. Kop. H.	c.369	? 
28	Gött. gel. Anz.	c.765	? 
27	KŪRMA-P.	1.177	KŪRMAPURĀṆA.
27	SOM. NAL.	3.014	Die Sage von NALA und DAMAYANTI nach der Bearbeitung&#13;&#10;des SOMADEVA herau
27	BALLANTYNE	c.027b	? 
26	MAHĀNĀR. UP.	1.195	MAHĀNĀRĀYAṆOPANIṢAD.
26	PAÑCAT. ed. Bomb.	1.233c	? [Cologne addition]
26	ROTH, Zur L. u. G. d. W.	1.339b	Zur Literatur und Geschichte des Weda. Drei Abhandlungen von RUDOLPH ROTH. Stutt
26	BALL.	c.026	BALLANTYNE ? 
26	VAITĀN.	c.072	?  
26	NID.	c.082	?  
26	BROCKHAUS	c.134	?  
26	GOLĀDHY. BHUVANAK.	c.1643a	?  
25	TR.	c.128	?  
25	AJAYAP.	c.135	?  
25	FOUCAUX	c.140	?  
25	ROSEN	c.416	? 
25	SĀH.	c.474	?  
25	KṚṢṆAJ.	c.709a	?  
25	MĀTSYA-P.	c.775	? 
24	KAVIKALPADR.	1.165	KAVIKALPADRUMA, eine Wurzelsammlung; nach Anfüh-&#13;&#10;rungen im ŚKDR.
24	NYĀYA-S.	1.229	GOTAMA'S NYĀYASŪTRĀṆI, ed. Calc. (GILD. Bibl. 274).
24	ĀPASTAMBA	c.091	? 
24	WESTERGAARD	c.120	?  
24	AUFR.	c.146	?  
24	KAIYY.	c.272	?  
24	MAŚAKA	c.276	?  
23	DURGAD.	1.098	DURGĀDĀSA.
23	KAUṢ. BR.	1.163	KAUṢĪTAKIBRĀHMAṆA.
23	UTTARAR. ed. Cow.	c.004	? 
23	KṚṢISAM̃GR.	c.086	?  
23	PURĀṆA.	c.132	?  
23	VIṢṆU	c.213	?  
23	VAHNI-P.	c.373	VAHNIPURĀṆA ? 
23	YOGAYĀTRĀ	c.797	?  
23	Verz. d. Oxf.	c.887	? 
22	ŚIŚUP.	c.077	?  
22	TARKASAM̃GR.	c.088	?  
22	JOHNS.	c.172	?  
22	RATNĀK.	c.192	?  
21	HORĀŚ.	1.129	HORĀŚĀSTRA.
21	KĀLAS.	1.148	KĀLASAṂKALITA, citirt nach HAUGHTON'S Wörterbuch.
21	NYĀYAMĀLĀV.	4.009	NYĀYAMĀLĀVISTARA, nach Anführungen bei MUIR, Sanskrit Texts.
21	WHITNEY	c.299	?  
20	BHĀG. P. ed. Bomb.	1.036a	BHĀG. P. ed. Bomb.= BHĀGAVATAPURĀṆA, Bombay edition 
20	KOṢṬHĪPR.	1.173	KOṢṬHĪPRADĪPA, nach Anführungen im ŚKDR.
20	VAJRAS.	c.084	?  
20	MAH.	c.152	?  
20	WEBER, Omina	c.1894	?  
20	HĀRĪTA	c.197	?  
20	RÖER	c.2159	? 
20	AGNI-P.	c.383	AGNIPURĀṆA ? 
20	SCHÜTZ	c.427	? 
19	Mat. ind.	1.207a	Materia indica ? 
19	ANUPADAS.	c.017	? 
19	BHĀR. NĀṬYAŚ.	c.036	? 
19	ŚAK.	c.085	?  
19	PURĀṆA	c.131	?  
19	GRAHAṆAV.	c.1621	?  
19	ALBYROUNY	c.206	?  
19	BRAHMAP.	c.210	?  
19	KALKI-P.	c.356	? 
19	ŚĀŚVATA	c.756a	? 
18	VARĀH. L. JĀT.	1.308	VARĀHAMIHIRA'S LAGHUJĀTAKA.
18	VĀSAV.	1.310	VĀSAVADATTĀ; s. Z. d. d. m. G. VIII, 530. fgg.
18	BĀLAR.	c.024	? 
18	Hist. de la vie de HIOUEN-THSANG	c.1689	? 
18	BHŪRIPRAYOGA	c.195	?  
18	Bibl. ind.	c.2130	? 
18	BÖHTLINGK	c.377	? 
18	UP.	c.440	 ? 
18	PRAYOGAR.	c.475	?  
17	MALAMĀSAT.	1.200	MALAMĀSATATTVA (GILD. Bibl. 325), nach Anführungen&#13;&#10;im ŚKDR.
17	WINDISCHMANN, Sancara	1.332b	FRID. H. H. WINDISCHMANNI Sancara sive de theo- logumenis Vedanticorum. Bonnae 1
17	UDVĀHAT.	2.046	UDVĀHATATTVA; nach Anführungen im ŚKDR.
17	RĀMAT. UP.	c.007a	? 
17	SCHLEGEL	c.157	?  
17	VAIDYAKA.	c.162	?  
17	KĀTY. ŚR. S.	c.1901	?  
17	KAVIKALPADRUMA	c.203	?  
17	JĀBĀLOP.	c.204	?  
17	CAREY	c.205	?  
17	BṚHASPATI	c.207	?  
17	SIDDH.	c.222	?  
17	KUHN	c.223	?  
17	PĀDMA-P.	c.409	PADMAPURĀṆA (misspell of PADMA-P.?) 
16	GARBHOP.	1.104	GARBHOPANIṢAD.
16	MĀDHAVAK.	1.192	MĀDHAVAKĀRA.
16	GILD.	2.013	Scriptorum Arabum de Rebus Indi- cis loci et opuscula inedita. Ad codicum Pariss
16	ANNADĀKALPA	c.015	? 
16	GAṆARATNAM.	c.133	?  
16	MUIR	c.1370	?  
16	SCHIEFNER	c.138	?  
16	ANEKĀRTHAK.	c.202	?  
16	Ind.	c.2027	? 
16	R. ed. GORR.	c.2073x	Rāmāyaṇa, Gorresio edition, 1843--1867 
16	ŚAUNAKA	c.225	?  
16	ŚUDDHIT.	c.235	?  
16	MĀDHAVA	c.260	?  
16	BRAHMAS.	c.559	?  
16	VARARUCI	c.795	?  
15	BRAHMĀṆḌA-P.	1.046	BRAHMĀṆḌAPURĀṆA.
15	BṚHASP.	1.053	BṚHASPATI, Verfasser eines Gesetzbuchs; nach Anführungen&#13;&#10;in MIT. und DĀ
15	KĀVYA-PR.	1.167	KĀVYAPRAKĀŚA, ed. Calc. (GILD. Bibl. 265).
15	Mél. as.	1.213a	Mél. asiat. ?
15	ROXB.	1.261b	? 
15	UPAG. AV.	3.015	UPAGUPTĀVADĀNA, handschriftlich in der Bibliothek der&#13;&#10;Asiatischen Gesel
15	KATHOP.	c.080	?  
15	DṚṢṬĀNTAŚ.	c.087	?  
15	BURNOUF.	c.122	?  
15	DHARAṆĪ	c.201	?  
15	JYOTIST.	c.209	?  
15	VARĀHA-P.	c.443	 ? 
15	KĀṬY.	c.527	?  
15	PADDH.	c.894	?  
14	BENF. Gr.	1.034	BENFEY, Vollständige Grammatik der Sanskritsprache. Leipzig 1852.
14	BRAHMAV. P.	1.048	BRAHMAVAIVARTAPURĀṆA.
14	ŚABDĀRṆ.	1.062	ŚABDĀRṆAVA, ein Wörterbuch; nach Anführungen im ŚKDR.
14	PUR.	1.244	PURĀṆA.
14	SAṂGĪTAD.	1.269	SAM̃GĪTADĀMODARA (über Musik), nach Anführungen im ŚKDR.
14	STENZLER.	c.124	?  
14	BOPP	c.143	?  
14	VAIDYAKAPAR.	c.200	?  
14	DRAVYAR.	c.208	?  
14	KATHĀRṆAVA	c.218	?  
14	ŚRĪPATI	c.221	?  
14	SMARADĪPIKĀ	c.239	?  
14	YAMA	c.241	?  
14	CANDRA	c.270	?  
14	PRAŚNOTTARAM.	c.465	?  
14	FOUC.	c.512	?  
14	SĀṂKHYAPR.	c.544	?  
14	MATHUREŚA	c.893	?  
13	KĀṬH. ANUKR.	1.028d	ANUKRAMAṆIKĀ des  ? [Cologne addition]
13	WILSON, Hindu Th.	1.125a	Select specimens of the Theatre of the Hindus,&#13;&#10;translated from the orig
13	MAHĀV.	1.196	MAHĀVĪRACARITA. The Mahá Víra Charita, or the history of&#13;&#10;Ráma, a Sanscr
13	RĀJA-TAR. ed. Calc.	1.249b	RĀJATARAṄGIṆĪ,  Calc. Ausg. (GILD. Bibl. 147). 
13	LĪLĀV.	2.025	LĪLĀVATĪ.
13	DAŚABHŪM.	c.083	?  
13	PĀṆINI	c.130	?  
13	CARAṆAVYŪHA	c.238	?  
13	VĀCASPATI	c.254	?  
13	RANTIDEVA	c.295	?  
13	DEVĪM.	c.341	?  
13	BÜHLER	c.378	? 
13	NIGH.	c.463	?  
13	ŚĀNTIKALPA	c.790	?  
13	BHAṬṬOTPALA	c.896	?  
13	GAUḌA	c.905	?  
12	MAITR. UP.	1.199	MAITRĀYAṆYUPANIṢAD.
12	MĀLAV. ed. Bomb.	1.202a	 MĀLAVIKĀGNIMITRA, Bombay edition 
12	NĀR.	1.223	NĀRĀYAṆA, ein Scholiast von ŚAṄKH. GṚHY.
12	DAŚABH.	3.002	DAŚABHŪMĪŚVARA, handschriftlich in der Pariser Bibliothek,&#13;&#10;nach Mitthei
12	BENFEY.	c.032	? 
12	BR.	c.081	?  
12	MONIER WILLIAMS	c.1351	? 
12	CHEDYAK.	c.1556	?  
12	GAṆARATN.	c.161	?  
12	ŚABDĀRṆAVA	c.231	?  
12	PARĀŚARA	c.233	?  
12	ŚAṄKHA	c.237	?  
12	VEṆĪSAM̃H.	c.243	?  
12	RABHASA	c.248	?  
12	MĀDH.	c.281	?  
12	UVAṬA	c.322	?  
12	DIVYĀVAD.	c.353	DIVYĀVADĀNA ? 
12	KAṆĀDA	c.357	? 
12	WOLLH. Myth.	c.459	 ? 
12	SUBHĀṢ.	c.464	?  
12	PĀDMOTTARAKH.	c.469	?  
12	TRIPRAŚN.	c.470	?  
12	CAKRAD.	c.481	?  
12	KĀŚIKH.	c.510	?  
12	Ś.	c.534	?  
12	KAPILA	c.798	?  
12	PĀR.	c.955	?  
11	ĀHNIKAT.	1.007	ĀHNIKATATTVA.
11	ĀRUṆ. UP.	1.024	ĀRUṆIKOPANIṢAD.
11	WEBER, Ind. Lit.	1.135b	? 
11	RASAM.	1.256	RASAMAÑJARĪ (s. Verz. d. B. H. {%N;%} 597), nach Anführungen&#13;&#10;im ŚKDR.
11	VP. (2te Aufl.)	1.327a	? 
11	BAUDH.	2.002	BAUDHĀYANA.
11	BṚHADDHARMA-P.	2.004	BṚHADDHARMAPURĀṆA; nach Anführungen im ŚKDR.
11	ŚRĀDDHAT.	2.007	ŚRĀDDHATATTVA; nach Anführungen im ŚKDR.
11	BHĀMINĪV.	c.035a	BHĀMINĪVILĀSA ? 
11	PĀŚAKAKEV.	c.1671	? 
11	RĀMAT.	c.1705	? 
11	VIŚVAPR.	c.1892a	?  
11	DEVALA	c.211	?  
11	VAIDYAKAPARIBHĀṢĀ	c.215	?  
11	DHARAṆI	c.236	?  
11	KAIVALYOP.	c.242	?  
11	DĪPIKĀ	c.268	?  
11	YĀDAVA	c.317	?  
11	BHAVIṢYOTTARA-P.	c.389b	BHAVIṢYOTTARAPURĀṆA ? 
11	KĀṆ.	c.467	?  
11	MĀN.	c.681	?  
11	NĀṬY.	c.745	?  
11	COWELL	c.806	Edward Byles Cowell (1826-1903), first professor of Sanskrit at Cambridge Univer
10	AGNISV.	1.006	AGNISVĀMIN, ein Scholiast des LĀṬYĀYANA.
10	AV. ANUKR.	1.028	ANUKRAMAṆIKĀ des ATHARVAVEDA, 10 Paṭala. Hdschr.
10	COLEBR. Misc.	1.081c	COLEBROOKE'S Miscellaneous Essays. 2 Bände. Lon- don 1837. 
10	HAEB. Chrest.	1.117	KĀVYA-SANGRAHA. A Sanscrit Anthology, being A Col- lection of the best Smaller P
10	Journ. asiat.	1.143a	Journal asiatique.
10	DRĀHY.	2.010	DRĀHYĀYAṆA.
10	KĀTY. PADDH.	2.022	YĀJÑIKADEVA'S PADDHATI zu KĀTYĀYANA'S ŚRAUTASŪTRA.
10	PARĀŚARAPADDH.	2.033	PARĀŚARAPADDHATI; nach Anführungen im ŚKDR.
10	BANERJEA	4.001	Dialogues on the Hindu Philosophy, comprising the Nyaya, the Sankhya, the Vedant
10	BHĀGURI	c.034	? 
10	UPANIṢAD	c.141	?  
10	KĀṆVA	c.1417	?  
10	WEBER.	c.147	?  
10	VOIGT	c.160	?  
10	NĀNĀRTHARATNAM.	c.176	?  
10	BROCKH.	c.179	?  
10	KĀLIDĀSA	c.180	?  
10	UJJVALANĪLAMAṆI	c.212	?  
10	PĀKARĀJEŚVARA	c.217	?  
10	ŚATAR.	c.220	?  
10	SUKHABODHA	c.224	?  
10	TITHIT.	c.244	?  
10	UŚANAS	c.256	?  
10	YAVANEŚVARA	c.259	?  
10	DHYĀNABINDŪP.	c.275	?  
10	BRAHMAVAIV-P.	c.321c	BRAHMAVAIVARTAPURĀṆA?  
10	RĀGHAVAP.	c.466	?  
10	KṢITĪŚĀV.	c.472	?  
10	MADHY.	c.476	?  
10	YOGAY.	c.552	?  
10	Bibl. Ind.	c.755	? 
10	VAJRASŪCI	c.802	?  
9	ĀŚV. GṚHY. PARIŚ.	1.002a	? [Cologne addition]
9	BHĀNUD.	1.037	BHĀNUDĪKṢITA, ein Commentator des AMARAKOṢA; nach&#13;&#10;Anführungen im ŚKDR.
9	Misc. Ess.	1.081b	COLEBROOKE'S Miscellaneous Essays.? 
9	ŚUKAS.	1.085a	ŚUKASAPTATI in LASSEN'S Anthologie (GILD. Bibl. 48).
9	PRĀT.	1.242	PRĀTIŚĀKHYA.
9	RATNAK.	1.258	RATNAKOṢA, ein Wörterbuch; nach Anführungen im ŚKDR.
9	Fl. ind.	1.261a	? 
9	Verz. d. Kopenh. H.	1.315	WESTERGAARD'S Verzeichniss der Kopenhagener Sanskrit-Handschriften in: Codices o
9	NĀNĀRTHADHVANIM.	c.014	NĀNĀRTHADHVANIMAÑJARĪ  
9	MUIR, Sanscrit Texts	c.1353	? 
9	BOLLENSEN	c.1373	?  
9	MANU	c.142	?  
9	GILDEMEISTER	c.144	?  
9	Monatsberr. d. K. Pr. Ak. d. Ww.	c.1503	? 
9	HIT. ed. SCHL.	c.172c	?  
9	KAVIKALPALATĀ	c.214	?  
9	lith. Ausg.	c.2151	? 
9	VYĀSA	c.226	?  
9	KULĀRṆAVAT.	c.228	?  
9	VASIṢṬHA	c.229	?  
9	SĀRASVATA	c.232	?  
9	VĀYUP.	c.249	?  
9	GAUTAMA	c.303	?  
9	MADANAV.	c.325	?  
9	GARGA	c.349	?  
9	GARUḌA-P.	c.354a	GARUḌA-PURĀṆA ?  
9	DEVĪBHĀG. P.	c.395	DEVĪBHĀGAVATAPURĀṆA ? 
9	WOLLHEIM, Myth.	c.459a	 ? 
9	KAUṢ. ĀR.	c.773	? 
9	Verz. der Oxf. H.	c.890	? 
9	RĀMĀŚR.	c.895	?  
9	RĀMĀŚRAMA	c.897	?  
9	SUBHŪTI	c.899	?  
9	MUKUṬA	c.910	?  
8	JĀB. UP.	1.101	JĀBĀLOPANIṢAD.
8	KĀṬ.	1.153	KĀṬAVEMA, ein Scholiast des ŚĀKUNTALA.
8	PARĀŚ.	1.234	PARĀŚARA, Verfasser eines Gesetzbuchs; nach Anführungen&#13;&#10;in MIT., DĀY. u
8	MATHURĀN.	2.029	MATHURĀNĀTHA, ein Schol. des AK.; nach Anführungen&#13;&#10;im ŚKDR.
8	Notices	c.001	Notices of Skt. Mss. 
8	PĀTĀLAKH.	c.1023	?  
8	GOLDST.	c.1204	?  
8	TANTRA.	c.168	?  
8	AR. UP.	c.1683	? 
8	VARĀH. LAGH.	c.1686	? 
8	HAEB. Anthol.	c.1695	? 
8	POLEY	c.170	?  
8	YANTRĀDH.	c.1718	?  
8	DEVAR.	c.174	?  
8	RAJAN.	c.219	?  
8	RĀJAVALLABHA	c.250	?  
8	YUKTIKALPATARU	c.265	?  
8	KĀŚĪKHAṆḌA	c.266	?  
8	DĀYAT.	c.269	?  
8	RUDRA	c.278	?  
8	ṢAḌGURUŚ.	c.292	?  
8	BHAVIṢYOTT. P.	c.389	BHAVIṢYOTTARAPURĀṆA ? 
8	ST. JULIEN	c.430a	? 
8	KUMARĀS.	c.477	?  
8	ĀŚV.	c.521	?  
8	MERUTANTRA	c.791	?  
8	RĀMĀŚRAYA	c.898	?  
8	KṢĪRASV.	c.902	?  
8	ŚĀṂK.	c.911	?  
8	ŚĀṄKH.	c.936	?  
7	Bull. hist.-phil.	1.055	 Bulletin historico-philologique de l'Académie Im- périale des sciences de St.-P
7	ŚATAR. UP.	1.073	ŚATARUDRIYOPANIṢAD.
7	GAṆAR.	1.103	GAṆARATNAMAHODADHI, s. BÖHTLINGK, Einleitung zum PĀṆINI&#13;&#10;(GILD. Bibl. 24
7	YAVANEŚV.	1.141	YAVANEŚVARA.
7	KAIV. UP.	1.147	KAIVALYOPANIṢAD.
7	KOṢṬHĪPRADĪPA	1.173a	KOṢṬHĪPRADĪPA, nach Anführungen im ŚKDR. 
7	Verz. d. B.	1.314a	{1.314} ? 
7	RĀṢṬRAPĀLAP.	3.012	RĀṢTRAPĀLAPARIPṚCCHĀ, handschriftlich in der Pariser&#13;&#10;Bibliothek, nach M
7	TAITT.	c.1055	?  
7	LANGLOIS.	c.136	?  
7	HESSLER	c.1455	?  
7	SĀYAṆA	c.158	?  
7	Lois.	c.1606	?  
7	ŚATAKĀV.	c.2070	?  
7	UṆĀDIVR.	c.230	?  
7	PULASTYA	c.234	?  
7	KARMALOCANA	c.255	?  
7	UṆĀDIVṚTTI	c.261	?  
7	MATSYAP.	c.271	?  
7	CARAṆAVY.	c.286	?  
7	PURR.	c.326	?  
7	BHAVIṢYOTTARAPURĀṆA	c.389c	BHAVIṢYOTTARAPURĀṆA ? 
7	BṚHANNĀRAD. P.	c.390	BṚHANNĀRADAPURĀṆA ? 
7	PERTSCH	c.406	? 
7	VAIT.	c.471	?  
7	KAURAP.	c.480	?  
7	YAJÑAD.	c.482	?  
7	VĪR.	c.483	?  
7	VIKRAMAC.	c.524	?  
7	BHAVIṢYOTTARAP.	c.747	?  
7	CAKRADATTA	c.796	?  
7	KRIYĀSAMUCCAYA	c.815	?  
7	PANDIT	c.857	?  
7	Verz. d. Tüb. Hdschr.	c.888	? 
7	HAUG	c.907	?  
7	ŚRĪDHARASV.	c.934	?  
7	AMARAMĀLĀ	c.957	?  
6	WILSON, DAŚAK.	1.088a	DAŚAKUMĀRACARITA, ed. WILSON (GILD. Bibl. 236). 
6	DIVYA-AV.	1.096	DIVYĀVADĀNA, eine buddhistische Legendensammlung.
6	GORRESIO	1.112a	Gaspare Gorresio, translator of RĀMĀYAṆA 
6	Kār.	1.152	Kārikā.
6	MAÑJUŚRĪN.	1.206	ĀRYAMAÑJUŚRĪNĀMASAM̃GĪTI, s. Verz. d. Pet. H. No. 121.
6	MEGH. ed. ST.	1.212a	 MEGHADŪTA, ed. Stenzler. [Cologne addition]
6	NAVAR.	1.224	NAVARATNA in HAEB. {%C%}hrest. S. 1--3.
6	PRĀYAŚCITTAV.	1.241	PRĀYAŚCITTAVIVEKA, nach Anführungen im ŚKDR.
6	R. ed. Ser.	1.247c	Serampore ed. of Rāmāyaṇa [Cologne addition]
6	SIDDH. ŚIR.	1.277a	SIDDHĀNTAŚIROMAṆI, nach Anführungen im ŚKDR. ? 
6	JYOTIṢAT.	2.014	JYOTIṢATATTVA; nach Anführungen im ŚKDR.
6	KARMAPRAD.	2.021	KARMAPRADĪPA.
6	Trans. R. A. S.	2.045	The Transactions of the Royal Asiatic Society of Great Britain and Ireland; nach
6	UTTARARĀMAC. ed. Cow.	c.004b	? 
6	BENF.	c.031	? 
6	AŚOKĀV.	c.064a	AŚOKĀVADĀNA?  
6	BHĀSKARA	c.090	? 
6	PARIŚIṢṬA	c.1163	?  
6	FOUCAUX.	c.137	?  
6	DURGA.	c.145	?  
6	BOHLEN	c.1478	?  
6	GOLAB.	c.1559	?  
6	SPAṢṬĀDHY.	c.1720	?  
6	RĀMĀYAṆA	c.175	?  
6	LASSEN, Pentap.	c.1795	? 
6	DĪP.	c.240	?  
6	SĀRASV.	c.246	?  
6	ŚABDĀRTHAKALP.	c.247	?  
6	SAM̃GĪTARATNĀKARA	c.251	?  
6	TANTRA	c.253	?  
6	ŚABDAK.	c.257	?  
6	HAḌḌACANDRA	c.263	?  
6	VIJAYARAKṢITA	c.274	?  
6	JYOTIṢA	c.290	?  
6	KĀLIKĀP.	c.305	?  
6	RUDRAYĀMALA	c.313	?  
6	VIṢṆUDHARMOTTARA	c.314	?  
