dict,dim_id,dim_name,options_available
CCS,20,Cross-reference syntax,explicit|k1|italic|absent
CCS,21,Loanword marker,tagged|untagged
CCS,23,Vedic-only marker,flagged|unflagged
SCH,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
SCH,2,Duplication after r,opt1|opt2
SCH,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
SCH,4,Inflected vs uninflected headword form,inflected|uninflected
SCH,5,Anusvāra of verbs,present|absent
SCH,6,ṛkārānta words,opt1|opt2|opt3
SCH,7,vas/yas suffixes,opt1|opt2|opt3|opt4
SCH,8,Sandhi handling at compound boundary,preserved|split|both
SCH,15,Citation format style,abbreviated|full|sanskrit
SCH,16,Mahābhārata edition reference,pune|critical
SCH,18,Verb-class marker style,roman|arabic|sanskrit
SCH,19,Etymology presence,none|partial|full
SCH,20,Cross-reference syntax,explicit|k1|italic|absent
SCH,21,Loanword marker,tagged|untagged
SCH,23,Vedic-only marker,flagged|unflagged
BOP,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
BOP,2,Duplication after r,opt1|opt2
BOP,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
BOP,4,Inflected vs uninflected headword form,inflected|uninflected
BOP,5,Anusvāra of verbs,present|absent
BOP,6,ṛkārānta words,opt1|opt2|opt3
BOP,7,vas/yas suffixes,opt1|opt2|opt3|opt4
BOP,8,Sandhi handling at compound boundary,preserved|split|both
BOP,15,Citation format style,abbreviated|full|sanskrit
BOP,16,Mahābhārata edition reference,pune|critical
BOP,18,Verb-class marker style,roman|arabic|sanskrit
BOP,19,Etymology presence,none|partial|full
BOP,20,Cross-reference syntax,explicit|k1|italic|absent
BOP,21,Loanword marker,tagged|untagged
BOP,23,Vedic-only marker,flagged|unflagged
VCP,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
VCP,2,Duplication after r,opt1|opt2
VCP,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
VCP,4,Inflected vs uninflected headword form,inflected|uninflected
VCP,5,Anusvāra of verbs,present|absent
VCP,6,ṛkārānta words,opt1|opt2|opt3
VCP,7,vas/yas suffixes,opt1|opt2|opt3|opt4
VCP,8,Sandhi handling at compound boundary,preserved|split|both
VCP,15,Citation format style,abbreviated|full|sanskrit
VCP,16,Mahābhārata edition reference,pune|critical
VCP,18,Verb-class marker style,roman|arabic|sanskrit
VCP,19,Etymology presence,none|partial|full
VCP,20,Cross-reference syntax,explicit|k1|italic|absent
VCP,21,Loanword marker,tagged|untagged
VCP,23,Vedic-only marker,flagged|unflagged
