dict_a,dict_b,n_exclusive_lemmas,examples
SCH,SKD,3,parAjitaH BavitA vallavI
GRA,VEI,3,purUru prAtardani sarah
BEN,VCP,3,pUrba mittrayu vakavratika
PUI,VEI,3,prAvahi SaSvatI sudevI
BEN,LRV,3,priyaMgu vizvakzeRa sAnniDyatas
ACPH,SKD,3,PalakI yamasvasA vaNgaM
KRM,SHS,3,bazka mAkzi hiqi
PUI,SHS,3,maRivaka vidiSa SuSravas
BEN,CAE,2,aNgulitravant saMpradAtf
BUR,SCH,2,adAsi camUra
BEN,STC,2,apadozatA qInaka
AP90,PUI,2,aMbA aMbikA
LAN,PW,2,avicCindant asvapant
PW,YAT,2,aSORqIra sparSasyanda
AP90,VCP,2,ahvala Amiz
BUR,PWG,2,Anarda kASamarda
FRI,VCP,2,AveSita DUmAdi
BHS,PGN,2,indrapura viBudatta
BOP,STC,2,Ije up
KRM,SKD,2,unBa staka
ARMH,PW,2,uruga kanyakubjA
SCH,SNP,2,karikesara vilaNga
BEN,MD,2,kartumanas yacCa
ACPH,PW,2,kalApUrA pAdapIWI
SNP,VCP,2,kAkaRantI mAzakalAya
KRM,PW,2,kusi SUrI
GRA,LAN,2,Goracakzus vftraputra
BOP,PE,2,c j
BUR,LRV,2,caturdiSa sUtyaSOca
VCP,VEI,2,jAru pAkaru
BOP,CAE,2,jiGAMs jugups
AP,ARMH,2,turaNgaskanDa viDra
PWKVN,SCH,2,triveRa vajrapAtAyita
IEG,INM,2,diSaH BagavadBakta
CCS,KRM,2,nADf hnuN
IEG,KRM,2,paqi puwi
BOP,PW,2,pUrvAhna ropay
BHS,MD,2,pfcCa yacca
ACPH,AP,2,pravaravAhanO vIraBavantI
SKD,STC,2,prAduH voQA
ARMH,VCP,2,brAhmaRAdi sarvasannahana
MD,SKD,2,BagoH lANgalikA
ACC,VEI,2,maSakagArgya SatabalAkzamOdgalya
ACSJ,LRV,2,yamanI liKitA
PWG,SHS,2,yogavarttikA raRamuzwi
KRM,WIL,2,zwupa zvaYja
CCS,GRA,2,sumnAvan harzi
BOP,MD,1,aklizwakAra
GST,LAN,1,akzArAlavaRa
ACPH,PD,1,agnirecaka
GST,WIL,1,agnivAhu
ACSJ,PD,1,acyutadevI
PD,PGN,1,ajapura
AP90,PD,1,awaru
BUR,GST,1,atigarbita
ACPH,STC,1,ato
INM,VEI,1,aTarvANgirasaH
AP,VEI,1,aTarvARaH
CCS,GST,1,aparokzi
CAE,GST,1,apaSyamAna
AP90,MCI,1,apAM
