dict,dim_id,dim_name,options_available,source_available,exemplar_1,exemplar_2,exemplar_3,annotator_value,annotator_label_if_new,annotator_confidence,annotator_notes
SKD,6,ṛkārānta words,opt1|opt2|opt3,yes,,,,,,,
SKD,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,avas,,,,,,
SKD,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
SKD,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
INM,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,AdivaMSAvatAraRa,AdivaMSAvatAraRa,AdivaMSAvatAraRaparvan,,,,
INM,2,Duplication after r,opt1|opt2,yes,aBimanyorBAryA,aBimanyuvaDaparvan,AcArya,,,,
INM,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,agnimat,aMSumat,aMSumat,,,,
INM,4,Inflected vs uninflected headword form,inflected|uninflected,yes,abala,abBakzAH,aBagnaparisaNKyAna,,,,
INM,5,Anusvāra of verbs,present|absent,yes,BfguBaradvAjasaMvAda :: [{@Bhṛgu-Bharadvāja-saṃvāda(ḥ)@}]¦ (“the conversation between Bhṛgu and Bharadvāja”). § 66,,,,,,
INM,6,ṛkārānta words,opt1|opt2|opt3,yes,akartf,ambikABartf,annaBoktf,,,,
INM,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,amUrtarayas,BUriSravas,Buvas,,,,
INM,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
INM,16,Mahābhārata edition reference,pune|critical,yes,"ṣases and Bhaya, “fear,” Mahābhaya, “terror,” and Mṛtyu, “death”).","ifice Vyāsa</is> recited Mahābhārata. <div n=""P"">({%b%}) Kathānuba","(m)@} = Agastyopākhyāna (Mbh. III, ch. {@96@} ff.). § 11 (Parva",,,,
VEI,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSu,aMhasaspati,atyaMhasAruRi,,,,
VEI,2,Duplication after r,opt1|opt2,yes,ajIgartasOyavasa,aTarvan,aTarvARaH,,,,
VEI,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,jagat,nivat,pravat,,,,
VEI,4,Inflected vs uninflected headword form,inflected|uninflected,yes,aMSu,aMhasaspati,akra,,,,
VEI,5,Anusvāra of verbs,present|absent,yes,,,,,,,
