source,inheritor,source_size,inheritor_size,intersection,containment,lift,pmi,rare_cont_2,src_rare_2,rare_cont_3,src_rare_3,rare_cont_5,src_rare_5,excl_pair,source_year,inheritor_year,temporal_plausible,both_in_L0
LAN,PW,4726,151349,4100,0.8675,2.693,1.429,0.0081,248,0.0776,348,0.2933,600,2,1884,1879,False,False
GST,PW,6761,151349,4465,0.6604,2.05,1.036,0.0311,740,0.0753,1196,0.2655,2211,23,1856,1879,True,True
ACSJ,PW,634,151349,480,0.7571,2.35,1.233,0.0,68,0.075,80,0.2769,130,0,1896,1879,False,False
LRV,AP90,48259,34277,11173,0.2315,3.174,1.666,0.0741,11043,0.0741,12895,0.0755,18338,818,1889,1890,True,True
PUI,MW,11730,194084,6280,0.5354,1.296,0.374,0.0272,5324,0.0735,5714,0.2105,6812,145,1951,1899,False,True
PE,PUI,6623,11730,2504,0.3781,15.144,3.921,0.0432,1621,0.0714,1878,0.1074,2664,70,1975,1951,False,False
MD,MW72,20103,51159,12423,0.618,5.675,2.505,0.0119,843,0.0695,1784,0.1343,4325,10,1893,1872,False,True
SHS,LRV,46730,48259,23181,0.4961,4.83,2.272,0.0457,1554,0.0691,4282,0.1197,10895,71,1900,1889,False,True
PW,ACC,151349,32576,9368,0.0619,0.893,-0.164,0.0169,29633,0.0686,60099,0.0764,98183,500,1879,1962,True,True
BHS,MW,17777,194084,6541,0.3679,0.891,-0.167,0.0265,10915,0.0684,11581,0.1871,13701,289,1953,1899,False,True
ABCH,SKD,11584,40817,2064,0.1782,2.051,1.036,0.0389,514,0.0682,645,0.126,1270,20,1896,1886,False,False
STC,AP,23986,88667,10035,0.4184,2.217,1.149,0.0149,2221,0.0682,4088,0.1953,7858,33,1932,1957,True,True
WIL,VCP,43939,48636,26178,0.5958,5.755,2.525,0.0171,995,0.0663,3650,0.2106,9924,17,1832,1873,True,True
GRA,PWG,11108,106083,8961,0.8067,3.573,1.837,0.0165,1212,0.0656,1569,0.5237,3668,20,1873,1855,False,True
PUI,AP,11730,88667,2520,0.2148,1.138,0.187,0.0609,5324,0.0642,5714,0.0684,6812,324,1951,1957,True,True
MCI,PE,2325,6623,1062,0.4568,32.404,5.018,0.0226,532,0.0631,602,0.113,805,12,1993,1975,False,False
BOP,PW,8505,151349,7045,0.8283,2.571,1.363,0.0085,236,0.063,349,0.2007,593,2,1847,1879,True,True
MD,PD,20103,104959,1749,0.087,0.389,-1.36,0.0439,843,0.0628,1784,0.0855,4325,37,1893,1976,True,False
ACPH,PW,1453,151349,1020,0.702,2.179,1.124,0.0079,253,0.0604,298,0.4007,549,2,1896,1879,False,False
BOP,BEN,8505,17036,6003,0.7058,19.466,4.283,0.0212,236,0.0602,349,0.1282,593,5,1847,1866,True,True
MCI,MW,2325,194084,1690,0.7269,1.76,0.815,0.015,532,0.0598,602,0.2559,805,8,1993,1899,False,True
VCP,PWG,48636,106083,34638,0.7122,3.154,1.657,0.0242,5955,0.0586,7491,0.3721,15836,144,1873,1855,False,True
AP90,LRV,34277,48259,11173,0.326,3.174,1.666,0.0715,11434,0.0585,16351,0.0746,18547,818,1890,1889,False,True
ARMH,PW,6673,151349,5526,0.8281,2.571,1.362,0.0071,282,0.0585,359,0.2683,589,2,1861,1879,True,False
VCP,PW,48636,151349,35265,0.7251,2.251,1.171,0.0081,5955,0.0569,7491,0.3805,15836,48,1873,1879,True,True
VCP,LRV,48636,48259,21292,0.4378,4.262,2.092,0.0369,5955,0.0567,7491,0.0952,15836,220,1873,1889,True,True
CAE,PWG,38484,106083,29052,0.7549,3.344,1.741,0.0026,1894,0.0563,3803,0.4023,11180,5,1891,1855,False,True
PWKVN,ACC,14995,32576,817,0.0545,0.786,-0.348,0.0,463,0.0559,2971,0.0612,9703,0,n/a,1962,True,False
ACPH,PWG,1453,106083,1022,0.7034,3.115,1.639,0.0198,253,0.0537,298,0.3953,549,5,1896,1855,False,False
VCP,AP,48636,88667,15773,0.3243,1.718,0.781,0.023,5955,0.0519,7491,0.0782,15836,137,1873,1957,True,True
STC,SCH,23986,28455,4761,0.1985,3.277,1.713,0.0716,2221,0.0516,4088,0.0956,7858,159,1932,1928,False,True
KRM,VCP,1698,48636,960,0.5654,5.462,2.449,0.0152,660,0.0514,700,0.3148,1007,10,1965,1873,False,True
MW,MW72,194084,51159,45855,0.2363,2.17,1.118,0.042,61214,0.0513,93230,0.1008,135524,2572,1899,1872,False,True
INM,PE,9454,6623,3231,0.3418,24.245,4.6,0.0211,2564,0.0511,2934,0.1258,4268,54,1904,1975,True,False
BHS,PD,17777,104959,881,0.0496,0.222,-2.172,0.0493,10915,0.0498,11581,0.0464,13701,538,1953,1976,True,False
PGN,MW,470,194084,198,0.4213,1.02,0.028,0.0255,275,0.0496,282,0.1672,323,7,1978,1899,False,False
PW,PWKVN,151349,14995,14973,0.0989,3.1,1.632,0.0149,29633,0.0491,60099,0.0986,98183,441,1879,n/a,True,False
BOP,MW72,8505,51159,6563,0.7717,7.087,2.825,0.0254,236,0.0487,349,0.0978,593,6,1847,1872,True,True
MW,AP,194084,88667,38129,0.1965,1.041,0.058,0.0304,61214,0.0486,93230,0.0871,135524,1860,1899,1957,True,True
STC,PD,23986,104959,2015,0.084,0.376,-1.411,0.018,2221,0.0484,4088,0.0723,7858,40,1932,1976,True,False
INM,PW,9454,151349,5903,0.6244,1.938,0.955,0.0051,2564,0.0477,2934,0.2847,4268,13,1904,1879,False,True
ABCH,ARMH,11584,6673,5065,0.4372,30.786,4.944,0.0331,514,0.0465,645,0.0709,1270,17,1896,1861,False,False
MD,CAE,20103,38484,13368,0.665,8.119,3.021,0.013,843,0.0465,1784,0.1556,4325,11,1893,1891,False,True
VEI,PWG,3704,106083,2949,0.7962,3.526,1.818,0.0081,492,0.0462,585,0.4365,1095,4,1912,1855,False,True
PE,SKD,6623,40817,745,0.1125,1.295,0.373,0.0333,1621,0.0458,1878,0.0484,2664,54,1975,1886,False,False
MCI,PW,2325,151349,1539,0.6619,2.055,1.039,0.0056,532,0.0449,602,0.2174,805,3,1993,1879,False,True
SCH,MW,28455,194084,14522,0.5103,1.235,0.305,0.0225,9208,0.0446,11872,0.3036,19371,207,1928,1899,False,True
GST,PWG,6761,106083,4009,0.593,2.626,1.393,0.0162,740,0.0443,1196,0.1999,2211,12,1856,1855,False,True
LAN,PD,4726,104959,254,0.0537,0.241,-2.055,0.0282,248,0.0431,348,0.0417,600,7,1884,1976,True,False
CCS,MD,28751,20103,11925,0.4148,9.694,3.277,0.0203,640,0.0425,1648,0.0723,6086,13,1887,1893,True,True
BHS,PW,17777,151349,6089,0.3425,1.063,0.089,0.0057,10915,0.0421,11581,0.1765,13701,62,1953,1879,False,True
ARMH,AP,6673,88667,3073,0.4605,2.44,1.287,0.0071,282,0.0418,359,0.1171,589,2,1861,1957,True,False
MW72,SHS,51159,46730,21700,0.4242,4.265,2.092,0.0045,5555,0.0416,8434,0.0844,18251,25,1872,1900,True,True
PW,SCH,151349,28455,18289,0.1208,1.995,0.997,0.0016,29633,0.0408,60099,0.0988,98183,46,1879,1928,True,True
FRI,LRV,7775,48259,4247,0.5462,5.318,2.411,0.0148,1151,0.0404,1336,0.0465,1805,17,1956,1889,False,True
ABCH,AP,11584,88667,5130,0.4429,2.347,1.231,0.0195,514,0.0403,645,0.1559,1270,10,1896,1957,True,False
WIL,SKD,43939,40817,5528,0.1258,1.448,0.534,0.009,995,0.04,3650,0.0953,9924,9,1832,1886,True,True
CAE,AP,38484,88667,13044,0.3389,1.796,0.845,0.0048,1894,0.0397,3803,0.0741,11180,9,1891,1957,True,True
MD,CCS,20103,28751,11925,0.5932,9.694,3.277,0.0154,843,0.0392,1784,0.1017,4325,13,1893,1887,False,True
MW72,PW,51159,151349,35171,0.6875,2.134,1.094,0.0043,5555,0.0381,8434,0.3525,18251,24,1872,1879,True,True
SHS,VCP,46730,48636,26399,0.5649,5.457,2.448,0.0425,1554,0.0381,4282,0.178,10895,66,1900,1873,False,True
PWKVN,MW,14995,194084,9757,0.6507,1.575,0.656,0.0,463,0.038,2971,0.4974,9703,0,n/a,1899,True,False
GRA,MW72,11108,51159,5666,0.5101,4.685,2.228,0.0066,1212,0.0376,1569,0.1011,3668,8,1873,1872,False,True
ACSJ,LRV,634,48259,406,0.6404,6.235,2.64,0.0294,68,0.0375,80,0.1077,130,2,1896,1889,False,False
ACSJ,PWG,634,106083,462,0.7287,3.227,1.69,0.0147,68,0.0375,80,0.2077,130,1,1896,1855,False,False
ACSJ,SCH,634,28455,153,0.2413,3.985,1.994,0.0441,68,0.0375,80,0.0538,130,3,1896,1928,True,False
ACSJ,SKD,634,40817,94,0.1483,1.707,0.771,0.0147,68,0.0375,80,0.0615,130,1,1896,1886,False,False
INM,MCI,9454,2325,1529,0.1617,32.683,5.03,0.0281,2564,0.0372,2934,0.0534,4268,72,1904,1993,True,True
MW72,WIL,51159,43939,20377,0.3983,4.259,2.091,0.0013,5555,0.0369,8434,0.0796,18251,7,1872,1832,False,True
SCH,PD,28455,104959,2924,0.1028,0.46,-1.12,0.0412,9208,0.0366,11872,0.0903,19371,379,1928,1976,True,False
ARMH,PD,6673,104959,272,0.0408,0.182,-2.454,0.0284,282,0.0362,359,0.0323,589,8,1861,1976,True,False
WIL,MW,43939,194084,36548,0.8318,2.014,1.01,0.003,995,0.0362,3650,0.3656,9924,3,1832,1899,True,True
IEG,MW,7575,194084,2870,0.3789,0.917,-0.125,0.0132,4612,0.0347,4758,0.0931,5126,61,1966,1899,False,False
FRI,PW,7775,151349,5551,0.714,2.216,1.148,0.0061,1151,0.0344,1336,0.1784,1805,7,1956,1879,False,True
MD,PWG,20103,106083,15188,0.7555,3.346,1.743,0.0095,843,0.0342,1784,0.2976,4325,8,1893,1855,False,True
FRI,AP90,7775,34277,2993,0.385,5.277,2.4,0.0139,1151,0.0337,1336,0.0416,1805,16,1956,1890,False,True
ACPH,AP,1453,88667,552,0.3799,2.013,1.009,0.0079,253,0.0336,298,0.1129,549,2,1896,1957,True,False
STC,AP90,23986,34277,7708,0.3214,4.405,2.139,0.0,2221,0.0335,4088,0.1234,7858,0,1932,1890,False,True
ARMH,LRV,6673,48259,5027,0.7533,7.334,2.875,0.0,282,0.0334,359,0.1205,589,0,1861,1889,True,False
GST,AP,6761,88667,2737,0.4048,2.145,1.101,0.0068,740,0.0334,1196,0.1162,2211,5,1856,1957,True,True
LRV,VCP,48259,48636,21292,0.4412,4.262,2.092,0.0199,11043,0.033,12895,0.0822,18338,220,1889,1873,False,True
KRM,SKD,1698,40817,881,0.5188,5.972,2.578,0.003,660,0.0329,700,0.291,1007,2,1965,1886,False,True
GST,LRV,6761,48259,2171,0.3211,3.126,1.644,0.0203,740,0.0326,1196,0.0927,2211,15,1856,1889,True,True
VCP,WIL,48636,43939,26178,0.5382,5.755,2.525,0.0029,5955,0.0323,7491,0.132,15836,17,1873,1832,False,True
PUI,PW,11730,151349,5427,0.4627,1.436,0.522,0.0053,5324,0.0322,5714,0.1541,6812,28,1951,1879,False,True
LAN,PWG,4726,106083,3924,0.8303,3.677,1.879,0.0161,248,0.0316,348,0.1617,600,4,1884,1855,False,False
BEN,AP,17036,88667,7674,0.4505,2.387,1.255,0.0098,407,0.0315,731,0.0585,1966,4,1866,1957,True,True
ABCH,VCP,11584,48636,8739,0.7544,7.288,2.865,0.0097,514,0.031,645,0.0961,1270,5,1896,1873,False,False
SKD,MW,40817,194084,8853,0.2169,0.525,-0.929,0.0153,26383,0.0303,31649,0.0775,34309,403,1886,1899,True,True
ABCH,LRV,11584,48259,8163,0.7047,6.861,2.778,0.0175,514,0.0295,645,0.1252,1270,9,1896,1889,False,False
PE,PW,6623,151349,4199,0.634,1.968,0.977,0.0025,1621,0.0293,1878,0.2391,2664,4,1975,1879,False,False
BEN,BOP,17036,8505,6003,0.3524,19.466,4.283,0.0123,407,0.0287,731,0.0387,1966,5,1866,1847,False,True
FRI,BHS,7775,17777,1083,0.1393,3.681,1.88,0.0278,1151,0.0284,1336,0.026,1805,32,1956,1953,False,True
FRI,MW72,7775,51159,4786,0.6156,5.653,2.499,0.0035,1151,0.0284,1336,0.087,1805,4,1956,1872,False,True
MW72,AP,51159,88667,18659,0.3647,1.933,0.951,0.0038,5555,0.0283,8434,0.1146,18251,21,1872,1957,True,True
ARMH,VCP,6673,48636,5202,0.7796,7.531,2.913,0.0071,282,0.0279,359,0.0628,589,2,1861,1873,True,False
CAE,PD,38484,104959,1636,0.0425,0.19,-2.394,0.0317,1894,0.0279,3803,0.0233,11180,60,1891,1976,True,False
SNP,ACPH,448,1453,19,0.0424,13.714,3.778,0.04,25,0.027,37,0.0147,68,1,1974,1896,False,False
SNP,AP,448,88667,167,0.3728,1.975,0.982,0.0,25,0.027,37,0.2059,68,0,1974,1957,False,False
SNP,IEG,448,7575,33,0.0737,4.569,2.192,0.0,25,0.027,37,0.0294,68,0,1974,1966,False,False
SNP,LRV,448,48259,235,0.5246,5.107,2.352,0.0,25,0.027,37,0.0882,68,0,1974,1889,False,False
SNP,PWG,448,106083,325,0.7254,3.213,1.684,0.0,25,0.027,37,0.1912,68,0,1974,1855,False,False
FRI,AP,7775,88667,3773,0.4853,2.571,1.363,0.0061,1151,0.0262,1336,0.082,1805,7,1956,1957,True,True
GRA,MD,11108,20103,4107,0.3697,8.641,3.111,0.0025,1212,0.0261,1569,0.0365,3668,3,1873,1893,True,True
BOP,YAT,8505,44720,6416,0.7544,7.926,2.987,0.0042,236,0.0258,349,0.0877,593,1,1847,1846,False,True
MW72,PD,51159,104959,2928,0.0572,0.256,-1.965,0.0022,5555,0.0258,8434,0.034,18251,12,1872,1976,True,False
ABCH,PWG,11584,106083,9316,0.8042,3.562,1.833,0.0058,514,0.0248,645,0.2669,1270,3,1896,1855,False,False
FRI,STC,7775,23986,4233,0.5444,10.665,3.415,0.0191,1151,0.0247,1336,0.0798,1805,22,1956,1932,False,True
PWG,MW72,106083,51159,34999,0.3299,3.03,1.599,0.0317,7136,0.0246,27672,0.1223,55798,226,1855,1872,True,True
MW,STC,194084,23986,21139,0.1089,2.133,1.093,0.0124,61214,0.0244,93230,0.0401,135524,757,1899,1932,True,True
ACPH,LRV,1453,48259,731,0.5031,4.898,2.292,0.0119,253,0.0235,298,0.0984,549,3,1896,1889,False,False
PUI,PE,11730,6623,2504,0.2135,15.144,3.921,0.0131,5324,0.0235,5714,0.042,6812,70,1951,1975,True,False
BEN,MD,17036,20103,7908,0.4642,10.849,3.439,0.0049,407,0.0233,731,0.0666,1966,2,1866,1893,True,True
MW,CAE,194084,38484,35059,0.1806,2.205,1.141,0.012,61214,0.0231,93230,0.0614,135524,735,1899,1891,False,True
LAN,AP,4726,88667,2431,0.5144,2.726,1.447,0.0,248,0.023,348,0.0583,600,0,1884,1957,True,False
LRV,SHS,48259,46730,23181,0.4803,4.83,2.272,0.0064,11043,0.023,12895,0.0711,18338,71,1889,1900,True,True
MD,AP,20103,88667,8269,0.4113,2.18,1.124,0.0071,843,0.023,1784,0.074,4325,6,1893,1957,True,True
MD,GRA,20103,11108,4107,0.2043,8.641,3.111,0.0036,843,0.023,1784,0.031,4325,3,1893,1873,False,True
MD,LAN,20103,4726,3105,0.1545,15.355,3.941,0.0237,843,0.023,1784,0.0185,4325,20,1893,1884,False,False
BOP,PWG,8505,106083,6971,0.8196,3.63,1.86,0.0042,236,0.0229,349,0.1197,593,1,1847,1855,True,True
BUR,MW,19146,194084,13918,0.7269,1.76,0.815,0.007,4550,0.0229,4718,0.0703,5153,32,1866,1899,True,True
MW,LRV,194084,48259,36140,0.1862,1.813,0.858,0.013,61214,0.0228,93230,0.051,135524,795,1899,1889,False,True
YAT,VCP,44720,48636,25194,0.5634,5.442,2.444,0.0101,2085,0.0224,4420,0.1495,10319,21,1846,1873,True,True
ARMH,PWG,6673,106083,5436,0.8146,3.608,1.851,0.0,282,0.0223,359,0.2122,589,0,1861,1855,False,False
GRA,CAE,11108,38484,6780,0.6104,7.452,2.898,0.0025,1212,0.0223,1569,0.1538,3668,3,1873,1891,True,True
STC,PWG,23986,106083,15169,0.6324,2.801,1.486,0.0036,2221,0.0223,4088,0.1872,7858,8,1932,1855,False,True
CAE,MD,38484,20103,13368,0.3474,8.119,3.021,0.0058,1894,0.0218,3803,0.0602,11180,11,1891,1893,True,True
VCP,SHS,48636,46730,26399,0.5428,5.457,2.448,0.0111,5955,0.0218,7491,0.1224,15836,66,1873,1900,True,True
