ls_value	case_match_to_bib_code	times_cited_in_ls_file	extends_bib_code_prefix	class
RĀJA-TAR. ed. TR.		1	RĀJA-TAR.	extends-known-code
SAUN. Vārtt.		1	SAUN.	extends-known-code
SAṂGĪTARATNĀKARA		1		unknown
SAṂGĪTAŚĀSTRA		1		unknown
SAṂHITOPANIṢADBRĀHMAṆA 1		1	SAṂHITOPANIṢADBRĀHMAṆA	extends-known-code
SCHIEFNER, Leb.		1	SCHIEFNER	extends-known-code
SCHLEGELʼs Uebers.		1	SCHLEGEL	extends-known-code
SCHMIDT und BÖHTLINGK, Verz. der tib. Hdschrr.		1	SCHMIDT	extends-known-code
SCHÜTZʼs Uebers.		1	SCHÜTZ	extends-known-code
SETUS.		1		unknown
SHAKESP. Hindust. Dict.		1	SHAKESP.	extends-known-code
SHERRING, Sacred city		1		unknown
SIDDHĀNTAŚ.		1	SIDDHĀNTAŚ	extends-known-code
SIDDHĀNTAŚIR. (GOLĀDHY.)		1	SIDDHĀNTAŚIR.	extends-known-code
SIDDHĀNTAŚIR. ed. BĀPŪD.		1	SIDDHĀNTAŚIR.	extends-known-code
SIDDHĀNTAŚIR., GOLĀDHY.		1	SIDDHĀNTAŚIR.	extends-known-code
SKANDA-P., ŚĪTALĀSTOTRA		1	SKANDA-P.	extends-known-code
SMARADĪPIKĀ (Tüb. Hdschr.)		1	SMARADĪPIKĀ	extends-known-code
SMARADĪPIKĀ Tüb. Hdschr.		1	SMARADĪPIKĀ	extends-known-code
STENZLER, De lexicogr. s. principiis		1	STENZLER	extends-known-code
STENZLERʼsche Ausg.		1	STENZLER	extends-known-code
STEV. KALPAS.		1	STEV.	extends-known-code
SUPRABHĀTASTOTRA		1		unknown
SV. GĀNA		1	SV.	extends-known-code
SV. NAIG.		1	SV.	extends-known-code
SV. NAIGEYA		1	SV.	extends-known-code
SV. PŪRVĀRCIKA		1	SV.	extends-known-code
SV. Vorrede		1	SV.	extends-known-code
SV. ĀRAṆYA		1	SV.	extends-known-code
SĀH. D. (1828)		1	SĀH. D.	extends-known-code
SĀMAGĀNA Tüb. Hdschr.		1	SĀMAGĀNA	extends-known-code
SĀMAVIDH. BR. ed. A. C. BURNELL		1	SĀMAVIDH. BR.	extends-known-code
SĀMAVIDH. BR. ed. Calcutta		1	SĀMAVIDH. BR.	extends-known-code
SĀRASVATĪ PRAKRIYĀ		1		unknown
SĀṂKHYAPRAV. Einl.		1	SĀṂKHYAPRAV.	extends-known-code
SĀṂKHYAPRAVACANA		1	SĀṂKHYA	extends-known-code
SŪKTIKARṆĀMṚTA		1		unknown
SŪTRA zum AV.		1	SŪTRA	extends-known-code
TARKASAṂGR.		1		unknown
TEJOB. UP.		1		unknown
TH. GOLDSTÜCKER		1		unknown
TRIK. Ind.		1	TRIK.	extends-known-code
TROYER, RĀJA-TAR.		1	TROYER	extends-known-code
TRÜBNERʼs Record		1		unknown
Text		1		unknown
Tübinger Universitätsbibl.		1		unknown
UJJVAL. Einl.		1	UJJVAL.	extends-known-code
UJJVAL. Ind.		1	UJJVAL.	extends-known-code
UJJVAL., UṆĀDIS. Einl.		1	UJJVAL.	extends-known-code
UTTARAR. ed. COW.	UTTARAR. ed. Cow.	1		case-variant
UTTARARĀMAC. (COWELL)		1	UTTARARĀMAC.	extends-known-code
UTTARARĀMAC. (ed. COW.)		1	UTTARARĀMAC.	extends-known-code
UTTARARĀMAC. ed. COW.	UTTARARĀMAC. ed. Cow.	1		case-variant
Uebersetzung dieses Stückes		1		unknown
UṆĀDIS. Einl.		1	UṆĀDIS.	extends-known-code
UṆĀDIS. Ind.		1	UṆĀDIS.	extends-known-code
UṆĀDIS. Vorrede		1	UṆĀDIS.	extends-known-code
VAHNI-P., GAṄGĀVATARAṆA		1	VAHNI-P.	extends-known-code
VARĀH. LAGHUJĀT.		1	VARĀH.	extends-known-code
VARĀH. P.		1	VARĀH.	extends-known-code
VARĀH. YĀTRĀ.		1	VARĀH.	extends-known-code
VEDĀNTAS. (1829)		1	VEDĀNTAS.	extends-known-code
VEDĀNTAS. (ed. Calc. 1829)		1	VEDĀNTAS.	extends-known-code
VEDĀNTAS. Allah.		1	VEDĀNTAS.	extends-known-code
VEDĀNTAS. ed. 1829		1	VEDĀNTAS.	extends-known-code
VENDIDĀD ed. WEST.		1	VENDIDĀD	extends-known-code
VEṆĪS. ed. GRILL		1	VEṆĪS.	extends-known-code
VEṆĪS. lith. Ausg.		1	VEṆĪS.	extends-known-code
VEṆĪSAṂH.		1		unknown
VIKR. ed. BOLL.		1	VIKR.	extends-known-code
VIMALABODHA		1		unknown
VIṢṆU SŪTRA		1	VIṢṆU	extends-known-code
VIṢṆUʼs DHARMAŚ.		1	VIṢṆU	extends-known-code
VIṢṆUʼs SAHASRANĀMASTOTRA		1	VIṢṆU	extends-known-code
VOIGT, Hort. Calc.		1	VOIGT	extends-known-code
VOP. Einl.		1	VOP.	extends-known-code
VOP. vor 3,165		1	VOP.	extends-known-code
VOP. vor 6,34		1	VOP.	extends-known-code
VP. (II)		1	VP.	extends-known-code
VP. 2te Aufl.		1	VP.	extends-known-code
VP. Einl.		1	VP.	extends-known-code
VP. Pref.		1	VP.	extends-known-code
VS. App.		1	VS.	extends-known-code
VS. Append.		1	VS.	extends-known-code
VS. Appendix		1	VS.	extends-known-code
VS. Ausg.		1	VS.	extends-known-code
VS. KĀṆVA		1	VS.	extends-known-code
VS. KĀṆVA-Rec.		1	VS.	extends-known-code
Verh. d. k. s. Ges. d. W. zu Leipzig, phil.-hist. Kl.		1	Verh. d. k. s. Ges. d. W.	extends-known-code
Verz. d. Oxf. H. Addenda et Corrigenda		1	Verz. d. Oxf. H.	extends-known-code
Vierschach Monatsberr. d. K. Pr. Ak. d. Ww.		1		unknown
Vol. IV der Bibl. ind.		1		unknown
Vorr. zum DHĀTUP.		1		unknown
Vorrede		1		unknown
Vorrede zu AK.		1		unknown
Vorrede zu SĀṂKHYAPRAV.		1		unknown
Vorrede zum AIT. BR.		1		unknown
Vorrede zum VP.		1		unknown
Vorworte zu SĀṂKHYAPRAV.		1		unknown
VĀYU-P., GAYĀPADDH.		1	VĀYU-P.	extends-known-code
VṚDDHACĀṆ. Einl.		1	VṚDDHACĀṆ.	extends-known-code
VṚTTARATNĀVALĪ		1		unknown
W. D. WHITNEY		1		unknown
WARREN, KALA SANK.		1	WARREN	extends-known-code
WARREN, KALA SANK. Useful Tables		1	WARREN	extends-known-code
WARREN, KĀLASAṂK.		1	WARREN	extends-known-code
WEBER, BHAGAV.		1	WEBER	extends-known-code
WEBER, BHAGAVATĪ		1	WEBER	extends-known-code
WEBER, HĀLA		1	WEBER	extends-known-code
WEBER, Ind. Str.		1	WEBER	extends-known-code
WEBER, KṚṢNAJ.		1	WEBER	extends-known-code
WEBER, Nax.		1	WEBER	extends-known-code
WEBER, Naxatra		1	WEBER	extends-known-code
WEBER, RĀMAT.		1	WEBER	extends-known-code
WEBER, TS.		1	WEBER	extends-known-code
WEBER, VAJRAS.		1	WEBER	extends-known-code
WEBER, VAJRASŪCI		1	WEBER	extends-known-code
WEBER, VS.		1	WEBER	extends-known-code
WEBER, Zwei vedische Texte über Omina und Portenta		1	WEBER	extends-known-code
WEST. Radices, Einl.		1	WEST. Radices	extends-known-code
WESTERGAARD, DHĀTUP. Einl.		1	WESTERGAARD	extends-known-code
WILS. (1ste Aufl.)		1	WILS.	extends-known-code
WILS. (2te Aufl.)		1	WILS.	extends-known-code
WILS. 1ste Aufl.		1	WILS.	extends-known-code
WILS. Hindu Th.		1	WILS.	extends-known-code
WILS. Lex. 1ste Ausg. Pref.		1	WILS. Lex.	extends-known-code
WILS., A Gloss. of jud. and rev. terms		1	WILS.	extends-known-code
WILSON (2te Aufl.)		1	WILSON	extends-known-code
WILSON in A Gloss. of jud. and rev. terms		1	WILSON	extends-known-code
WILSON in der 1ten Auflage des Wört.		1	WILSON	extends-known-code
WILSON, A Gloss. of jud. and rev. terms	WILSON, a Gloss. of jud. and rev. terms	1		case-variant
WILSON, Dict. 1te Aufl.		1	WILSON, Dict.	extends-known-code
WILSON, Dict. 1te Aufl. Pref.		1	WILSON, Dict.	extends-known-code
WILSON, Sel. spec. of the Th. of the Hindus	WILSON, Sel. spec. of the th. of the Hindus	1		case-variant
WILSON, Th. of the H.		1	WILSON	extends-known-code
WILSONʼs Ausg.		1	WILSON	extends-known-code
WILSONʼs SĀṂKHYAK.		1	WILSON	extends-known-code
WILSONʼs Wört.		1	WILSON	extends-known-code
WINDISCHMANN, Die Philos. im Fortg. d. Weltg.		1	WINDISCHMANN	extends-known-code
WISE, Comm.		1	WISE	extends-known-code
Wurzeln des Altslov.		1		unknown
YOGAT. UP.		1	YOGAT.	extends-known-code
YĀJÑ. Vorrede		1	YĀJÑ.	extends-known-code
YĀJÑA.		1		unknown
YĀJÑAVALKYAʼs Gesetzbuch		1		unknown
YĀJÑIKAD.		1		unknown
YĀJÑIKAD. PADDH.		1		unknown
Zeitschrift für vergl. Sprachf.		1		unknown
deutschen Ausg. des ṚV.		1		unknown
ebend.		1		unknown
ebendas.		1		unknown
handschriftlich auf der Tübinger Universitäts-Bibl.		1		unknown
handschriftlich in der Kais. Bibl. zu Paris		1		unknown
handschriftlich in der Pariser Bibl.		1		unknown
ibid.		1		unknown
id.		1		unknown
lithogr. Bombay		1		unknown
lithographirte Ausgabe in Bombay		1		unknown
padap.	Padap.	1		case-variant
praef. zu den Radd.		1		unknown
ĀDYAVAHNIPURĀṆA		1		unknown
ĀNANDAV. UP.		1	ĀNANDAV.	extends-known-code
ĀP. PRAY.		1		unknown
ĀRAṆYAGĀNA Tüb. Hdschr.		1	ĀRAṆYAGĀNA	extends-known-code
ĀRYABH. SIDDH.		1	ĀRYABH.	extends-known-code
ĀRYABH. ĀRYĀṢṬAŚ.		1	ĀRYABH.	extends-known-code
ĀRYABH. ĀRYĀṢṬAŚATA		1	ĀRYABH.	extends-known-code
ĀRYABHAṬA SIDDH.		1	ĀRYABHAṬA	extends-known-code
ĀŚV. GṚHY. ed. ST.		1	ĀŚV. GṚHY.	extends-known-code
ŚABARASVĀMIN		1		unknown
ŚABDASTOMAMAHĀNIDHI		1		unknown
ŚATAKĀVAD.		1		unknown
ŚAṂKARAMIŚRA		1	ŚAṂKARA	extends-known-code
ŚIVARAH.		1	ŚIVA	extends-known-code
ŚIVASTOTRA		1	ŚIVA	extends-known-code
ŚKDR. (Nachtrag)		1	ŚKDR.	extends-known-code
ŚKDR. (Suppl.)		1	ŚKDR.	extends-known-code
ŚKDR. Nachträgen		1	ŚKDR.	extends-known-code
ŚKDR. Suppl.		1	ŚKDR.	extends-known-code
ŚKDR. VII, Einl.		1	ŚKDR.	extends-known-code
ŚRUT. (BROCKH.)		1	ŚRUT.	extends-known-code
ŚRĪŚIVAYĀMALA		1		unknown
ŚUK. ed. Bomb.		1	ŚUK.	extends-known-code
ŚĀK. ed. BÖHTL.		1	ŚĀK.	extends-known-code
ŚĀK. ed. PREM.		1	ŚĀK.	extends-known-code
ŚĀKTĀNANDATARAṄGIṆĪ		1		unknown
ŚĀRṄG. PADDH. Einl.		1	ŚĀRṄG. PADDH.	extends-known-code
ŚĀRṄG. PADDH. Pet. Hdschr.		1	ŚĀRṄG. PADDH.	extends-known-code
ŚĀRṄG. PADDH. Sāmānyarājapraśaṃsā		1	ŚĀRṄG. PADDH.	extends-known-code
БУСЛАЕВА, Опытъ истор. гр. русскаго языка		1		unknown
МИНАЕВЪ, Пратимокша-сутра		1		unknown
ṚV. ANUKRAMAṆIKĀ		1	ṚV.	extends-known-code
ṚV. PRĀT. ed. MÜLLER		1	ṚV. PRĀT.	extends-known-code
ṚV. PRĀTIŚ.		1	ṚV.	extends-known-code
ṚV.-Rec.		1	ṚV.	extends-known-code
ṢAḌVIṂŚABR.		1		unknown
