typo_form,nearest_real,n_real_neighbours,df_typo,n_dicts,dicts,n_dicts_with_both
naMdakin,nandakin,1,2,2,AP90 LRV,0
nandaTuH,nandaTu,1,2,2,AP SKD,0
naMdana,nandana,2,2,2,AP90 LRV,0
nandanandanaH,nandanandana,1,2,2,AP SKD,0
naMdA,nandA,1,2,2,AP90 LRV,0
nandAtmajaH,nandAtmaja,1,2,2,AP SKD,0
nandikaH,nandika,1,2,2,AP SKD,0
nandikeSvaraH,nandikeSvara,1,2,2,AP SKD,0
nandiGozaH,nandiGoza,1,2,2,AP SKD,0
naMdin,nandin,1,2,2,AP90 LRV,0
nandISaH,nandISa,1,2,2,AP SKD,0
nandISvaraH,nandISvara,1,2,2,AP SKD,0
napuMsakaM,napuMsaka,1,2,2,AP90 SKD,0
napuMsakaH,napuMsaka,1,2,2,AP AP90,0
naptA,naptf,2,2,2,PE SKD,0
naBaHprARaH,naBaHprARa,1,2,2,AP SKD,0
naBaScamasaH,naBaScamasa,1,2,2,AP SKD,0
naBAkaH,naBAka,1,2,2,AP AP90,0
naBogajaH,naBogaja,1,2,2,AP SKD,0
naBoduhaH,naBoduha,1,2,2,AP SKD,0
naBodvIpaH,naBodvIpa,1,2,2,AP SKD,0
naBoDUmaH,naBoDUma,1,2,2,AP SKD,0
naBomaRiH,naBomaRi,1,2,2,AP SKD,0
naBombupaH,naBombupa,1,2,2,AP SKD,0
naBoreRuH,naBoreRu,1,2,2,AP SKD,0
naBolayaH,naBolaya,1,2,2,AP SKD,0
namoguruH,namoguru,1,2,2,AP SKD,0
nayanaM,nayana,1,2,2,AP90 SKD,0
nayanotsavaH,nayanotsava,1,2,2,AP SKD,0
nayanopAntaH,nayanopAnta,1,2,2,AP SKD,0
narakAntakaH,narakAntaka,1,2,2,AP SKD,0
narakAmayaH,narakAmaya,1,2,2,AP SKD,0
narakIlakaH,narakIlaka,1,2,2,AP SKD,0
naradevaH,naradeva,1,2,2,AP SKD,0
narapatiH,narapati,1,2,2,AP SKD,0
naraBUH,naraBU,1,2,2,AP SKD,0
narameDaH,narameDa,1,2,2,AP SKD,0
naravAhanaH,naravAhana,1,2,2,AP SKD,0
naravizvaRaH,naravizvaRa,1,2,2,AP SKD,0
narasiMhaH,narasiMha,1,2,2,AP SKD,0
narahariH,narahari,1,2,2,AP SKD,0
narADipaH,narADipa,1,2,2,AP SKD,0
narAntakaH,narAntaka,1,2,2,AP SKD,0
narASaMsaH,narASaMsa,1,2,2,AP AP90,0
narendraH,narendra,1,2,2,AP SKD,0
narkuwakaM,narkuwaka,1,2,2,AP90 SKD,0
nartakaH,nartaka,1,2,2,AP AP90,0
nartanaH,nartana,1,2,2,AP AP90,0
nalakaM,nalaka,1,2,2,AP90 SKD,0
nalakIlaH,nalakIla,1,2,2,AP SKD,0
nalamInaH,nalamIna,1,2,2,AP SKD,0
navamikA,navatikA,1,2,2,BHS IEG,0
navavaDUH,navavaDU,1,2,2,AP SKD,0
navAhaH,navAha,1,2,2,AP SKD,0
naSAkaH,naSAka,1,2,2,AP SKD,0
nazwAgniH,nazwAgni,1,2,2,AP SKD,0
nazwiH,nazwi,1,2,2,AP AP90,0
nastotaH,nastota,1,2,2,AP SKD,0
nAkanATaH,nAkanATa,1,2,2,AP SKD,0
nAgadantaH,nAgadanta,1,2,2,AP SKD,0
nAgapASaH,nAgapASa,1,2,2,AP SKD,0
nAgapuzpaH,nAgapuzpa,1,2,2,AP SKD,0
nAgabalaH,nAgabala,1,2,2,AP SKD,0
nAgamallaH,nAgamalla,1,2,2,AP SKD,0
nAgayazwiH,nAgayazwi,1,2,2,AP SKD,0
nAgaraNgaH,nAgaraNga,1,2,2,AP SKD,0
nAgarAjaH,nAgarAja,1,2,2,AP SKD,0
nAgarIwaH,nAgarIwa,1,2,2,AP AP90,0
nAgareRuH,nAgareRu,1,2,2,AP SKD,0
nAgalokaH,nAgaloka,1,2,2,AP SKD,0
nAgavArikaH,nAgavArika,1,2,2,AP SKD,0
nAgADipaH,nAgADipa,1,2,2,AP SKD,0
nAgASanaH,nAgASana,1,2,2,AP SKD,0
nAwakaM,nAwaka,1,2,2,AP90 SKD,0
nAwakaH,nAwaka,1,2,2,AP SKD,0
nAwyaM,nAwya,1,2,2,AP90 SKD,0
nAwyapriyaH,nAwyapriya,1,2,2,AP SKD,0
nARakaM,nARaka,1,2,2,AP90 SKD,0
nAtraH,nAtra,1,2,2,AP AP90,0
nATahariH,nATahari,1,2,2,AP SKD,0
nAndIkaH,nAndIka,1,2,2,AP SKD,0
nAndIpawaH,nAndIpawa,1,2,2,AP SKD,0
nABakaH,nABaka,1,2,2,AP AP90,0
nABijaH,nABija,1,2,2,AP SKD,0
nABIlaM,nABIla,1,2,2,AP90 SKD,0
nAmakaraRam,nAmakaraRa,1,2,2,AP PUI,0
nAmataH,nAmatas,1,2,2,AP AP90,0
nAmiH,nAmin,1,2,2,AP AP90,0
nAyakADipaH,nAyakADipa,1,2,2,AP SKD,0
nArakIwaH,nArakIwa,1,2,2,AP SKD,0
nAraNgaH,nAraNga,1,2,2,AP SKD,0
nArAyaRapriyaH,nArAyaRapriya,1,2,2,AP SKD,0
nArIy,nArI,1,2,2,PW PWKVN,0
nAzwikaH,nAzwika,1,2,2,AP AP90,0
nAsIraM,nAsIra,1,2,2,AP90 SKD,0
nAsyaM,nAsya,1,2,2,AP90 SKD,0
nAhalaH,nAhala,1,2,2,AP SKD,0
nAhuzaH,nAhuza,1,2,2,AP AP90,0
niHk,nizk,1,2,2,BHS FRI,0
niHkzepaH,niHkzepa,1,2,2,AP AP90,0
niHSalyA,niHSalya,1,2,2,SKD VCP,0
niHSreyasaM,niHSreyasa,1,2,2,AP90 SKD,0
niHSvAsaH,niHSvAsa,1,2,2,AP AP90,0
niHsaMga,niHsaNga,1,2,2,AP LRV,0
niHsajYa,niHsaMjYa,1,2,2,CCS YAT,0
niHsaraRaM,niHsaraRa,1,2,2,AP90 SKD,0
niHsAraRaM,niHsAraRa,1,2,2,AP90 SKD,0
niHsravaH,niHsrava,1,2,2,AP AP90,0
nikAraRaM,nikAraRa,1,2,2,AP90 SKD,0
nikASaH,nikASa,1,2,2,AP AP90,0
nikAzaH,nikAza,1,2,2,AP AP90,0
nikumBaH,nikumBa,1,2,2,AP SKD,0
nikfMtana,nikfntana,1,2,2,AP90 LRV,0
niketanaH,niketana,1,2,2,AP AP90,0
niKarvva,niKarva,1,2,2,SHS YAT,0
nigaraRaM,nigaraRa,1,2,2,AP90 SKD,0
nigaraRaH,nigaraRa,1,2,2,AP SKD,0
nigalaH,nigala,1,2,2,AP AP90,0
nigfhItiH,nigfhIti,1,2,2,AP AP90,0
niGaRwuH,niGaRwu,1,2,2,AP SKD,0
niGarzaH,niGarza,1,2,2,AP AP90,0
niGAtaH,niGAta,1,2,2,AP AP90,0
niculakaM,niculaka,1,2,2,AP90 SKD,0
niqInaM,niqIna,1,2,2,AP90 SKD,0
nitambaH,nitamba,1,2,2,AP SKD,0
nitaMbin,nitambin,1,2,2,AP90 LRV,0
nitarAM,nitarAm,1,2,2,AP90 SKD,0
nitalaM,nitala,1,2,2,AP90 SKD,0
nitalam,nitala,1,2,2,AP PUI,0
nitAMta,nitAnta,1,2,2,AP90 LRV,0
nityagatiH,nityagati,1,2,2,AP SKD,0
nidAGakaraH,nidAGakara,1,2,2,AP SKD,0
nidAnaM,nidAna,1,2,2,AP90 SKD,0
nidiDyAsa,nidiDyAsu,1,2,2,LRV VCP,0
nidiDyAsanaM,nidiDyAsana,1,2,2,AP90 SKD,0
nidrAvfkzaH,nidrAvfkza,1,2,2,AP SKD,0
niDAnaM,niDAna,1,2,2,AP90 SKD,0
niDinATaH,niDinATa,1,2,2,AP SKD,0
niDuvanaM,niDuvana,1,2,2,AP90 SKD,0
niDyAnaM,niDyAna,1,2,2,AP90 SKD,0
ninaMkzu,ninaNkzu,1,2,2,AP90 LRV,0
niMdaka,nindaka,1,2,2,AP90 LRV,0
niMdA,nindA,1,2,2,AP90 LRV,0
niMdita,nindita,1,2,2,AP90 LRV,0
ninduH,nindu,1,2,2,AP SKD,0
niMdya,nindya,1,2,2,AP90 LRV,0
nipAdaH,nipAda,1,2,2,AP AP90,0
nipAnaM,nipAna,1,2,2,AP90 SKD,0
nibanDaH,nibanDa,1,2,2,AP SKD,0
niBAlanaM,niBAlana,1,2,2,AP90 SKD,0
nimajjanaM,nimajjana,1,2,2,AP90 SKD,0
nimittaM,nimitta,1,2,2,AP90 SKD,0
nimIlanaM,nimIlana,1,2,2,AP90 SKD,0
nimbaH,nimba,1,2,2,AP SKD,0
niyaMtf,niyantf,1,2,2,AP90 LRV,0
niyaMtrita,niyantrita,1,2,2,AP90 LRV,0
niyamanaM,niyamana,1,2,2,AP90 SKD,0
niyuktiH,niyukti,1,2,2,AP AP90,0
niyutaM,niyuta,1,2,2,AP90 SKD,0
niyutam,niyuta,1,2,2,AP PUI,0
niyudDaM,niyudDa,1,2,2,AP90 SKD,0
niyojanaM,niyojana,1,2,2,AP90 SKD,0
niratiH,nirati,1,2,2,AP AP90,0
nirabBra,niraBra,1,2,2,SHS WIL,0
nirAkaraRaM,nirAkaraRa,1,2,2,AP90 SKD,0
nirAsaH,nirAsa,1,2,2,AP AP90,0
nirIkzaRaM,nirIkzaRa,1,2,2,AP90 SKD,0
nirISaM,nirISa,1,2,2,AP90 SKD,0
niruktiH,nirukti,1,2,2,AP AP90,0
nirUQiH,nirUQi,1,2,2,AP AP90,0
nirUpaRaM,nirUpaRa,1,2,2,AP90 SKD,0
nirfTaH,nirfTa,1,2,2,AP SKD,0
nirgamaH,nirgama,1,2,2,AP AP90,0
nirGaRwaH,nirGaRwa,1,2,2,AP SKD,0
nirjayaH,nirjaya,1,2,2,AP AP90,0
nirjjana,nirjana,1,2,2,SHS WIL,0
nirRayanaM,nirRayana,1,2,2,AP90 SKD,0
nirRayapAdaH,nirRayapAda,1,2,2,AP SKD,0
nirRAyanaM,nirRAyana,1,2,2,AP90 SKD,0
nirRiktiH,nirRikti,1,2,2,AP AP90,0
nirRekaH,nirReka,1,2,2,AP AP90,0
nirdeSaH,nirdeSa,1,2,2,AP AP90,0
nirddara,nirdara,1,2,2,SHS WIL,0
nirddAtf,nirdAtf,1,2,2,SHS WIL,0
nirDarmma,nirDarma,1,2,2,WIL YAT,0
nirDAraRaM,nirDAraRa,1,2,2,AP90 SKD,0
nirbanDaH,nirbanDa,1,2,2,AP SKD,0
nirbbanDa,nirbanDa,1,2,2,WIL YAT,0
nirbbudDi,nirbudDi,1,2,2,SHS YAT,0
nirBartsanaM,nirBartsana,1,2,2,AP90 SKD,0
nirmitiH,nirmiti,1,2,2,AP AP90,0
nirmuktiH,nirmukti,1,2,2,AP AP90,0
nirmokaH,nirmoka,1,2,2,AP AP90,0
nirmokzaH,nirmokza,1,2,2,AP AP90,0
nirmmada,nirmada,1,2,2,WIL YAT,0
nirmmala,nirmala,1,2,2,WIL YAT,0
nirmmARa,nirmARa,1,2,2,WIL YAT,0
nirmmita,nirmita,1,2,2,WIL YAT,0
niryARaM,niryARa,1,2,2,AP90 SKD,0
niryAtanaM,niryAtana,1,2,2,AP90 SKD,0
nirvacanaM,nirvacana,1,2,2,AP90 SKD,0
nirvarttana,nirvartana,1,2,2,SHS WIL,0
nirvAdaH,nirvAda,1,2,2,AP AP90,0
nirvApaH,nirvApa,1,2,2,AP AP90,0
nirvApana,nirvApaRa,2,2,2,BOP BUR,0
nirvAsaH,nirvAsa,1,2,2,AP AP90,0
nirvAhaH,nirvAha,1,2,2,AP AP90,0
nirvIryya,nirvIrya,1,2,2,SHS WIL,0
nirveSaH,nirveSa,1,2,2,AP AP90,0
nirvyaTanaM,nirvyaTana,1,2,2,AP90 SKD,0
nirvvacana,nirvacana,1,2,2,WIL YAT,0
nirvvahaRa,nirvahaRa,1,2,2,WIL YAT,0
nirvvAcya,nirvAcya,1,2,2,WIL YAT,0
nirvvARa,nirvARa,1,2,2,WIL YAT,0
nirvvAta,nirvAta,1,2,2,WIL YAT,0
nirvvAda,nirvAda,1,2,2,WIL YAT,0
nirvvApa,nirvApa,1,2,2,WIL YAT,0
nirvvAha,nirvAha,1,2,2,WIL YAT,0
nirvvikalpaka,nirvikalpaka,1,2,2,WIL YAT,0
nirvvinDyA,nirvinDyA,1,2,2,SKD YAT,0
nirharaRaM,nirharaRa,1,2,2,AP90 SKD,0
nirhAdaH,nirhAda,1,2,2,AP AP90,0
nilimpaH,nilimpa,1,2,2,AP SKD,0
niliMpikA,nilimpikA,1,2,2,AP90 LRV,0
nivapanaM,nivapana,1,2,2,AP90 SKD,0
nivarhana,nivartana,2,2,2,BOP BUR,0
nivala,nivaha,5,2,2,BHS SCH,0
nivasanaM,nivasana,1,2,2,AP90 SKD,0
nivAraRaM,nivAraRa,1,2,2,AP90 SKD,0
nivItaM,nivIta,1,2,2,AP90 SKD,0
nivftiH,nivfti,1,2,2,AP AP90,0
nivedanaM,nivedana,1,2,2,AP90 SKD,0
niveSanaM,niveSana,1,2,2,AP90 SKD,0
niSamanaM,niSamana,1,2,2,AP90 SKD,0
niSAkaraH,niSAkara,1,2,2,AP SKD,0
niSAwaH,niSAwa,1,2,2,AP SKD,0
niSAdiH,niSAdi,1,2,2,AP SKD,0
niSAMta,niSAnta,2,2,2,AP90 LRV,0
niSApatiH,niSApati,1,2,2,AP SKD,0
niSAmaRiH,niSAmaRi,1,2,2,AP SKD,0
niSAmanaM,niSAmana,1,2,2,AP90 SKD,0
niSAmfgaH,niSAmfga,1,2,2,AP SKD,0
niSAraRaM,niSAraRa,1,2,2,AP90 SKD,0
niSAhasaH,niSAhasa,1,2,2,AP SKD,0
niSumBaH,niSumBa,1,2,2,AP SKD,0
niSEtaH,niSEta,1,2,2,AP SKD,0
niScArakam,niScAraka,1,2,2,AP BHS,0
niScukkaRaM,niScukkaRa,1,2,2,AP90 SKD,0
nizaNgaH,nizaNga,1,2,2,AP SKD,0
nizaNgaTiH,nizaNgaTi,1,2,2,AP SKD,0
nizaMgin,nizaNgin,1,2,2,AP90 LRV,0
nizaRRakaM,nizaRRaka,1,2,2,AP90 SKD,0
nizidDiH,nizidDi,1,2,2,AP AP90,0
nizevaRaM,nizevaRa,1,2,2,AP90 SKD,0
nizevitar,nizevita,1,2,2,PW PWG,0
nizkAlakaH,nizkAlaka,1,2,2,AP SKD,0
nizkramaRaM,nizkramaRa,1,2,2,AP90 SKD,0
nizwAnakaH,nizwAnaka,1,2,2,AP AP90,0
nizWAnaM,nizWAna,1,2,2,AP90 SKD,0
nizWIvanaM,nizWIvana,1,2,2,AP90 SKD,0
nizpAdanaM,nizpAdana,1,2,2,AP90 SKD,0
nizpAdanA,nizpAdana,1,2,2,BHS SKD,0
nizpezaH,nizpeza,1,2,2,AP AP90,0
nizpravARaM,nizpravARa,1,2,2,AP90 SKD,0
nizyand,nizyanda,1,2,2,MW STC,0
nizyandaH,nizyanda,1,2,2,AP SKD,0
nistaraRaM,nistaraRa,1,2,2,AP90 SKD,0
nistarhaRaM,nistarhaRa,1,2,2,AP90 SKD,0
nispaMda,nispanda,1,2,2,AP90 LRV,0
nisyandaH,nisyanda,1,2,2,AP SKD,0
nisravaH,nisrava,1,2,2,AP AP90,0
nihananaM,nihanana,1,2,2,AP90 SKD,0
nihavaH,nihava,1,2,2,AP AP90,0
nihiMsanaM,nihiMsana,1,2,2,AP90 SKD,0
nihnutiH,nihnuti,1,2,2,AP90 SKD,0
nIcakI,nIcaka,1,2,2,ARMH SKD,0
nIcaBojyaH,nIcaBojya,1,2,2,AP SKD,0
nIqakaH,nIqaka,1,2,2,AP AP90,0
nIqajaH,nIqaja,1,2,2,AP SKD,0
nIqodBavaH,nIqodBava,1,2,2,AP SKD,0
nItiGozaH,nItiGoza,1,2,2,AP SKD,0
nItiSAstram,nItiSAstra,1,2,2,AP PUI,0
nIDraM,nIDra,1,2,2,AP90 SKD,0
nIraM,nIra,1,2,2,AP90 SKD,0
nIradaH,nIrada,1,2,2,AP SKD,0
nIraDiH,nIraDi,1,2,2,AP SKD,0
nIraniDiH,nIraniDi,1,2,2,AP SKD,0
nIrAjanaM,nIrAjana,1,2,2,AP90 SKD,0
nIlakaM,nIlaka,1,2,2,AP90 SKD,0
nIlakaRWaH,nIlakaRWa,1,2,2,AP SKD,0
nIlagrIvaH,nIlagrIva,1,2,2,AP SKD,0
nIlaNguH,nIlaNgu,1,2,2,AP SKD,0
nIlapicCaH,nIlapicCa,1,2,2,AP SKD,0
nIlamaRiH,nIlamaRi,1,2,2,AP SKD,0
nIlamIlikaH,nIlamIlika,1,2,2,AP SKD,0
nIlANgaH,nIlANga,1,2,2,AP SKD,0
nIlAy,nIlA,1,2,2,PW PWG,0
nIlotpalA,nIlotpala,1,2,2,BHS PUI,0
nUdaH,nUda,1,2,2,AP SKD,0
nUnaM,nUnam,1,2,2,AP90 SKD,0
nUpuraM,nUpura,1,2,2,AP90 SKD,0
nUpuraH,nUpura,1,2,2,AP AP90,0
nfttaM,nftta,1,2,2,AP90 SKD,0
nftyaM,nftya,1,2,2,AP90 SKD,0
nfdevaH,nfdeva,1,2,2,AP SKD,0
nfyajYaH,nfyajYa,1,2,2,AP SKD,0
nfvarAhaH,nfvarAha,1,2,2,AP SKD,0
nfsiMhaH,nfsiMha,1,2,2,AP SKD,0
nfsomaH,nfsoma,1,2,2,AP SKD,0
nfhariH,nfhari,1,2,2,AP SKD,0
netraM,netra,1,2,2,AP90 SKD,0
netracCadaH,netracCada,1,2,2,AP SKD,0
netrayoniH,netrayoni,1,2,2,AP SKD,0
netrAmayaH,netrAmaya,1,2,2,AP SKD,0
nepaTyaM,nepaTya,1,2,2,AP90 SKD,0
nEkawyaM,nEkawya,1,2,2,AP90 SKD,0
nEcikaM,nEcika,1,2,2,AP90 SKD,0
nEtyaM,nEtya,1,2,2,AP90 SKD,0
nEdAGaH,nEdAGa,1,2,2,AP AP90,0
nEdAnaH,nEdAna,1,2,2,AP AP90,0
nEdeSikaH,nEdeSika,1,2,2,AP AP90,0
nEpuRaM,nEpuRa,1,2,2,AP90 SKD,0
nEpuRyaM,nEpuRya,1,2,2,AP90 SKD,0
nEmizeyaH,nEmizeya,1,2,2,AP AP90,0
nEyagroDaM,nEyagroDa,1,2,2,AP90 SKD,0
nEyatyaM,nEyatya,1,2,2,AP90 SKD,0
nErayikaH,nErayika,1,2,2,AP AP90,0
nErASyaM,nErASya,1,2,2,AP90 SKD,0
nEruktaH,nErukta,1,2,2,AP AP90,0
nErguRyaM,nErguRya,1,2,2,AP90 SKD,0
nElyaM,nElya,1,2,2,AP90 SKD,0
nEvedyaM,nEvedya,1,2,2,AP90 SKD,0
nEveSikaM,nEveSika,1,2,2,AP90 SKD,0
nEScityaM,nEScitya,1,2,2,AP90 SKD,0
nEzaDaH,nEzaDa,1,2,2,AP90 SKD,0
nOkAdaRqaH,nOkAdaRqa,1,2,2,AP SKD,0
nyagBAvaH,nyagBAva,1,2,2,AP AP90,0
nyaNkuH,nyaNku,1,2,2,AP SKD,0
nyaMc,nyaYc,1,2,2,AP90 LRV,0
nyarbudam,nyarbuda,1,2,2,AP PUI,0
nyAkyaM,nyAkya,1,2,2,AP90 SKD,0
nyuMKa,nyuNKa,1,2,2,AP90 LRV,0
nyUMKa,nyUNKa,1,2,2,AP90 LRV,0
paktraM,paktra,1,2,2,AP90 SKD,0
pakvarasaH,pakvarasa,1,2,2,AP SKD,0
pakvASayaH,pakvASaya,1,2,2,AP SKD,0
pakzacaraH,pakzacara,1,2,2,AP SKD,0
pakzajaH,pakzaja,1,2,2,AP SKD,0
pakzapAtaH,pakzapAta,1,2,2,AP SKD,0
pakzapAliH,pakzapAli,1,2,2,AP SKD,0
pakzaBAgaH,pakzaBAga,1,2,2,AP SKD,0
pakzavAhanaH,pakzavAhana,1,2,2,AP SKD,0
pakzAntaH,pakzAnta,1,2,2,AP SKD,0
paNkaH,paNka,1,2,2,AP SKD,0
paMkajinI,paNkajinI,1,2,2,AP90 LRV,0
paNkaRaH,paNkaRa,1,2,2,AP SKD,0
paNkAraH,paNkAra,1,2,2,AP SKD,0
paMkila,paNkila,1,2,2,AP90 LRV,0
paNktiH,paNkti,1,2,2,AP SKD,0
paMktipAvana,paNktipAvana,1,2,2,LRV PUI,0
paNktipAvanaH,paNktipAvana,1,2,2,AP SKD,0
paMgu,paNgu,1,2,2,AP90 LRV,0
paMgula,paNgula,1,2,2,AP90 LRV,0
pajjaH,pajja,1,2,2,AP SKD,0
paMcaka,paYcaka,1,2,2,AP90 LRV,0
paYcagavyam,paYcagavya,1,2,2,AP PUI,0
paYcajanaH,paYcajana,1,2,2,AP SKD,0
paYcajYAnaH,paYcajYAna,1,2,2,AP SKD,0
paMcat,paYcat,1,2,2,AP90 LRV,0
paMcataya,paYcataya,1,2,2,AP90 LRV,0
paMcatA,paYcatA,1,2,2,AP90 LRV,0
paYcatIrTa,paYcatIrTI,1,2,2,PE PUI,0
paMcaDA,paYcaDA,1,2,2,AP90 LRV,0
paMcan,paYcan,1,2,2,AP90 LRV,0
paYcanaKaH,paYcanaKa,1,2,2,AP SKD,0
paYcanadaH,paYcanada,1,2,2,AP SKD,0
paMcanI,paYcanI,1,2,2,AP90 LRV,0
paMcama,paYcama,1,2,2,AP90 LRV,0
paYcavaktraH,paYcavaktra,1,2,2,AP SKD,0
paYcavawaH,paYcavawa,1,2,2,AP SKD,0
paYcavIra,paYcacIra,1,2,2,IEG PE,0
paYcaSaraH,paYcaSara,1,2,2,AP SKD,0
paYcaSAKaH,paYcaSAKa,1,2,2,AP SKD,0
paYcaSiKaH,paYcaSiKa,1,2,2,AP SKD,0
paMcAla,paYcAla,1,2,2,AP90 LRV,0
paYcAlaH,paYcAla,1,2,2,AP SKD,0
paMcASa,paYcASa,1,2,2,AP90 LRV,0
paMcASat,paYcASat,1,2,2,AP90 LRV,0
paYcezuH,paYcezu,1,2,2,AP SKD,0
paYjaraH,paYjara,1,2,2,AP SKD,0
paYjiH,paYji,1,2,2,AP SKD,0
pawakAraH,pawakAra,1,2,2,AP SKD,0
pawakuwi,pawakuwI,1,2,2,WIL YAT,0
pawaccaraH,pawaccara,1,2,2,AP AP90,0
pawalaM,pawala,1,2,2,AP90 SKD,0
pawalaH,pawala,1,2,2,AP SKD,0
pawalAvatI,pAwalAvatI,1,2,2,INM PE,0
pawavAsaH,pawavAsa,1,2,2,AP SKD,0
pawavAsakaH,pawavAsaka,1,2,2,AP SKD,0
pawwaM,pawwa,1,2,2,AP90 SKD,0
pawwanaM,pawwana,1,2,2,AP90 SKD,0
pawwam,pawwa,1,2,2,AP PUI,0
paWakaH,paWaka,1,2,2,AP AP90,0
paWanaM,paWana,1,2,2,AP90 SKD,0
paRanaM,paRana,1,2,2,AP90 SKD,0
paRiH,paRi,1,2,2,AP AP90,0
paRqaH,paRqa,1,2,2,AP SKD,0
paMqita,paRqita,1,2,2,AP90 LRV,0
paRyAjIvaH,paRyAjIva,1,2,2,AP SKD,0
patagaH,pataga,1,2,2,AP SKD,0
pataNgaH,pataNga,1,2,2,AP SKD,0
pataMcikA,pataYcikA,1,2,2,AP90 LRV,0
pataYjaliH,pataYjali,1,2,2,AP SKD,0
patadgrahaH,patadgraha,1,2,2,AP SKD,0
patanaM,patana,1,2,2,AP90 SKD,0
patAkAy,patAkA,1,2,2,PW PWKVN,0
patimvarA,patiMvarA,1,2,2,WIL YAT,0
pattanaM,pattana,1,2,2,AP90 SKD,0
pattikA,puttikA,5,2,2,BHS IEG,0
pattisaMhatiH,pattisaMhati,1,2,2,AP SKD,0
patnyAwaH,patnyAwa,1,2,2,AP SKD,0
patraM,patra,1,2,2,AP90 SKD,0
patram,patra,2,2,2,AP PUI,0
patsalaH,patsala,1,2,2,AP AP90,0
paTakaH,paTaka,1,2,2,AP AP90,0
padakaH,padaka,1,2,2,AP SKD,0
padagaH,padaga,1,2,2,AP SKD,0
padanyAsaH,padanyAsa,1,2,2,AP SKD,0
padANkaH,padANka,1,2,2,AP SKD,0
padAjiH,padAji,1,2,2,AP SKD,0
padArTaH,padArTa,1,2,2,AP SKD,0
padiH,padi,1,2,2,AP AP90,0
padDatiH,padDati,1,2,2,AP SKD,0
padmakaM,padmaka,1,2,2,AP90 SKD,0
padmagarbBa,padmagarBa,1,2,2,WIL YAT,0
padmagarBaH,padmagarBa,1,2,2,AP SKD,0
padmanABaH,padmanABa,1,2,2,AP SKD,0
padmanABiH,padmanABi,1,2,2,AP SKD,0
padmapARiH,padmapARi,1,2,2,AP SKD,0
padmapuzpaH,padmapuzpa,1,2,2,AP SKD,0
padmabanDaH,padmabanDa,1,2,2,AP SKD,0
padmaBUH,padmaBU,1,2,2,AP SKD,0
padmayoniH,padmayoni,1,2,2,AP SKD,0
padmarAgaH,padmarAga,1,2,2,AP SKD,0
padmAkaraH,padmAkara,1,2,2,AP SKD,0
padmAy,padmA,1,2,2,PW PWKVN,0
padmAsanaH,padmAsana,1,2,2,AP SKD,0
padminIvallaBaH,padminIvallaBa,1,2,2,AP SKD,0
padmodBavaH,padmodBava,1,2,2,AP SKD,0
panuH,panu,1,2,2,AP AP90,0
paMTaka,panTaka,2,2,2,AP90 LRV,0
paMpA,pampA,2,2,2,AP90 LRV,0
payaScayaH,payaScaya,1,2,2,AP SKD,0
payoDaraH,payoDara,1,2,2,AP SKD,0
payoDiH,payoDi,1,2,2,AP SKD,0
payoDikaM,payoDika,1,2,2,AP90 SKD,0
payoniDiH,payoniDi,1,2,2,AP SKD,0
payovrataH,payovrata,1,2,2,AP SKD,0
paraM,para,3,2,2,FRI SKD,0
paratvaM,paratva,1,2,2,AP90 SKD,0
parapuruzaH,parapuruza,1,2,2,AP SKD,0
paraBAgaH,paraBAga,1,2,2,AP SKD,0
paramataH,paramata,1,2,2,AP AP90,0
paramarziH,paramarzi,1,2,2,AP SKD,0
paramahaMsaH,paramahaMsa,1,2,2,AP SKD,0
paramARuH,paramARu,1,2,2,AP SKD,0
paramArTaH,paramArTa,1,2,2,AP SKD,0
paramftyuH,paramftyu,1,2,2,AP SKD,0
parameSvaraH,parameSvara,1,2,2,AP SKD,0
paramezWI,paramezWa,1,2,2,PE SKD,0
paralokaH,paraloka,1,2,2,AP SKD,0
paravARiH,paravARi,1,2,2,AP SKD,0
paravrataH,paravrata,1,2,2,AP SKD,0
paraSaH,paraSa,1,2,2,AP AP90,0
paraSuDaraH,paraSuDara,1,2,2,AP SKD,0
paraSurAmaH,paraSurAma,1,2,2,AP SKD,0
parasaMjYakaH,parasaMjYaka,1,2,2,AP SKD,0
parasmEpadaM,parasmEpada,1,2,2,AP90 SKD,0
parAgati,parAgata,1,2,2,INM SCH,0
parANgadaH,parANgada,1,2,2,AP SKD,0
parANgavaH,parANgava,1,2,2,AP SKD,0
parAjitaH,parAjita,1,2,2,SCH SKD,0
parAYca,parAYc,2,2,2,WIL YAT,0
parAYjaH,parAYja,1,2,2,AP SKD,0
parAdanaH,parAdana,1,2,2,AP SKD,0
parADiH,parADi,1,2,2,AP AP90,0
parABUtiH,parABUti,1,2,2,AP AP90,0
parArDam,parArDa,1,2,2,AP PUI,0
parAvartaH,parAvarta,1,2,2,AP AP90,0
parAvahaH,parAvaha,1,2,2,AP SKD,0
parAvfttiH,parAvftti,1,2,2,AP AP90,0
parAsanaM,parAsana,1,2,2,AP90 SKD,0
parAskaMdin,parAskandin,1,2,2,AP90 LRV,0
parAhaH,parAha,1,2,2,AP SKD,0
parAhRaH,parAhRa,1,2,2,AP SKD,0
parikampaH,parikampa,1,2,2,AP SKD,0
parikarmmin,parikarmin,1,2,2,WIL YAT,0
parikarzaH,parikarza,1,2,2,AP AP90,0
parikANkzitaH,parikANkzita,1,2,2,AP SKD,0
