dict_a,dict_b,shared_anomalies,shared_doublets,shared_exclusive_df2,per_1k_smaller,size_a,size_b,year_a,year_b,both_in_L0
CCS,GST,4,1,1,0.592,28751,6761,1887,1856,True
FRI,SCH,13,1,3,1.672,7775,28455,1956,1928,True
INM,SCH,15,1,4,1.587,9454,28455,1904,1928,True
BHS,GST,7,1,1,1.035,17777,6761,1953,1856,True
ACPH,STC,3,1,1,2.065,1453,23986,1896,1932,False
INM,VEI,3,1,1,0.81,9454,3704,1904,1912,True
GST,SCH,10,1,1,1.479,6761,28455,1856,1928,True
ARMH,PWKVN,3,1,0,0.45,6673,14995,1861,n/a,False
ARMH,SCH,16,1,4,2.398,6673,28455,1861,1928,False
INM,MD,4,1,0,0.423,9454,20103,1904,1893,True
MCI,SCH,4,1,0,1.72,2325,28455,1993,1928,True
ACSJ,PWG,16,1,1,25.237,634,106083,1896,1855,False
PWKVN,SKD,12,1,0,0.8,14995,40817,n/a,1886,False
CAE,WIL,5,1,0,0.13,38484,43939,1891,1832,True
ABCH,GST,2,1,0,0.296,11584,6761,1896,1856,False
GRA,PE,4,1,0,0.604,11108,6623,1873,1975,False
BUR,GST,2,1,0,0.296,19146,6761,1866,1856,True
BEN,GST,2,1,0,0.296,17036,6761,1866,1856,True
ACPH,LRV,24,1,2,16.518,1453,48259,1896,1889,False
GRA,PWKVN,4,1,0,0.36,11108,14995,1873,n/a,False
BOP,WIL,17,1,0,1.999,8505,43939,1847,1832,True
ACSJ,PW,18,1,0,28.391,634,151349,1896,1879,False
AP90,INM,5,1,0,0.529,34277,9454,1890,1904,True
IEG,STC,8,1,0,1.056,7575,23986,1966,1932,False
ACC,SCH,15,1,4,0.527,32576,28455,1962,1928,True
FRI,INM,4,1,0,0.514,7775,9454,1956,1904,True
MCI,SKD,9,1,1,3.871,2325,40817,1993,1886,True
BHS,BOP,3,1,1,0.353,17777,8505,1953,1847,True
PUI,VEI,4,1,2,1.08,11730,3704,1951,1912,True
ACC,CAE,3,1,0,0.092,32576,38484,1962,1891,True
ABCH,BOP,5,1,0,0.588,11584,8505,1896,1847,False
ABCH,STC,6,1,0,0.518,11584,23986,1896,1932,False
LRV,MCI,9,1,1,3.871,48259,2325,1889,1993,True
GRA,IEG,4,1,0,0.528,11108,7575,1873,1966,False
AP,SNP,12,1,0,26.786,88667,448,1957,1974,False
SNP,VCP,10,1,0,22.321,448,48636,1974,1873,False
LAN,VCP,2,1,0,0.423,4726,48636,1884,1873,False
BOP,PUI,4,1,1,0.47,8505,11730,1847,1951,True
IEG,YAT,7,1,0,0.924,7575,44720,1966,1846,False
BUR,PUI,8,1,1,0.682,19146,11730,1866,1951,True
CCS,WIL,4,1,0,0.139,28751,43939,1887,1832,True
ARMH,IEG,1,1,1,0.15,6673,7575,1861,1966,False
ABCH,CAE,6,1,0,0.518,11584,38484,1896,1891,False
ABCH,BUR,13,1,1,1.122,11584,19146,1896,1866,False
BHS,BUR,5,1,2,0.281,17777,19146,1953,1866,True
ACPH,VCP,8,1,0,5.506,1453,48636,1896,1873,False
ACPH,AP,32,1,0,22.023,1453,88667,1896,1957,False
CAE,MCI,4,1,0,1.72,38484,2325,1891,1993,True
CCS,INM,1,1,0,0.106,28751,9454,1887,1904,True
ABCH,PE,2,1,0,0.302,11584,6623,1896,1975,False
IEG,PE,7,1,3,1.057,7575,6623,1966,1975,False
AP90,ARMH,3,1,0,0.45,34277,6673,1890,1861,False
PW,SNP,7,1,0,15.625,151349,448,1879,1974,False
BUR,IEG,5,1,3,0.66,19146,7575,1866,1966,False
MCI,MW72,4,1,0,1.72,2325,51159,1993,1872,True
GRA,YAT,4,1,0,0.36,11108,44720,1873,1846,True
MW,PGN,6,1,2,12.766,194084,470,1899,1978,False
PE,WIL,7,1,0,1.057,6623,43939,1975,1832,False
CCS,SKD,15,1,1,0.522,28751,40817,1887,1886,True
KRM,PUI,5,1,1,2.945,1698,11730,1965,1951,True
GRA,INM,4,1,1,0.423,11108,9454,1873,1904,True
GRA,PUI,3,1,0,0.27,11108,11730,1873,1951,True
GRA,WIL,3,1,0,0.27,11108,43939,1873,1832,True
ACSJ,BOP,1,1,0,1.577,634,8505,1896,1847,False
ACSJ,PE,2,1,0,3.155,634,6623,1896,1975,False
SCH,SNP,3,1,1,6.696,28455,448,1928,1974,False
BOP,IEG,2,1,1,0.264,8505,7575,1847,1966,False
ACC,STC,2,1,0,0.083,32576,23986,1962,1932,True
BEN,SKD,4,1,0,0.235,17036,40817,1866,1886,True
BHS,KRM,5,1,3,2.945,17777,1698,1953,1965,True
ARMH,BUR,1,1,0,0.15,6673,19146,1861,1866,False
CCS,IEG,2,1,0,0.264,28751,7575,1887,1966,False
LRV,VEI,9,1,1,2.43,48259,3704,1889,1912,True
BUR,VEI,2,1,0,0.54,19146,3704,1866,1912,True
LAN,SHS,4,1,0,0.846,4726,46730,1884,1900,False
LAN,YAT,2,1,0,0.423,4726,44720,1884,1846,False
ABCH,VEI,2,1,0,0.54,11584,3704,1896,1912,False
SHS,VEI,1,1,0,0.27,46730,3704,1900,1912,True
VEI,WIL,1,1,0,0.27,3704,43939,1912,1832,True
VEI,YAT,2,1,0,0.54,3704,44720,1912,1846,True
ACPH,INM,4,1,0,2.753,1453,9454,1896,1904,False
BEN,PUI,2,1,0,0.171,17036,11730,1866,1951,True
BHS,GRA,3,1,1,0.27,17777,11108,1953,1873,True
ABCH,FRI,3,1,0,0.386,11584,7775,1896,1956,False
CAE,PGN,2,1,0,4.255,38484,470,1891,1978,False
MD,PE,2,1,0,0.302,20103,6623,1893,1975,False
IEG,LAN,1,1,0,0.212,7575,4726,1966,1884,False
BUR,KRM,1,1,0,0.589,19146,1698,1866,1965,True
PE,VEI,2,1,0,0.54,6623,3704,1975,1912,False
GRA,PGN,1,1,0,2.128,11108,470,1873,1978,False
MD,PGN,1,1,0,2.128,20103,470,1893,1978,False
MW72,PGN,1,1,0,2.128,51159,470,1872,1978,False
BEN,FRI,2,1,0,0.257,17036,7775,1866,1956,True
MCI,STC,3,1,0,1.29,2325,23986,1993,1932,True
MCI,PD,5,0,2,2.151,2325,104959,1993,1976,False
PWKVN,YAT,4,0,0,0.267,14995,44720,n/a,1846,False
GST,LAN,1,0,1,0.212,6761,4726,1856,1884,False
IEG,VEI,1,0,0,0.27,7575,3704,1966,1912,False
PD,VEI,3,0,0,0.81,104959,3704,1976,1912,False
ARMH,PD,6,0,1,0.899,6673,104959,1861,1976,False
SCH,VEI,4,0,0,1.08,28455,3704,1928,1912,True
PD,PGN,1,0,1,2.128,104959,470,1976,1978,False
ACC,PD,3,0,1,0.092,32576,104959,1962,1976,False
BOP,PD,6,0,0,0.705,8505,104959,1847,1976,False
ACSJ,BHS,3,0,0,4.732,634,17777,1896,1953,False
ACSJ,LRV,7,0,2,11.041,634,48259,1896,1889,False
ACSJ,PD,3,0,0,4.732,634,104959,1896,1976,False
FRI,PWKVN,1,0,0,0.129,7775,14995,1956,n/a,False
ACSJ,AP,12,0,2,18.927,634,88667,1896,1957,False
ACSJ,GST,1,0,0,1.577,634,6761,1896,1856,False
ACSJ,MW72,4,0,0,6.309,634,51159,1896,1872,False
IEG,MD,5,0,0,0.66,7575,20103,1966,1893,False
STC,VEI,5,0,1,1.35,23986,3704,1932,1912,True
BOP,GST,2,0,0,0.296,8505,6761,1847,1856,True
ARMH,GST,2,0,0,0.3,6673,6761,1861,1856,False
PUI,PWKVN,6,0,0,0.512,11730,14995,1951,n/a,False
GST,PWKVN,7,0,0,1.035,6761,14995,1856,n/a,False
AP90,MCI,2,0,1,0.86,34277,2325,1890,1993,True
GST,INM,1,0,0,0.148,6761,9454,1856,1904,True
GST,PUI,2,0,0,0.296,6761,11730,1856,1951,True
LRV,PWKVN,14,0,0,0.934,48259,14995,1889,n/a,False
FRI,YAT,2,0,0,0.257,7775,44720,1956,1846,True
FRI,GST,2,0,0,0.296,7775,6761,1956,1856,True
AP90,VEI,1,0,0,0.27,34277,3704,1890,1912,True
LAN,PWKVN,1,0,0,0.212,4726,14995,1884,n/a,False
LAN,SCH,1,0,0,0.212,4726,28455,1884,1928,False
ACC,PGN,2,0,1,4.255,32576,470,1962,1978,False
PWKVN,WIL,1,0,0,0.067,14995,43939,n/a,1832,False
FRI,PE,1,0,0,0.151,7775,6623,1956,1975,False
BEN,BHS,7,0,1,0.411,17036,17777,1866,1953,True
BEN,PWKVN,3,0,0,0.2,17036,14995,1866,n/a,False
ACSJ,SKD,7,0,1,11.041,634,40817,1896,1886,False
ACC,PWKVN,6,0,0,0.4,32576,14995,1962,n/a,False
INM,SKD,41,0,3,4.337,9454,40817,1904,1886,True
INM,PWKVN,5,0,0,0.529,9454,14995,1904,n/a,False
ABCH,SCH,10,0,3,0.863,11584,28455,1896,1928,False
ABCH,INM,3,0,0,0.317,11584,9454,1896,1904,False
ACC,CCS,3,0,0,0.104,32576,28751,1962,1887,True
AP,MCI,6,0,0,2.581,88667,2325,1957,1993,True
AP90,PE,5,0,0,0.755,34277,6623,1890,1975,False
SKD,SNP,13,0,0,29.018,40817,448,1886,1974,False
ACPH,PUI,7,0,1,4.818,1453,11730,1896,1951,False
ACPH,YAT,2,0,0,1.376,1453,44720,1896,1846,False
CCS,YAT,6,0,1,0.209,28751,44720,1887,1846,True
BUR,PE,3,0,1,0.453,19146,6623,1866,1975,False
ARMH,CAE,1,0,0,0.15,6673,38484,1861,1891,False
AP,LAN,5,0,0,1.058,88667,4726,1957,1884,False
AP90,LAN,1,0,0,0.212,34277,4726,1890,1884,False
ACSJ,PWKVN,3,0,0,4.732,634,14995,1896,n/a,False
ACSJ,SCH,5,0,2,7.886,634,28455,1896,1928,False
ACPH,SKD,16,0,2,11.012,1453,40817,1896,1886,False
ACSJ,AP90,1,0,0,1.577,634,34277,1896,1890,False
ACSJ,VCP,5,0,0,7.886,634,48636,1896,1873,False
AP,KRM,8,0,1,4.711,88667,1698,1957,1965,True
AP90,KRM,3,0,0,1.767,34277,1698,1890,1965,True
ACPH,SCH,7,0,1,4.818,1453,28455,1896,1928,False
ACPH,BHS,4,0,0,2.753,1453,17777,1896,1953,False
ACSJ,SHS,1,0,0,1.577,634,46730,1896,1900,False
ACSJ,SNP,1,0,0,2.232,634,448,1896,1974,False
ACSJ,WIL,2,0,0,3.155,634,43939,1896,1832,False
ACSJ,YAT,1,0,0,1.577,634,44720,1896,1846,False
SHS,SNP,1,0,0,2.232,46730,448,1900,1974,False
SNP,WIL,1,0,0,2.232,448,43939,1974,1832,False
SNP,YAT,1,0,0,2.232,448,44720,1974,1846,False
BUR,PWKVN,2,0,0,0.133,19146,14995,1866,n/a,False
KRM,MW72,5,0,1,2.945,1698,51159,1965,1872,True
BOP,VEI,1,0,0,0.27,8505,3704,1847,1912,True
BEN,SNP,1,0,0,2.232,17036,448,1866,1974,False
PWG,SNP,3,0,0,6.696,106083,448,1855,1974,False
ACPH,PE,3,0,1,2.065,1453,6623,1896,1975,False
PE,SHS,8,0,0,1.208,6623,46730,1975,1900,False
PE,YAT,6,0,0,0.906,6623,44720,1975,1846,False
ARMH,KRM,1,0,0,0.589,6673,1698,1861,1965,False
ACC,PE,7,0,0,1.057,32576,6623,1962,1975,False
GRA,SHS,2,0,0,0.18,11108,46730,1873,1900,True
MCI,PWKVN,1,0,0,0.43,2325,14995,1993,n/a,False
ACSJ,BUR,1,0,0,1.577,634,19146,1896,1866,False
IEG,INM,2,0,1,0.264,7575,9454,1966,1904,False
ACPH,BOP,1,0,0,0.688,1453,8505,1896,1847,False
ACC,IEG,3,0,1,0.396,32576,7575,1962,1966,False
IEG,SNP,2,0,0,4.464,7575,448,1966,1974,False
ACPH,AP90,3,0,0,2.065,1453,34277,1896,1890,False
ABCH,MD,5,0,0,0.432,11584,20103,1896,1893,False
ARMH,SHS,4,0,0,0.599,6673,46730,1861,1900,False
ARMH,WIL,5,0,0,0.749,6673,43939,1861,1832,False
ARMH,YAT,5,0,0,0.749,6673,44720,1861,1846,False
LAN,STC,6,0,0,1.27,4726,23986,1884,1932,False
FRI,LAN,1,0,0,0.212,7775,4726,1956,1884,False
ACPH,IEG,2,0,0,1.376,1453,7575,1896,1966,False
ACPH,PWKVN,2,0,0,1.376,1453,14995,1896,n/a,False
SKD,VEI,7,0,0,1.89,40817,3704,1886,1912,True
ACC,AP,8,0,0,0.246,32576,88667,1962,1957,True
ABCH,BEN,5,0,1,0.432,11584,17036,1896,1866,False
ACC,SKD,6,0,0,0.184,32576,40817,1962,1886,True
FRI,MCI,1,0,0,0.43,7775,2325,1956,1993,True
LAN,SKD,1,0,0,0.212,4726,40817,1884,1886,False
MW72,SNP,1,0,0,2.232,51159,448,1872,1974,False
LAN,WIL,1,0,0,0.212,4726,43939,1884,1832,False
ACC,BHS,2,0,0,0.113,32576,17777,1962,1953,True
IEG,PGN,2,0,2,4.255,7575,470,1966,1978,False
ACC,MD,4,0,0,0.199,32576,20103,1962,1893,True
ACPH,MD,3,0,0,2.065,1453,20103,1896,1893,False
LAN,VEI,1,0,0,0.27,4726,3704,1884,1912,False
ABCH,ACSJ,1,0,0,1.577,11584,634,1896,1896,False
IEG,KRM,2,0,2,1.178,7575,1698,1966,1965,False
ACSJ,CAE,1,0,0,1.577,634,38484,1896,1891,False
ARMH,BHS,1,0,0,0.15,6673,17777,1861,1953,False
ARMH,LAN,2,0,0,0.423,6673,4726,1861,1884,False
BHS,LAN,1,0,0,0.212,17777,4726,1953,1884,False
BEN,IEG,1,0,0,0.132,17036,7575,1866,1966,False
BEN,PE,2,0,0,0.302,17036,6623,1866,1975,False
GRA,KRM,1,0,0,0.589,11108,1698,1873,1965,True
ABCH,ACPH,1,0,0,0.688,11584,1453,1896,1896,False
MCI,SHS,1,0,0,0.43,2325,46730,1993,1900,True
MCI,VCP,2,0,1,0.86,2325,48636,1993,1873,True
ACC,VEI,2,0,0,0.54,32576,3704,1962,1912,True
INM,KRM,1,0,0,0.589,9454,1698,1904,1965,True
PGN,PW,3,0,0,6.383,470,151349,1978,1879,False
PWKVN,VEI,1,0,0,0.27,14995,3704,n/a,1912,False
CAE,PE,2,0,0,0.302,38484,6623,1891,1975,False
CCS,MCI,2,0,0,0.86,28751,2325,1887,1993,True
LAN,PUI,1,0,0,0.212,4726,11730,1884,1951,False
BEN,MCI,1,0,0,0.43,17036,2325,1866,1993,True
KRM,STC,3,0,0,1.767,1698,23986,1965,1932,True
CAE,KRM,1,0,0,0.589,38484,1698,1891,1965,True
CCS,PE,2,0,0,0.302,28751,6623,1887,1975,False
KRM,LRV,2,0,1,1.178,1698,48259,1965,1889,True
BOP,MD,1,0,0,0.118,8505,20103,1847,1893,True
KRM,VEI,1,0,0,0.589,1698,3704,1965,1912,True
ARMH,MD,1,0,0,0.15,6673,20103,1861,1893,False
ACSJ,KRM,1,0,0,1.577,634,1698,1896,1965,False
KRM,SCH,1,0,0,0.589,1698,28455,1965,1928,True
KRM,PE,1,0,0,0.589,1698,6623,1965,1975,False
ARMH,MCI,1,0,0,0.43,6673,2325,1861,1993,False
MD,VEI,3,0,1,0.81,20103,3704,1893,1912,True
BEN,VEI,1,0,0,0.27,17036,3704,1866,1912,True
ACC,INM,1,0,0,0.106,32576,9454,1962,1904,True
BHS,VEI,2,0,0,0.54,17777,3704,1953,1912,True
FRI,VEI,1,0,0,0.27,7775,3704,1956,1912,True
ACC,ACPH,1,0,0,0.688,32576,1453,1962,1896,False
ACPH,CAE,1,0,0,0.688,1453,38484,1896,1891,False
FRI,IEG,1,0,0,0.132,7775,7575,1956,1966,False
ACPH,SHS,1,0,0,0.688,1453,46730,1896,1900,False
ACPH,WIL,1,0,0,0.688,1453,43939,1896,1832,False
ACC,MCI,1,0,0,0.43,32576,2325,1962,1993,True
ABCH,LAN,1,0,0,0.212,11584,4726,1896,1884,False
PGN,SHS,1,0,0,2.128,470,46730,1978,1900,False
PGN,VCP,1,0,0,2.128,470,48636,1978,1873,False
PGN,WIL,1,0,0,2.128,470,43939,1978,1832,False
PGN,YAT,1,0,0,2.128,470,44720,1978,1846,False
PGN,PWG,1,0,0,2.128,470,106083,1978,1855,False
ACC,BUR,1,0,1,0.052,32576,19146,1962,1866,True
FRI,SHS,1,0,0,0.129,7775,46730,1956,1900,True
PUI,SNP,1,0,0,2.232,11730,448,1951,1974,False
ARMH,GRA,1,0,0,0.15,6673,11108,1861,1873,False
FRI,WIL,1,0,0,0.129,7775,43939,1956,1832,True
