from,to,unit,layer,count
},a,punctuation,git,22
>,},punctuation,git,22
A,̄,diacritic,git,22
5,4,digit,git,22
",",v,punctuation,git,22
%,r,punctuation,git,22
a,I,vowel,git,22
u,h,vowel,form,21
h,d,consonant,form,21
B,b,case,form,21
O,E,vowel,form,21
m,B,consonant,form,21
c,r,consonant,form,21
›,e,punctuation,form,21
̣,E,diacritic,form,21
b,s,consonant,git,21
B,m,consonant,git,21
o,i,vowel,git,21
t,r,consonant,git,21
s,r,consonant,git,21
D,d,case,git,21
l,n,consonant,git,21
1,s,digit,git,21
i,̣,diacritic,git,21
s,.,consonant,git,21
v,"""",consonant,git,21
’,́,diacritic,git,21
3,5,digit,git,21
œ,æ,latin,git,21
h,"""",consonant,git,21
°,h,punctuation,git,21
p,y,consonant,form,20
̄,e,diacritic,form,20
h,n,consonant,form,20
1,r,digit,form,20
",",p,punctuation,form,20
3,7,digit,form,20
n,p,consonant,git,20
t,d,consonant,git,20
i,n,vowel,git,20
1,0,digit,git,20
6,7,digit,git,20
a,>,vowel,git,20
1,4,digit,git,20
t,a,consonant,git,20
t,s,consonant,form,19
V,v,case,form,19
f,̄,diacritic,form,19
2,a,digit,form,19
n,j,consonant,form,19
̣,s,diacritic,form,19
w,t,consonant,form,19
4,g,digit,form,19
.,̄,diacritic,form,19
.,̣,diacritic,form,19
t,n,consonant,git,19
b,h,consonant,git,19
t,f,consonant,git,19
n,i,consonant,git,19
N,n,case,git,19
o,u,vowel,git,19
 ,a,whitespace,git,19
},.,punctuation,git,19
w,W,case,git,19
w,t,consonant,git,19
5,6,digit,git,19
n,v,consonant,git,19
g,-,consonant,git,19
c,e,consonant,form,18
a,s,vowel,form,18
n,u,consonant,form,18
y,w,consonant,form,18
2,r,digit,form,18
p,́,diacritic,form,18
r,v,consonant,form,18
r,e,consonant,form,18
v,u,consonant,form,18
1,a,digit,form,18
4,̄,diacritic,form,18
A,B,vowel,git,18
c,s,consonant,git,18
n,t,consonant,git,18
f,F,case,git,18
t,्,diacritic,git,18
o, ,vowel,git,18
̆,̌,diacritic,git,18
/,v,punctuation,git,18
a,र,vowel,git,18
k,h,consonant,form,17
s,r,consonant,form,17
q,̣,diacritic,form,17
k,v,consonant,form,17
‹,.,punctuation,form,17
̣,›,diacritic,form,17
r,t,consonant,git,17
m,B,consonant,git,17
t,i,consonant,git,17
g,j,consonant,git,17
i,E,vowel,git,17
2,6,digit,git,17
/,l,punctuation,git,17
",",6,punctuation,git,17
7,6,digit,git,17
2,0,digit,git,17
>,α,punctuation,git,17
a,m,vowel,git,17
>,/,punctuation,git,17
m,h,consonant,form,16
r, ,consonant,form,16
̣,Q,diacritic,form,16
g,m,consonant,form,16
1,n,digit,form,16
E,i,vowel,form,16
y,̣,diacritic,form,16
́,̣,diacritic,form,16
̄,O,diacritic,form,16
d,w,consonant,form,16
a,n,vowel,form,16
K,n,consonant,form,16
4,p,digit,form,16
̣,‹,diacritic,form,16
o,r,vowel,git,16
4,2,digit,git,16
d,q,consonant,git,16
 ,i,whitespace,git,16
u,O,vowel,git,16
?, ,punctuation,git,16
L,i,consonant,git,16
E,m,vowel,git,16
>,f,punctuation,git,16
v,>,consonant,git,16
i,.,vowel,git,16
s,>,consonant,git,16
2, ,digit,git,16
s,D,consonant,git,16
/,m,punctuation,git,16
r,%,consonant,git,16
7,1,digit,git,16
/,},punctuation,git,16
