from,to,unit,layer,count
h,"""",consonant,form,1
s,v,consonant,form,1
c,"""",consonant,form,1
u,;,vowel,form,1
y,S,consonant,form,1
N,t,consonant,form,1
e,=,vowel,form,1
9,1,digit,form,1
i,A,vowel,form,1
2,l,digit,form,1
5,l,digit,form,1
̄,;,diacritic,form,1
i,x,vowel,form,1
k,f,consonant,form,1
i,T,vowel,form,1
0,),digit,form,1
h,A,consonant,form,1
i,°,vowel,form,1
b,-,consonant,form,1
.,°,punctuation,form,1
4,॑,diacritic,form,1
y,f,consonant,form,1
9,8,digit,form,1
̄,॑,diacritic,form,1
e,T,vowel,form,1
n,[,consonant,form,1
N,r,consonant,form,1
M,s,consonant,form,1
B,i,consonant,form,1
h,̄,diacritic,form,1
",",d,punctuation,form,1
R,e,consonant,form,1
u,",",vowel,form,1
.,[,punctuation,form,1
 ,T,whitespace,form,1
i,L,vowel,form,1
",",=,punctuation,form,1
3,6,digit,form,1
r,-,consonant,form,1
:,p,punctuation,form,1
-,p,punctuation,form,1
9,0,digit,form,1
8,0,digit,form,1
m,R,consonant,form,1
f,.,consonant,form,1
O,(,vowel,form,1
 ,),whitespace,form,1
3,H,digit,form,1
B,4,consonant,form,1
v,M,consonant,form,1
",",w,punctuation,form,1
F,i,consonant,form,1
/,̄,diacritic,form,1
a,C,vowel,form,1
x,",",consonant,form,1
>, ,punctuation,form,1
<,f,punctuation,form,1
/, ,punctuation,form,1
>,m,punctuation,form,1
(,e,punctuation,form,1
a,-,vowel,form,1
/,',punctuation,form,1
(,o,punctuation,form,1
c,d,consonant,form,1
H,3,consonant,form,1
4,B,digit,form,1
k,w,consonant,form,1
c,k,consonant,form,1
N,p,consonant,form,1
(,a,punctuation,form,1
Z,p,consonant,form,1
),p,punctuation,form,1
¯,a,punctuation,form,1
',e,punctuation,form,1
V,g,consonant,form,1
¯,e,punctuation,form,1
̇,n,diacritic,form,1
),h,punctuation,form,1
C,e,consonant,form,1
Y,e,consonant,form,1
̇,e,diacritic,form,1
*,c,punctuation,form,1
C,g,consonant,form,1
j,p,consonant,form,1
V,e,consonant,form,1
9,g,digit,form,1
R,a,consonant,form,1
3,p,digit,form,1
¯,c,punctuation,form,1
),c,punctuation,form,1
x,n,consonant,form,1
f, ,consonant,form,1
0,g,digit,form,1
],p,punctuation,form,1
-,c,punctuation,form,1
̃,p,diacritic,form,1
̇,r,diacritic,form,1
…,g,punctuation,form,1
~,e,punctuation,form,1
!,a,punctuation,form,1
5,g,digit,form,1
V,r,consonant,form,1
 ,>,whitespace,form,1
p,l,consonant,form,1
f,p,consonant,form,1
4,K,digit,form,1
‹,e,punctuation,form,1
̣,U,diacritic,form,1
j,.,consonant,form,1
F,d,consonant,form,1
6,̄,diacritic,form,1
F,‹,consonant,form,1
E,f,vowel,form,1
x,X,case,form,1
0,7,digit,form,1
j,?,consonant,form,1
r,?,consonant,form,1
a,?,vowel,form,1
.,́,diacritic,form,1
s,›,consonant,form,1
V,K,consonant,form,1
n,́,diacritic,form,1
h,U,consonant,form,1
̣,̈,diacritic,form,1
̈,̣,diacritic,form,1
m,K,consonant,form,1
O,j,vowel,form,1
K,́,diacritic,form,1
`,',punctuation,form,1
B,.,consonant,form,1
B, ,consonant,form,1
i,‹,vowel,form,1
̄,b,diacritic,form,1
P,̃,diacritic,form,1
u,́,diacritic,form,1
V,B,consonant,form,1
X,̣,diacritic,form,1
u,B,vowel,form,1
n,‹,consonant,form,1
̣,8,diacritic,form,1
V,1,consonant,form,1
a,",",vowel,form,1
r,",",consonant,form,1
t,9,consonant,form,1
9,.,digit,form,1
̃,Z,diacritic,form,1
r,4,consonant,form,1
4,t,digit,form,1
V,̄,diacritic,form,1
%,¯,punctuation,form,1
},̣,diacritic,form,1
 ,E,whitespace,form,1
^,.,punctuation,form,1
P,^,consonant,form,1
Y,V,consonant,form,1
K,B,consonant,form,1
h,E,consonant,form,1
6,5,digit,form,1
̈,7,diacritic,form,1
7,.,digit,form,1
t,1,consonant,form,1
3,.,digit,form,1
.,7,punctuation,form,1
1,t,digit,form,1
.,3,punctuation,form,1
̣,C,diacritic,form,1
F,K,consonant,form,1
F,̇,diacritic,form,1
W,E,consonant,form,1
E,%,vowel,form,1
t,},consonant,form,1
Z,K,consonant,form,1
V,̇,diacritic,form,1
-,7,punctuation,form,1
¯,#,punctuation,form,1
K,{,consonant,form,1
3,̄,diacritic,form,1
F,̣,diacritic,form,1
l,u,consonant,form,1
̄,w,diacritic,form,1
̣,¯,diacritic,form,1
 ,B,whitespace,form,1
d,P,consonant,form,1
›,i,punctuation,form,1
‹,t,punctuation,form,1
e,7,vowel,form,1
O,P,vowel,form,1
u,¯,vowel,form,1
%,K,punctuation,form,1
.,P,punctuation,form,1
 ,‹,whitespace,form,1
̄,1,diacritic,form,1
‹,5,punctuation,form,1
Q,a,consonant,form,1
u,m,vowel,form,1
X,.,consonant,form,1
L, ,consonant,form,1
i,j,vowel,form,1
}, ,punctuation,form,1
 ,I,whitespace,form,1
i,%,vowel,form,1
̄,},diacritic,form,1
̣,²,diacritic,form,1
‹,s,punctuation,form,1
V,Y,consonant,form,1
›,",",punctuation,form,1
{,<,punctuation,form,1
r,>,consonant,form,1
̣,د,diacritic,form,1
a,ر,vowel,form,1
̄,ب,diacritic,form,1
B,ا,consonant,form,1
i,ر,vowel,form,1
̄,<,diacritic,form,1
s,/,consonant,form,1
7,5,digit,form,1
B,‹,consonant,form,1
.,b,punctuation,form,1
0,o,digit,form,1
p,•,consonant,form,1
E,v,vowel,form,1
g,O,consonant,form,1
j,̇,diacritic,form,1
3,̃,diacritic,form,1
 ,8,whitespace,form,1
 ,3,whitespace,form,1
v,¯,consonant,form,1
›,̄,diacritic,form,1
r,E,consonant,form,1
C,V,consonant,form,1
5,t,digit,form,1
O,n,vowel,form,1
O,̇,diacritic,form,1
E,2,vowel,form,1
8,̣,diacritic,form,1
̣,T,diacritic,form,1
C,.,consonant,form,1
l,V,consonant,form,1
‹,̣,diacritic,form,1
E,B,vowel,form,1
¯,d,punctuation,form,1
h,‹,consonant,form,1
E,d,vowel,form,1
̣,m,diacritic,form,1
C,s,consonant,form,1
F,.,consonant,form,1
k,4,consonant,form,1
Z,a,consonant,form,1
=,7,punctuation,form,1
¯,̣,diacritic,form,1
 ,7,whitespace,form,1
‹,n,punctuation,form,1
u,7,vowel,form,1
E,;,vowel,form,1
;,},punctuation,form,1
̇,2,diacritic,form,1
i,̃,diacritic,form,1
̣,#,diacritic,form,1
E,{,vowel,form,1
a,},vowel,form,1
u,‹,vowel,form,1
¯,b,punctuation,form,1
a,›,vowel,form,1
7,¯,digit,form,1
1,B,digit,form,1
n,2,consonant,form,1
̇,%,diacritic,form,1
l,w,consonant,form,1
‹,l,punctuation,form,1
Y,̄,diacritic,form,1
S,¯,consonant,form,1
r,§,consonant,form,1
…,‹,punctuation,form,1
r,‹,consonant,form,1
4,m,digit,form,1
v,B,consonant,form,1
›,B,punctuation,form,1
0,̣,diacritic,form,1
p,̄,diacritic,form,1
̄,6,diacritic,form,1
B,#,consonant,form,1
h,{,consonant,form,1
V,d,consonant,form,1
O,̣,diacritic,form,1
l,̃,diacritic,form,1
…,",",punctuation,form,1
F,o,consonant,form,1
I,¯,vowel,form,1
ƒ,",",latin,form,1
P,5,consonant,form,1
e,5,vowel,form,1
1,",",digit,form,1
0,",",digit,form,1
8,5,digit,form,1
0,.,digit,form,1
-,8,punctuation,form,1
5,0,digit,form,1
.,ƒ,punctuation,form,1
̄,v,diacritic,form,1
P,K,consonant,form,1
O,a,vowel,form,1
̣,А,diacritic,form,1
t,н,consonant,form,1
̣,т,diacritic,form,1
p,р,consonant,form,1
o,б,vowel,form,1
4,и,digit,form,1
},д,punctuation,form,1
w,i,consonant,form,1
w,n,consonant,form,1
i,",",vowel,form,1
c,I,consonant,form,1
),?,punctuation,form,1
U,u,case,form,1
n,A,consonant,form,1
T,G,consonant,form,1
T,m,consonant,form,1
T,u,consonant,form,1
R,s,consonant,form,1
I,e,vowel,form,1
.,m,punctuation,form,1
.,w,punctuation,form,1
.,u,punctuation,form,1
.,T,punctuation,form,1
.,R,punctuation,form,1
.,I,punctuation,form,1
.,K,punctuation,form,1
.,E,punctuation,form,1
-,h,punctuation,form,1
E,k,vowel,form,1
j,i,consonant,form,1
i,5,vowel,form,1
k,P,consonant,form,1
v,j,consonant,form,1
̄,^,diacritic,form,1
n,k,consonant,form,1
e,3,vowel,form,1
t,Q,consonant,form,1
5,2,digit,form,1
/,r,punctuation,form,1
U,̄,diacritic,form,1
a,Y,vowel,form,1
v,W,consonant,form,1
1,2,digit,form,1
a,́,diacritic,form,1
y,/,consonant,form,1
/,e,punctuation,form,1
u,^,vowel,form,1
y,q,consonant,form,1
y,c,consonant,form,1
g,K,consonant,form,1
\,^,punctuation,form,1
A,o,vowel,form,1
m,v,consonant,form,1
k,q,consonant,form,1
E,l,vowel,form,1
B,",",consonant,form,1
—,~,punctuation,form,1
B,R,consonant,form,1
i,v,vowel,form,1
[,i,punctuation,form,1
Z,n,consonant,form,1
;,?,punctuation,form,1
f,',consonant,form,1
a,`,vowel,form,1
F,B,consonant,form,1
s,`,consonant,form,1
f,l,consonant,form,1
e,j,vowel,form,1
S,h,consonant,form,1
A,.,vowel,form,1
-,o,punctuation,form,1
h,g,consonant,form,1
S,i,consonant,form,1
4,o,digit,form,1
t,0,consonant,form,1
́,̇,diacritic,form,1
̣,A,diacritic,form,1
%, ,punctuation,form,1
},+,punctuation,form,1
",",1,punctuation,form,1
 ,0,whitespace,form,1
{,",",punctuation,form,1
+,},punctuation,form,1
0,u,digit,form,1
%,.,punctuation,form,1
K,C,consonant,form,1
-,1,punctuation,form,1
q,W,consonant,form,1
1,d,digit,form,1
|,†,punctuation,form,1
2,y,digit,form,1
 ,@,whitespace,form,1
@,',punctuation,form,1
̇,y,diacritic,form,1
o,-,vowel,form,1
i,—,vowel,form,1
.,),punctuation,form,1
̀,́,diacritic,form,1
y,i,consonant,form,1
i,w,vowel,form,1
e,},vowel,form,1
%,e,punctuation,form,1
F,X,consonant,form,1
r,%,consonant,form,1
s,},consonant,form,1
.,{,punctuation,form,1
j,J,case,form,1
̄,4,diacritic,form,1
k,̃,diacritic,form,1
1,o,digit,form,1
v,2,consonant,form,1
i,),vowel,form,1
b, ,consonant,form,1
:,̄,diacritic,form,1
T,A,consonant,form,1
t,̄,diacritic,form,1
w,r,consonant,form,1
x,k,consonant,form,1
6,l,digit,form,1
8,b,digit,form,1
6, ,digit,form,1
&,a,punctuation,form,1
8,t,digit,form,1
9,v,digit,form,1
2,?,digit,form,1
C,H,consonant,form,1
(,d,punctuation,form,1
’,",",punctuation,form,1
",",̣,diacritic,form,1
m,u,consonant,form,1
C, ,consonant,form,1
̧,l,diacritic,form,1
̂, ,diacritic,form,1
4,̂,diacritic,form,1
',h,punctuation,form,1
H,p,consonant,form,1
),f,punctuation,form,1
2,u,digit,form,1
o,A,vowel,form,1
c,L,consonant,form,1
v,7,consonant,form,1
a,5,vowel,form,1
h,0,consonant,form,1
̣,0,diacritic,form,1
o,0,vowel,form,1
N,i,consonant,form,1
y, ,consonant,form,1
d,u,consonant,form,1
̄,?,diacritic,form,1
L,m,consonant,form,1
B,',consonant,form,1
P,},consonant,form,1
o,v,vowel,form,1
1,I,digit,form,1
°,v,punctuation,form,1
 ,',whitespace,form,1
"""",k,punctuation,form,1
"""",w,punctuation,form,1
a,"""",vowel,form,1
;,:,punctuation,form,1
A,d,vowel,form,1
(,l,punctuation,form,1
h,f,consonant,form,1
8,̆,diacritic,form,1
g,-,consonant,form,1
"""",́,diacritic,form,1
"""",a,punctuation,form,1
-,v,punctuation,form,1
),u,punctuation,form,1
l,8,consonant,form,1
̣,",",diacritic,form,1
B,9,consonant,form,1
 ,&,whitespace,form,1
u,?,vowel,form,1
h,S,consonant,form,1
-,s,punctuation,form,1
̀,b,diacritic,form,1
"""",.,punctuation,form,1
t,:,consonant,form,1
6,t,digit,form,1
],',punctuation,form,1
T,d,consonant,form,1
x,́,diacritic,form,1
5,̀,diacritic,form,1
 ,L,whitespace,form,1
B,x,consonant,form,1
a,>,vowel,form,1
̇,°,diacritic,form,1
v,3,consonant,form,1
́,̄,diacritic,form,1
g,x,consonant,form,1
/,l,punctuation,form,1
p,S,consonant,form,1
o,N,vowel,form,1
s,S,case,form,1
o,s,vowel,form,1
a,I,vowel,form,1
/,s,punctuation,form,1
d,V,consonant,form,1
i,H,vowel,form,1
̈,̀,diacritic,form,1
o,S,vowel,form,1
",",k,punctuation,form,1
o,y,vowel,form,1
:,u,punctuation,form,1
h,y,consonant,form,1
y,",",consonant,form,1
n,=,consonant,form,1
p,",",consonant,form,1
e,°,vowel,form,1
̄,̂,diacritic,form,1
N,l,consonant,form,1
G,e,consonant,form,1
n,w,consonant,form,1
e,I,vowel,form,1
o,',vowel,form,1
y,k,consonant,form,1
r,',consonant,form,1
o,",",vowel,form,1
:, ,punctuation,form,1
"""",e,punctuation,form,1
ß,s,latin,form,1
",",I,punctuation,form,1
",",?,punctuation,form,1
W,S,consonant,form,1
k,',consonant,form,1
R,',consonant,form,1
(,c,punctuation,form,1
√,o,punctuation,form,1
j,t,consonant,form,1
√,e,punctuation,form,1
M, ,consonant,form,1
n,],consonant,form,1
x,s,consonant,form,1
d,",",consonant,form,1
a,;,vowel,form,1
v,l,consonant,form,1
l,!,consonant,form,1
w,p,consonant,form,1
"""",W,punctuation,form,1
p,i,consonant,form,1
°,s,punctuation,form,1
s,́,diacritic,form,1
-,b,punctuation,form,1
4,.,digit,form,1
 ,.,whitespace,form,1
i,.,vowel,form,1
t,[,consonant,form,1
2,́,diacritic,form,1
f,"""",consonant,form,1
°,f,punctuation,form,1
m,>,consonant,form,1
T,C,consonant,form,1
b,l,consonant,form,1
n,x,consonant,form,1
‘,c,punctuation,form,1
V,h,consonant,form,1
’,o,punctuation,form,1
-,̇,diacritic,form,1
g,i,consonant,form,1
l,:,consonant,form,1
h,3,consonant,form,1
3,-,digit,form,1
B,-,consonant,form,1
C,S,consonant,form,1
̧,́,diacritic,form,1
H,l,consonant,form,1
.,?,punctuation,form,1
t,.,consonant,form,1
w,.,consonant,form,1
@,",",punctuation,form,1
́,k,diacritic,form,1
’,?,punctuation,form,1
—,v,punctuation,form,1
g,f,consonant,form,1
d,"""",consonant,form,1
 ,́,diacritic,form,1
n,̀,diacritic,form,1
;,"""",punctuation,form,1
;,r,punctuation,form,1
N,c,consonant,form,1
t,-,consonant,form,1
o,>,vowel,form,1
N,l,consonant,git,1
 ,V,whitespace,git,1
(,",",punctuation,git,1
B,e,consonant,git,1
/,5,punctuation,git,1
i,",",vowel,git,1
<,d,punctuation,git,1
),"""",punctuation,git,1
d,k,consonant,git,1
t,ι,consonant,git,1
v,ν,consonant,git,1
̌,̄,diacritic,git,1
̌,̈,diacritic,git,1
e,I,vowel,git,1
c,̄,diacritic,git,1
;,l,punctuation,git,1
l,;,consonant,git,1
e,̇,diacritic,git,1
u,m,vowel,git,1
¤,%,punctuation,git,1
u,h,vowel,git,1
L,D,consonant,git,1
y,u,consonant,git,1
O,E,vowel,git,1
t,J,consonant,git,1
F,P,consonant,git,1
M,/,consonant,git,1
-,c,punctuation,git,1
f,-,consonant,git,1
o,g,vowel,git,1
Y,̃,diacritic,git,1
k,u,consonant,git,1
h,́,diacritic,git,1
S,́,diacritic,git,1
I,b,vowel,git,1
|,>,punctuation,git,1
r,j,consonant,git,1
|,/,punctuation,git,1
j,b,consonant,git,1
;,-,punctuation,git,1
x,z,consonant,git,1
-,_,punctuation,git,1
_, ,punctuation,git,1
N,C,consonant,git,1
̇,O,diacritic,git,1
A,K,vowel,git,1
K, ,consonant,git,1
u,c,vowel,git,1
{,A,punctuation,git,1
?,B,punctuation,git,1
?,C,punctuation,git,1
?,h,punctuation,git,1
H,-,consonant,git,1
?,f,punctuation,git,1
j,S,consonant,git,1
B,s,consonant,git,1
{,M,punctuation,git,1
{,B,punctuation,git,1
{,g,punctuation,git,1
?,q,punctuation,git,1
},O,punctuation,git,1
p,g,consonant,git,1
?,b,punctuation,git,1
{,v,punctuation,git,1
a,z,vowel,git,1
I, ,vowel,git,1
},3,punctuation,git,1
?,Y,punctuation,git,1
{,u,punctuation,git,1
?,l,punctuation,git,1
{,r,punctuation,git,1
?,z,punctuation,git,1
},M,punctuation,git,1
y,z,consonant,git,1
?,T,punctuation,git,1
R,c,consonant,git,1
{,k,punctuation,git,1
?,I,punctuation,git,1
{,Y,punctuation,git,1
{,m,punctuation,git,1
y,G,consonant,git,1
r,Y,consonant,git,1
z,x,consonant,git,1
o,d,vowel,git,1
j,h,consonant,git,1
E,",",vowel,git,1
6,},digit,git,1
8,},digit,git,1
q,o,consonant,git,1
?,j,punctuation,git,1
?,◡,punctuation,git,1
<,+,punctuation,git,1
L,r,consonant,git,1
E,u,vowel,git,1
L,v,consonant,git,1
E,f,vowel,git,1
N,d,consonant,git,1
L,y,consonant,git,1
D,#,consonant,git,1
E,x,vowel,git,1
	,0,whitespace,git,1
ς,s,latin,git,1
k,C,consonant,git,1
ß,s,latin,git,1
G,̇,diacritic,git,1
{,5,punctuation,git,1
̄,.,diacritic,git,1
{,.,punctuation,git,1
g,1,consonant,git,1
', ,punctuation,git,1
o,y,vowel,git,1
¦,I,punctuation,git,1
{,̄,diacritic,git,1
?,S,punctuation,git,1
},¦,punctuation,git,1
?,Z,punctuation,git,1
M,^,consonant,git,1
b,j,consonant,git,1
>,(,punctuation,git,1
<,V,punctuation,git,1
̄,B,diacritic,git,1
<,̄,diacritic,git,1
?,8,punctuation,git,1
?,},punctuation,git,1
J,h,consonant,git,1
¦,#,punctuation,git,1
8,=,digit,git,1
",",q,punctuation,git,1
 ,=,whitespace,git,1
},=,punctuation,git,1
),°,punctuation,git,1
t,0,consonant,git,1
0,r,digit,git,1
u,j,vowel,git,1
ε,Ε,case,git,1
*,Α,punctuation,git,1
᾿,̓,diacritic,git,1
̄,̀,diacritic,git,1
υ,ϒ,latin,git,1
ι,δ,latin,git,1
ς,ι,latin,git,1
/,7,punctuation,git,1
>,̄,diacritic,git,1
v,5,consonant,git,1
v, ,consonant,git,1
7,’,digit,git,1
1,f,digit,git,1
&,s,punctuation,git,1
c,1,consonant,git,1
l,?,consonant,git,1
{,(,punctuation,git,1
%,{,punctuation,git,1
(,#,punctuation,git,1
̈,a,diacritic,git,1
L,b,consonant,git,1
E,>,vowel,git,1
F,8,consonant,git,1
G,g,case,git,1
F,s,consonant,git,1
e,%,vowel,git,1
<,F,punctuation,git,1
b,<,consonant,git,1
",",L,punctuation,git,1
i,4,vowel,git,1
H,1,consonant,git,1
M,<,consonant,git,1
W,k,consonant,git,1
√,o,punctuation,git,1
>,√,punctuation,git,1
<,D,punctuation,git,1
{,=,punctuation,git,1
#,"""",punctuation,git,1
̄,>,diacritic,git,1
u,},vowel,git,1
t,2,consonant,git,1
V,v,case,git,1
P,K,consonant,git,1
>,2,punctuation,git,1
%,v,punctuation,git,1
?,/,punctuation,git,1
M,s,consonant,git,1
G,́,diacritic,git,1
",",9,punctuation,git,1
6,<,digit,git,1
2,p,digit,git,1
9,r,digit,git,1
",",(,punctuation,git,1
8,I,digit,git,1
.,=,punctuation,git,1
",",l,punctuation,git,1
<,.,punctuation,git,1
7,<,digit,git,1
),l,punctuation,git,1
),2,punctuation,git,1
P,<,consonant,git,1
6,l,digit,git,1
Z,>,consonant,git,1
ω,-,latin,git,1
ι,-,latin,git,1
.,!,punctuation,git,1
M,o,consonant,git,1
!, ,punctuation,git,1
G,z,consonant,git,1
‡,-,punctuation,git,1
-,‡,punctuation,git,1
},c,punctuation,git,1
G,J,consonant,git,1
y,Y,case,git,1
a,́,diacritic,git,1
a,̄,diacritic,git,1
„,“,punctuation,git,1
×,Z,punctuation,git,1
×,+,punctuation,git,1
œ,̀,diacritic,git,1
6,w,digit,git,1
त,ा,latin,git,1
र,त,latin,git,1
',l,punctuation,git,1
(,%,punctuation,git,1
h,9,consonant,git,1
w,),consonant,git,1
k,>,consonant,git,1
R,(,consonant,git,1
W,<,consonant,git,1
क,b,latin,git,1
ु,>,other,git,1
ण, ,latin,git,1
्,{,diacritic,git,1
ठ,#,latin,git,1
न,आ,latin,git,1
ऋ,ृ,latin,git,1
<,ि,punctuation,git,1
/,र,punctuation,git,1
l,त,consonant,git,1
t,º,consonant,git,1
t,�,consonant,git,1
ν,͂,diacritic,git,1
],ζ,punctuation,git,1
z,υ,consonant,git,1
u,γ,vowel,git,1
g,ο,consonant,git,1
o,́,diacritic,git,1
],τ,punctuation,git,1
t,ρ,consonant,git,1
r,ι,consonant,git,1
i,α,vowel,git,1
a,ϰ,vowel,git,1
k,τ,consonant,git,1
t,η,consonant,git,1
E,́,diacritic,git,1
Z,Ζ,consonant,git,1
k,ϰ,consonant,git,1
s,σ,consonant,git,1
t,τ,consonant,git,1
],δ,punctuation,git,1
d,υ,consonant,git,1
u,σ,vowel,git,1
s,ε,consonant,git,1
O,ω,vowel,git,1
p,π,consonant,git,1
t,ϑ,consonant,git,1
h,ε,consonant,git,1
o,ο,vowel,git,1
',́,diacritic,git,1
',̣,diacritic,git,1
g,{,consonant,git,1
g,̔,diacritic,git,1
n,ι,consonant,git,1
g,θ,consonant,git,1
>,σ,punctuation,git,1
n,δ,consonant,git,1
g,δ,consonant,git,1
g,η,consonant,git,1
g,γ,consonant,git,1
n,ζ,consonant,git,1
",",R,punctuation,git,1
S,.,consonant,git,1
—,<,punctuation,git,1
S,o,consonant,git,1
U,P,vowel,git,1
w,́,diacritic,git,1
 ,w,whitespace,git,1
U,S,vowel,git,1
̣,B,diacritic,git,1
-,̣,diacritic,git,1
l,̃,diacritic,git,1
U,B,vowel,git,1
T,̄,diacritic,git,1
",",&,punctuation,git,1
¦,́,diacritic,git,1
(,.,punctuation,git,1
e,̃,diacritic,git,1
¦,],punctuation,git,1
-,t,punctuation,git,1
m,b,consonant,git,1
s,9,consonant,git,1
q,b,consonant,git,1
>,y,punctuation,git,1
i,N,vowel,git,1
œ,c,latin,git,1
&,t,punctuation,git,1
f,<,consonant,git,1
L,>,consonant,git,1
I,),vowel,git,1
(,b,punctuation,git,1
m,o,consonant,git,1
I,f,vowel,git,1
|, ,punctuation,git,1
N,V,consonant,git,1
V,h,consonant,git,1
.,k,punctuation,git,1
x,),consonant,git,1
k,.,consonant,git,1
¦,d,punctuation,git,1
f,z,consonant,git,1
I,^,vowel,git,1
k,<,consonant,git,1
z,/,consonant,git,1
^,.,punctuation,git,1
h,A,consonant,git,1
́,c,diacritic,git,1
B,k,consonant,git,1
 ,j,whitespace,git,1
k,y,consonant,git,1
n,},consonant,git,1
",",},punctuation,git,1
g,},consonant,git,1
%,j,punctuation,git,1
́,},diacritic,git,1
},n,punctuation,git,1
%,u,punctuation,git,1
u,%,vowel,git,1
},@,punctuation,git,1
-,},punctuation,git,1
́,̣,diacritic,git,1
r,@,consonant,git,1
̣,},diacritic,git,1
m,́,diacritic,git,1
},h,punctuation,git,1
%,s,punctuation,git,1
%,e,punctuation,git,1
},j,punctuation,git,1
",",̃,diacritic,git,1
K,a,consonant,git,1
R,{,consonant,git,1
{,R,punctuation,git,1
́,{,diacritic,git,1
{,c,punctuation,git,1
%,i,punctuation,git,1
̃,o,diacritic,git,1
{,@,punctuation,git,1
",",%,punctuation,git,1
J,G,consonant,git,1
4,(,digit,git,1
@,o,punctuation,git,1
0,̄,diacritic,git,1
σ,ο,latin,git,1
̀,̔,diacritic,git,1
᾿,Ο,punctuation,git,1
Ο,̓,diacritic,git,1
Τ,τ,case,git,1
῾,Υ,punctuation,git,1
́,̔,diacritic,git,1
ϒ,́,diacritic,git,1
>,ϳ,punctuation,git,1
Β,β,case,git,1
ϕ,Φ,latin,git,1
π,ϕ,latin,git,1
a,æ,vowel,git,1
T,a,consonant,git,1
O,̣,diacritic,git,1
q,i,consonant,git,1
R,d,consonant,git,1
G,h,consonant,git,1
D,a,consonant,git,1
́,̂,diacritic,git,1
̧,̨,diacritic,git,1
̂,̈,diacritic,git,1
z,h,consonant,git,1
z,m,consonant,git,1
U,>,vowel,git,1
P,i,consonant,git,1
P,u,consonant,git,1
U,t,vowel,git,1
̂,̌,diacritic,git,1
T,h,consonant,git,1
R,i,consonant,git,1
7,a,digit,git,1
5,̄,diacritic,git,1
B,u,consonant,git,1
p,c,consonant,git,1
ρ,μ,latin,git,1
λ,μ,latin,git,1
ς,ω,latin,git,1
χ,ϰ,latin,git,1
μ,λ,latin,git,1
1,p,digit,git,1
^,7,punctuation,git,1
7,/,digit,git,1
H,>,consonant,git,1
^,<,punctuation,git,1
X, ,consonant,git,1
4,F,digit,git,1
5,p,digit,git,1
-,p,punctuation,git,1
^,2,punctuation,git,1
2,),digit,git,1
1,F,digit,git,1
%,p,punctuation,git,1
Α,Ι,latin,git,1
υ,μ,latin,git,1
υ,́,diacritic,git,1
͂,ν,diacritic,git,1
β,ν,latin,git,1
́,ϱ,diacritic,git,1
η,ε,latin,git,1
Α,Λ,latin,git,1
ω,υ,latin,git,1
l,{,consonant,git,1
Ε,́,diacritic,git,1
μ,",",latin,git,1
ι,ε,latin,git,1
Α,A,latin,git,1
τ,σ,latin,git,1
Ρ,Π,latin,git,1
Ч,Ь,latin,git,1
Ы,Ͳ,latin,git,1
И,Ⲁ,latin,git,1
̆,Ѧ,diacritic,git,1
Т,Ы,latin,git,1
a,И,vowel,git,1
Ѧ,̆,diacritic,git,1
y,у,consonant,git,1
e,е,vowel,git,1
̕,́,diacritic,git,1
̌,̆,diacritic,git,1
В,Б,latin,git,1
Ч,Ц,latin,git,1
',̔,diacritic,git,1
o,о,vowel,git,1
a,Ⲁ,vowel,git,1
?,ي,punctuation,git,1
?,ب,punctuation,git,1
?,ا,punctuation,git,1
j,E,consonant,git,1
",",̣,diacritic,git,1
>,^,punctuation,git,1
́,̈,diacritic,git,1
I,J,vowel,git,1
l,́,diacritic,git,1
u,°,vowel,git,1
`,1,punctuation,git,1
χ,γ,latin,git,1
ς,́,diacritic,git,1
χ,κ,latin,git,1
.,β,punctuation,git,1
ι,μ,latin,git,1
̔,́,diacritic,git,1
ο,α,latin,git,1
ζ,χ,latin,git,1
α,σ,latin,git,1
ω,ο,latin,git,1
̓,́,diacritic,git,1
μ,ρ,latin,git,1
Ο,́,diacritic,git,1
Υ,́,diacritic,git,1
Σ,ς,latin,git,1
ε,δ,latin,git,1
υ,γ,latin,git,1
ν,λ,latin,git,1
̔,β,diacritic,git,1
τ,ρ,latin,git,1
α,υ,latin,git,1
κ,θ,latin,git,1
ξ,ζ,latin,git,1
̀,̓,diacritic,git,1
ζ,α,latin,git,1
ω,ξ,latin,git,1
[,π,punctuation,git,1
β,π,latin,git,1
.,ο,punctuation,git,1
ο,͂,diacritic,git,1
+,#,punctuation,git,1
^,},punctuation,git,1
0,p,digit,git,1
:,H,punctuation,git,1
^,M,punctuation,git,1
^,#,punctuation,git,1
^,S,punctuation,git,1
t,},consonant,git,1
G,(,consonant,git,1
),n,punctuation,git,1
b,g,consonant,git,1
d,v,consonant,git,1
w,v,consonant,git,1
j,Y,consonant,git,1
Y,z,consonant,git,1
a,̈,diacritic,git,1
h,g,consonant,git,1
D,F,consonant,git,1
O,̈,diacritic,git,1
̄,̈,diacritic,git,1
¤, ,punctuation,git,1
̈,i,diacritic,git,1
j,f,consonant,git,1
w,m,consonant,git,1
B,b,case,git,1
O,o,case,git,1
W,w,case,git,1
x,A,consonant,git,1
=, ,punctuation,git,1
w,e,consonant,git,1
i,S,vowel,git,1
/,O,punctuation,git,1
A,Y,vowel,git,1
‡,‿,punctuation,git,1
),],punctuation,git,1
‡,́,diacritic,git,1
G,O,consonant,git,1
G,X,consonant,git,1
