control,dict,cv,kbar,n_true,gamma_analytic,gamma_emp,median,p25,p75,rel_bias,bias_predicted,coverage,envelope_recovery,n_reps,passes,family,cv_realised,gamma_identity,implied_n1,implied_n2,observed_n1,observed_n2,gamma_sequential,gamma_heterogeneity,gamma_naive_product,product_error
B heterogeneous detectability,bur,0.0,,17247,1.0,0.9995688771945206,16915.992424242424,15394.01923076923,18485.255319148935,-0.01919218274236545,-0.0,0.915,-0.021750474562683864,400,1,two-point,0.0,1.0,,,,,,,,
B heterogeneous detectability,bur,0.25,,17247,1.0625,1.0571783164845159,16012.06402679275,14500.576923076924,17916.52380952381,-0.07160294388631361,-0.058823529411764705,0.87,-0.024246156977315247,400,1,two-point,0.25,1.0625,,,,,,,,
B heterogeneous detectability,bur,0.25,,17247,1.0624999999982334,1.0571783164845159,16012.06402679275,14500.576923076924,17916.52380952381,-0.07160294388631361,-0.05882352941019984,0.87,-0.024246156978937727,400,1,gamma-clipped,0.2499999999964669,1.0624999999982334,,,,,,,,
B heterogeneous detectability,bur,0.5,,17247,1.2500000000000002,1.2490941846120824,13588.552631578947,12599.714285714286,14994.698113207547,-0.21212079598892875,-0.20000000000000015,0.45,-0.013168829768512746,400,1,two-point,0.5,1.25,,,,,,,,
B heterogeneous detectability,bur,0.5,,17247,1.2491534680297576,1.2478053144353687,13609.872878918608,12599.714285714286,14998.1,-0.21088462463508972,-0.1994578523828124,0.45,-0.013837176342661683,400,1,gamma-clipped,0.49915275019752964,1.2491534680297574,,,,,,,,
B heterogeneous detectability,bur,0.75,,17247,1.5625000000000004,1.5616366697126705,10914.423611111111,10215.373333333333,11777.985074626866,-0.367169733222525,-0.3600000000000002,0.015,-0.00969386796805638,400,1,two-point,0.75,1.5625,,,,,,,,
B heterogeneous detectability,bur,0.75,,17247,1.5218854292322903,1.5362134329362553,11095.044869215291,10344.18918918919,11901.625,-0.35669711432624274,-0.34292031397892647,0.03,-0.0074766880948834435,400,1,gamma-clipped,0.7224163821732522,1.5218854292322903,,,,,,,,
B heterogeneous detectability,bur,1.0,,17247,2.0,1.9990996040531264,8549.997050768907,8063.2555555555555,9210.0,-0.5042617817145645,-0.5,0.0,-0.010999842622733569,400,1,two-point,1.0,2.0,,,,,,,,
B heterogeneous detectability,bur,1.0,,17247,1.8122642172386076,1.7953791929315255,9509.960713183082,8859.663157894736,10219.657894736842,-0.44860203437217594,-0.448204080570699,0.0,-0.005475327106601813,400,1,gamma-clipped,0.9012570206320768,1.8122642172386079,,,,,,,,
C sequential removal,pw,,1.0,67852,0.0,nan,nan,,,nan,inf,0.0,,0,1,,,,,,,,,,,
C sequential removal,pw,,1.5,67852,0.5828116438658092,0.5804251484305893,116400.85565217392,111835.4882629108,121785.44221105527,0.7155110483430691,0.715820214858726,0.0,,400,1,,,,13752,1745,9756,1369,,,,
